Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
20.0,40.0,0.3,90.0,0.00354,458.0,32.46635335235540,3.0,1.0,0.005,458.0,32.547015224133800,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.0013046744084426300,4.01341260817504,0.0074,0.3074,0.29646,0.30386,1.0499417777777800,0.17787600000000000,0.18681312800000000,0.18682565960000000,0.4322333392971900,0.700186067369,0.333318427124667,-0.0002887352214449250,-1586228.3711284700,-112443.34234626200,0.000295996353324927,0.0002888708718200330,1182.4871878932100,1126.2407239342000,541579.132055089,38486.42850670340,1.3908789535719400,0.09884052069177540,515818.2515618640,36655.773987925900,1.324720077827320,0.09413904921563680,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,2.7E-08,7.11E-10,1.16E-08,1.15E-10,3.9E-08,1.15E-09,2.71E-08,3.53E-10,1.99E-08,3.82E-10,1.16E-08,1.15E-10,3.43E-08,7.8E-10,2.71E-08,3.53E-10,1.47E-15,3.64E-20,1.16E-08,1.15E-10,,2.17E-11,,6.21E-12,1.0,1.0,1.0,1.0,1.0,1.0
20.0,40.0,0.3,90.0,0.0078,1600.0,113.41957503006300,3.0,1.0,0.005,1600.0,113.70136322841500,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.005564674408442630,4.01341260817504,0.0074,0.3074,0.2922,0.29960000000000000,1.0499417777777800,0.17532000000000000,0.18419408000000000,0.18425492000000000,0.42924925160097800,0.710799201329,0.33325994865388300,-0.0002717031024910830,-5888780.751233830,-417439.3814063460,0.00029599635332492700,0.0002888708718200330,1182.9021746917400,1126.6359713729800,1892643.479506780,134497.58982830800,4.860671001617130,0.3454155744304330,1802617.5541967700,128100.04580727700,4.629467180461030,0.3289854558997660,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0252,1.44E-08,0.0142,2.86E-09,0.000298,2.18E-08,8.8E-05,7.28E-09,0.0385,8E-09,0.0142,2.86E-09,0.000185,1.48E-08,8.79E-05,7.28E-09,1.94E-13,4.81E-17,0.0142,2.86E-09,,2.17E-11,,7.07E-12,1.0,1.0,1.0,1.0,1.0,1.0
20.0,40.0,0.3,90.0,0.0386,7510.0,532.3631302973560,3.0,1.0,0.005,7510.0,533.6857736533730,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.036364674408442600,4.01341260817504,0.0074,0.3074,0.26140000000000000,0.2688,1.0499417777777800,0.15684,0.16525824000000000,0.16674820000000000,0.40834813578612100,0.7875326581290000,0.33134175954734000,-0.000148316477844228,-50634967.26161140,-3589372.792795690,0.00029599635332492700,0.0002888708718200330,1196.6057712447800,1139.6877394262900,8986509.342048260,638611.4767848590,23.079077405554700,1.6400766019160500,8559054.923091430,608235.1329389830,21.981292576434100,1.5620643321645000,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0217,0.0329,0.0168,0.0249,0.0226,0.0337,0.0181,0.0261,0.0178,0.0266,0.0168,0.0249,0.0191,0.0277,0.0181,0.026,0.00823,0.0184,0.0168,0.0249,,0.023,,0.0246,1.2791062424959100,1.3134699774724600,0.6604936180168730,1.0624190797065900,1.0658039560442800,
20.0,40.0,0.3,90.0,0.0489,9750.0,691.1505353394440,3.0,1.0,0.005,9750.0,692.8676821731550,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.04666467440844260,4.01341260817504,0.0074,0.3074,0.2511,0.2585,1.0499417777777800,0.15066000000000000,0.15892580000000000,0.16131701000000000,0.40164288864612100,0.8131935219290000,0.3300229657864730,-0.0001071034839537410,-91033453.2554616,-6453109.73859595,0.00029599635332492700,0.0002888708718200330,1206.1311508859800,1148.7600326170200,11759778.721138300,835689.2949112060,30.201364406024700,2.1462101902019700,11200410.31801600,795938.7011725150,28.764799196719700,2.044123051036660,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0254,0.0473,0.0222,0.0395,0.0248,0.0481,0.0214,0.0407,0.022,0.039,0.0222,0.0395,0.0211,0.0402,0.0213,0.0406,0.024,0.0352,0.0222,0.0395,,0.0397,,0.0394,1.1775284977588600,1.1847447989282500,0.9396143627303860,0.9901919680685270,0.9882465187023620,
20.0,40.0,0.3,90.0,0.0595,11800.0,836.4693658467120,3.0,1.0,0.005,11800.0,838.5475538095620,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.05726467440844260,4.01341260817504,0.0074,0.3074,0.2405,0.24790000000000000,1.0499417777777800,0.1443,0.15240892000000000,0.15594917000000000,0.39490400099264600,0.839601789529,0.3282501333276590,-6.48190452616852E-05,-182045260.80816900,-12904685.073187200,0.00029599635332492700,0.0002888708718200330,1219.0713691177600,1161.0847333820200,14385042.155589500,1022249.3144929700,36.943543789311600,2.6253320570833600,13700799.853907800,973624.7629431200,35.18627848822560,2.500454894403700,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.0129,0.0617,0.0114,0.0558,0.0125,0.0624,0.0108,0.0568,0.0164,0.0715,0.0114,0.0558,0.0163,0.0717,0.0108,0.0568,0.0195,0.054,0.0114,0.0558,,0.0475,,0.0558,1.106809035940790,1.1105493945325200,1.051434837820880,1.2960709480533200,1.306529313328150,
20.0,40.0,0.3,90.0,0.0709,14100.0,999.5100049524270,3.0,1.0,0.005,14100.0,1001.9932634504100,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.06866467440844260,4.01341260817504,0.0074,0.3074,0.22910000000000000,0.23650000000000000,1.0499417777777800,0.13746,0.1454002,0.15042701,0.3878492103898110,0.8680031339290000,0.3258236975327650,-1.95766076518676E-05,-720247361.0720230,-51056343.505820600,0.0002959963533249270,0.00028887087182003300,1237.038347764910,1178.1970904930800,17442240.703485300,1239504.091090270,44.79501528346510,3.183283939729800,16612578.975952500,1180545.5476909400,42.66428504090450,3.0318671064478200,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.00974,0.0746,0.00898,0.0718,0.00976,0.0751,0.00901,0.0724,0.0129,0.082,0.00898,0.0718,0.0129,0.0821,0.009,0.0724,0.00976,0.0716,0.00898,0.0718,,0.069,,0.0718,1.0420227019245800,1.0437215173828300,1.0023475949634300,1.1631536528667700,1.1710527913690200,
20.0,40.0,0.3,90.0,0.0804,14900.0,1056.2197924674600,3.0,1.0,0.005,14900.0,1058.843945064620,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.07816467440844260,4.01341260817504,0.0074,0.3074,0.2196,0.22700000000000000,1.0499417777777800,0.13176000000000000,0.1395596,0.14602376,0.3821305536070100,0.891670920929,0.32334869730601300,1.78654279280886E-05,834013047.9927530,59120878.420540800,0.000295996353324927,0.0002888708718200330,1255.6760008960300,1195.9482206277100,18709572.41335080,1329564.9305117100,48.049765878742800,3.414577427012030,17819628.487352900,1266322.5320224500,45.764219403137800,3.25215883326316,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.0103,0.0822,0.0101,0.0816,0.0103,0.0825,0.0101,0.082,0.0128,0.087,0.0101,0.0816,0.0128,0.0871,0.0101,0.082,0.0102,0.0817,0.0101,0.0816,,0.0814,,0.0816,1.007554249278270,1.008725269721040,1.0014668437327400,1.0838287531682200,1.0876174652737700,
20.0,40.0,0.3,90.0,0.0918,15400.0,1091.663409664350,3.0,1.0,0.005,15400.0,1094.3756210735000,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.08956467440844260,4.01341260817504,0.0074,0.3074,0.2082,0.21560000000000000,1.0499417777777800,0.12492000000000000,0.13255088,0.14097812,0.3754705314668520,0.920072265329,0.3197795010131550,6.23808973629958E-05,246870446.73928100,17499963.222906800,0.000295996353324927,0.0002888708718200330,1283.1211856402100,1222.0879412532400,19760066.258859300,1404216.544447570,50.74763530186880,3.606297071525580,18820154.295299900,1337423.2497154500,48.333761334154300,3.434759096031380,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.0105,0.0872,0.0109,0.0878,0.0105,0.0873,0.0109,0.0878,0.0124,0.0887,0.0109,0.0878,0.0123,0.0887,0.0109,0.0878,0.0105,0.0875,0.0109,0.0878,,0.0883,,0.0878,0.9907597358717480,0.9897014970953270,0.9949747708568680,1.0243382357156400,1.024975543182840,
20.0,40.0,0.3,90.0,0.105,14600.0,1034.9536221493200,3.0,1.0,0.005,14600.0,1037.5249394592900,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.10276467440844300,4.01341260817504,0.0074,0.3074,0.195,0.2024,1.0499417777777800,0.11700000000000000,0.12443552000000000,0.13546052000000000,0.36804961622042200,0.9529580325290000,0.31474252001788000,0.00011319546468363100,128980432.57126500,9143066.15589156,0.00029599635332492700,0.0002888708718200330,1323.0340360425200,1260.102287617070,19316296.92622070,1372680.808147590,49.60795064920240,3.525307259863910,18397493.39920930,1307387.5496724200,47.24828718997980,3.357621664817730,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.0103,0.0871,0.0109,0.0864,0.0102,0.087,0.0109,0.0863,0.0113,0.0857,0.0109,0.0864,0.0113,0.0856,0.0109,0.0863,0.01,0.0859,0.0109,0.0864,,0.0866,,0.0864,0.9980630090907130,0.9986829826433040,0.9903117031034300,0.997719467531007,0.9977251727305000,
20.0,40.0,0.3,90.0,0.112,13400.0,949.8889408767750,3.0,1.0,0.005,13400.0,952.2489170379770,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.10976467440844300,4.01341260817504,0.0074,0.3074,0.188,0.1954,1.0499417777777800,0.11280000000000000,0.12013192000000000,0.13267592000000000,0.3642470590135220,0.9703974545290000,0.3116393800869850,0.00013975288275948800,95883531.95591070,6796918.40426301,0.000295996353324927,0.0002888708718200330,1348.337357025580,1284.2020248773800,18067720.58414280,1283952.788029460,46.401367431096700,3.297436707861430,17208307.133356900,1222879.987447460,44.19422906411640,3.140590057136800,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.00988,0.0848,0.0106,0.0825,0.00986,0.0847,0.0106,0.0824,0.0106,0.0824,0.0106,0.0825,0.0106,0.0823,0.0106,0.0824,0.00953,0.0821,0.0106,0.0825,,0.0825,,0.0825,1.013241796003670,1.013344892079930,0.9898588785564620,0.9989653344870750,0.998966621304545,
20.0,40.0,0.3,90.0,0.12,12300.0,871.9129830436060,3.0,1.0,0.005,12300.0,874.0792298184420,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.11776467440844300,4.01341260817504,0.0074,0.3074,0.18,0.18740000000000000,1.0499417777777800,0.10800000000000000,0.11521352000000000,0.12961352,0.36001877728807400,0.990328222529,0.30769508516919200,0.00016971493888420200,72474468.54629810,5137514.639406730,0.000295996353324927,0.0002888708718200330,1381.316295470100,1315.6122793719900,16990190.434282300,1207379.8836801700,43.63406359944220,3.1007828215324700,16182031.036275500,1149949.3678931500,41.55855545799360,2.95329025586098,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.00934,0.0807,0.01,0.0758,0.00932,0.0804,0.01,0.0758,0.00979,0.0777,0.01,0.0758,0.00978,0.0776,0.01,0.0758,0.00883,0.0761,0.01,0.0758,,0.076,,0.0758,1.0395229143183100,1.0433022747649800,0.996377513923635,1.0164362064448600,1.0177285257923300,
20.0,40.0,0.3,90.0,0.123,11200.0,793.9370252104380,3.0,1.0,0.005,11200.0,795.9095425989060,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.002235325591557370,0.12076467440844300,4.01341260817504,0.0074,0.3074,0.177,0.18440000000000000,1.0499417777777800,0.10620000000000000,0.11336912000000000,0.12849812000000000,0.3584663443058500,0.997802260529,0.30610076493114800,0.00018083284928875800,61935649.65685850,4390446.914557340,0.000295996353324927,0.0002888708718200330,1394.9134684294700,1328.562686001340,15623030.846410100,1110224.9406227500,40.12293589086560,2.851270317198580,14879902.083215100,1057415.719729300,38.21443887658850,2.7156461220481600,"[0.340,0.460]",0.38,"[0.100,0.145]",0.12,0.00912,0.0788,0.00979,0.0729,0.00909,0.0785,0.00979,0.0729,0.00949,0.0757,0.00979,0.0729,0.00947,0.0756,0.00979,0.0729,0.00855,0.0734,0.00979,0.0729,,0.0732,,0.0729,1.0522459079096800,1.0562344937690000,0.9979766033004850,1.026031161129520,1.0274399725826700,
