Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,1.2044,45,0.1702,42.3312,0.688087335,12
6,12,1.2044,45,0.1857,68.298,0.872581615,12
6,12,1.2044,45,0.2011,109.8552,1.096616649,12
6,12,1.2044,45,0.2166,166.044,1.334053147,12
6,12,1.2044,45,0.2321,241.944,1.636667542,12
6,12,1.2044,45,0.2476,347.724,2.194392005,12
6,12,1.2044,45,0.2631,457.284,3.166874127,12
6,12,1.2044,45,0.2786,567.204,4.664915928,12
6,12,1.2044,45,0.2941,689.124,6.205385574,12
6,12,1.2044,45,0.3406,927.624,4.678843686,12
6,12,1.2044,45,0.3561,951.816,4.946079065,12
6,12,1.2044,45,0.3716,936.36,6.527750318,12
6,12,1.2044,45,0.387,922.476,7.574387202,12
6,12,1.2044,45,0.4025,919.452,7.390521476,12
6,12,1.2044,45,0.418,862.308,5.719911447,12
6,12,1.2044,45,0.4335,807.216,4.004576123,12
6,12,1.2044,45,0.449,802.74,4.967147041,12
6,12,1.2044,45,0.48,789.24,10.37123478,12
6,12,1.2044,45,0.4955,816.3,13.07119107,12
6,12,1.2044,45,0.511,845.676,14.73094188,12
6,12,1.2044,45,0.5265,891.732,15.64656703,12
6,12,1.2044,45,0.542,933.576,15.62668332,12
6,12,1.2044,45,0.5574,943.488,14.41861149,12
6,12,1.2044,45,0.5884,1001.904,11.35669943,12
6,12,1.2044,45,0.6039,1029.78,9.181041513,12
6,12,1.2044,45,0.6194,1017.756,6.968107304,12
6,12,1.2044,45,0.6349,1005.852,5.352941132,12
6,12,1.2044,45,0.6504,975.672,4.631887227,12
6,12,1.2044,45,0.6659,952.224,4.825545523,12
6,12,1.2044,45,0.6969,948.612,5.081849821,12
6,12,1.2044,45,0.7124,951.792,5.076076256,12
6,12,1.2044,45,0.7279,922.524,4.712241317,12
6,12,1.2044,45,0.7433,905.028,4.287063424,12
6,12,1.2044,45,0.7743,918.408,3.952651819,12
6,12,1.2044,45,0.7898,911.64,4.384692945,12
6,12,1.2044,45,0.8053,907.296,5.298114155,12
6,12,1.2044,45,0.8208,903.42,6.397465329,12
6,12,1.2044,55,0.3398,94.482,0.868971733,12
6,12,1.2044,55,0.3536,125.172,0.932842837,12
6,12,1.2044,55,0.3674,152.832,1.087772657,12
6,12,1.2044,55,0.3812,184.968,1.406231587,12
6,12,1.2044,55,0.3949,220.74,1.73330639,12
6,12,1.2044,55,0.4087,246.768,1.79130098,12
6,12,1.2044,55,0.4225,265.452,1.574779477,12
6,12,1.2044,55,0.4363,280.26,1.346102796,12
6,12,1.2044,55,0.45,301.296,1.593595974,12
6,12,1.2044,55,0.4776,308.64,2.069786163,12
6,12,1.2044,55,0.4914,310.224,2.022615364,12
6,12,1.2044,55,0.5051,304.692,1.666724944,12
6,12,1.2044,55,0.5189,302.82,1.328181126,12
6,12,1.2044,55,0.5327,304.188,1.613905487,12
6,12,1.2044,55,0.5465,300.864,2.516503288,12
6,12,1.2044,55,0.5602,301.8,3.5962053,12
6,12,1.2044,55,0.5878,336.18,5.827569059,12
6,12,1.2044,55,0.6016,344.448,6.152449513,12
6,12,1.2044,55,0.6153,358.548,6.281400597,12
6,12,1.2044,55,0.6291,378.396,6.193468275,12
6,12,1.2044,55,0.6429,397.152,5.764670638,12
6,12,1.2044,55,0.6567,402.18,5.003848078,12
6,12,1.2044,55,0.6704,417.792,4.3649007,12
6,12,1.2044,55,0.698,444.048,2.806412869,12
6,12,1.2044,55,0.7118,441.36,2.278298602,12
6,12,1.2044,55,0.7255,443.892,2.077250817,12
6,12,1.2044,55,0.7393,440.652,2.102136456,12
6,12,1.2044,55,0.7531,439.584,2.289885599,12
6,12,1.2044,70,0.4791,29.9208,0.281631371,12
6,12,1.2044,70,0.4907,36.0888,0.275277658,12
6,12,1.2044,70,0.5023,43.9356,0.29618597,12
6,12,1.2044,70,0.5138,51.3888,0.343589358,12
6,12,1.2044,70,0.5254,57.7884,0.387387436,12
6,12,1.2044,70,0.5369,65.088,0.406728446,12
6,12,1.2044,70,0.5485,71.016,0.389293864,12
6,12,1.2044,70,0.56,77.1984,0.379474268,12
6,12,1.2044,70,0.5716,83.832,0.463352361,12
6,12,1.2044,70,0.5947,90.3348,0.702728318,12
6,12,1.2044,70,0.6063,91.5564,0.706865922,12
6,12,1.2044,70,0.6178,93.5964,0.680271811,12
6,12,1.2044,70,0.6294,95.862,0.637742213,12
6,12,1.2044,70,0.6409,99.432,0.622163717,12
6,12,1.2044,70,0.6525,99.3708,0.679372101,12
6,12,1.2044,70,0.664,102.156,0.84527889,12
6,12,1.2044,70,0.6871,115.9056,1.37936844,12
6,12,1.2044,70,0.6987,123.324,1.571620202,12
6,12,1.2044,70,0.7103,129.768,1.716377632,12
6,12,1.2044,70,0.7218,135.876,1.752652605,12
6,12,1.2044,70,0.7334,141.948,1.730366946,12
6,12,1.2044,70,0.7449,146.832,1.612369928,12
6,12,1.2044,70,0.7565,157.044,1.554730786,12
6,12,2.095,44.97,1.5981,230.004,0.922836,12
6,12,2.095,44.97,1.6109,235.608,1.033104,12
6,12,2.095,44.97,1.6238,237.492,1.03302,12
6,12,2.095,44.97,1.6367,238.68,1.042968,12
6,12,2.095,44.97,1.6496,239.664,1.042908,12
6,12,2.095,44.97,1.6625,242.256,1.35372,12
6,12,2.095,44.98,1.3403,166.38,0.567336,12
6,12,2.095,44.98,1.3532,171.804,0.545172,12
6,12,2.095,44.98,1.3661,174.372,0.548064,12
6,12,2.095,44.98,1.379,178.284,0.555072,12
6,12,2.095,44.98,1.3919,182.568,0.56196,12
6,12,2.095,44.98,1.4048,185.544,0.56388,12
6,12,2.095,44.98,1.4177,188.928,0.567804,12
6,12,2.095,44.98,1.4305,193.02,0.611916,12
6,12,2.095,44.98,1.4434,200.628,1.42656,12
6,12,2.095,44.98,1.4563,204.624,1.4364,12
6,12,2.095,44.98,1.4692,205.476,1.43616,12
6,12,2.095,44.98,1.4821,208.968,1.45608,12
6,12,2.095,44.98,1.495,206.628,1.43568,12
6,12,2.095,44.98,1.5079,213.228,1.4556,12
6,12,2.095,44.98,1.5208,213.888,1.063932,12
6,12,2.095,44.98,1.5337,222.108,1.164204,12
6,12,2.095,44.98,1.5466,221.472,1.25436,12
6,12,2.095,44.98,1.5595,224.052,1.26432,12
6,12,2.095,44.98,1.5724,226.644,1.2642,12
6,12,2.095,44.98,1.5852,228.624,1.27404,12
6,12,2.095,59.96,1.0818,5.85936,0.1168392,12
6,12,2.095,59.96,1.0918,6.44376,0.106458,12
6,12,2.095,59.96,1.1019,6.93456,0.10428,12
6,12,2.095,59.96,1.112,7.51428,0.1082652,12
6,12,2.095,59.96,1.1221,8.27616,0.1132608,12
6,12,2.095,59.96,1.1322,8.898,0.1162464,12
6,12,2.095,59.96,1.1422,9.39456,0.120216,12
6,12,2.095,59.96,1.1523,9.79068,0.122196,12
6,12,2.095,59.96,1.1624,10.48116,0.12618,12
6,12,2.095,59.96,1.1725,11.21916,0.1302,12
6,12,2.095,59.96,1.1825,11.45796,0.131148,12
6,12,2.095,59.96,1.1926,12.1644,0.134136,12
6,12,2.095,59.96,1.2027,13.0548,0.139188,12
6,12,2.095,59.96,1.2128,13.6296,0.142188,12
6,12,2.095,59.96,1.2229,14.9892,0.165528,12
6,12,2.095,59.96,1.2329,15.564,0.209148,12
6,12,2.095,59.98,1.334,24.5784,0.214116,12
6,12,2.095,59.98,1.344,26.7216,0.195792,12
6,12,2.095,59.98,1.3541,28.0272,0.200844,12
6,12,2.095,59.98,1.3642,29.5788,0.205848,12
6,12,2.095,59.98,1.3742,30.642,0.209892,12
6,12,2.095,59.98,1.3843,31.9992,0.213864,12
6,12,2.095,59.98,1.3944,33.6168,0.219924,12
6,12,2.095,59.98,1.4045,34.9956,0.22392,12
6,12,2.095,59.98,1.4145,36.1728,0.226908,12
6,12,2.095,59.98,1.4246,37.4748,0.230928,12
6,12,2.095,59.98,1.4347,39.2616,0.20856,12
6,12,2.095,59.98,1.4448,41.5152,0.322932,12
6,12,2.095,59.98,1.4548,42.8928,0.327852,12
6,12,2.095,59.98,1.4649,44.2164,0.332892,12
6,12,2.095,59.98,1.475,46.7856,0.342924,12
6,12,2.095,59.98,1.4851,47.4396,0.345864,12
6,12,2.095,59.98,1.4951,49.7988,0.353904,12
6,12,2.095,59.98,1.5052,50.9892,0.35778,12
6,12,2.095,59.98,1.5153,53.7972,0.368892,12
6,12,2.095,59.98,1.5254,55.794,0.313224,12
6,12,2.095,59.98,1.5354,58.0032,0.415176,12
6,12,2.095,59.98,1.5455,59.1144,0.420156,12
6,12,2.095,59.98,1.5556,60.7572,0.427056,12
6,12,2.095,59.98,1.5657,62.7096,0.435084,12
6,12,2.095,59.98,1.5757,64.446,0.439056,12
6,12,2.095,59.98,1.5858,65.4012,0.44496,12
6,12,2.095,59.98,1.5959,67.6512,0.365196,12
6,12,2.095,59.98,1.606,70.4892,0.495204,12
6,12,2.095,59.98,1.616,72.3084,0.502152,12
6,12,2.095,59.98,1.6261,73.1928,0.509124,12
6,12,2.095,59.98,1.6362,74.9304,0.517068,12
6,12,2.095,59.98,1.6463,76.0668,0.521016,12
6,12,2.095,59.98,1.6563,77.5668,0.531024,12
6,12,2.095,74.97,1.2152,0.675636,0.0194988,12
6,12,2.095,74.97,1.2232,0.795768,0.018942,12
6,12,2.095,74.97,1.2312,0.88134,0.0193224,12
6,12,2.095,74.97,1.2393,1.013664,0.0205356,12
6,12,2.095,74.97,1.2473,1.136292,0.0217476,12
6,12,2.095,74.97,1.2553,1.29108,0.0229548,12
6,12,2.095,74.97,1.2634,1.48884,0.0246756,12
6,12,2.095,74.97,1.2714,1.6032,0.0255648,12
6,12,2.095,74.97,1.2794,1.77996,0.026874,12
6,12,2.095,74.97,1.2875,1.95588,0.0280728,12
6,12,2.095,74.97,1.2955,2.13672,0.0291696,12
6,12,2.095,74.97,1.3035,2.2848,0.0298596,12
6,12,2.095,74.97,1.3116,2.43156,0.0307548,12
6,12,2.095,74.97,1.3196,2.69436,0.0323688,12
6,12,2.095,74.97,1.3276,2.87376,0.0333672,12
6,12,2.095,74.97,1.3356,3.11448,0.0369432,12
6,12,2.095,74.98,1.4321,6.55368,0.049242,12
6,12,2.095,74.98,1.4402,6.82788,0.058338,12
6,12,2.095,74.98,1.4482,7.12452,0.0826452,12
6,12,2.095,74.98,1.4562,7.57992,0.0849708,12
6,12,2.095,74.98,1.4642,8.1408,0.0882408,12
6,12,2.095,74.98,1.4723,8.72652,0.0916044,12
6,12,2.095,74.98,1.4803,9.08676,0.093828,12
6,12,2.095,74.98,1.4883,9.57276,0.0961656,12
6,12,2.095,74.98,1.4964,10.18488,0.0986124,12
6,12,2.095,74.98,1.5044,10.82808,0.1018512,12
6,12,2.095,74.98,1.5124,11.38452,0.105072,12
6,12,2.095,74.98,1.5927,18.6984,0.1088556,12
6,12,2.095,74.98,1.6008,19.866,0.121044,12
6,12,2.095,74.98,1.6088,20.8248,0.162696,12
6,12,2.095,74.98,1.6168,22.1556,0.168708,12
6,12,2.095,74.98,1.6249,22.7532,0.172764,12
6,12,2.095,74.98,1.6329,23.3988,0.175776,12
6,12,2.095,74.98,1.6409,24.1284,0.178728,12
6,12,2.095,74.98,1.649,25.2,0.183768,12
6,12,2.095,74.98,1.657,26.4828,0.190836,12
6,12,2.095,74.98,1.665,26.5644,0.264828,12
6,12,2.095,74.99,1.3359,2.9904,0.0450504,12
6,12,2.095,74.99,1.3439,3.24348,0.0425556,12
6,12,2.095,74.99,1.3519,3.52536,0.0442716,12
6,12,2.095,74.99,1.3599,3.72588,0.0453828,12
6,12,2.095,74.99,1.368,4.03236,0.0470004,12
6,12,2.095,74.99,1.376,4.17264,0.048,12
6,12,2.095,74.99,1.384,4.4856,0.0498288,12
6,12,2.095,74.99,1.3921,4.79424,0.0514512,12
6,12,2.095,74.99,1.4001,5.0778,0.0526596,12
6,12,2.095,74.99,1.4081,5.3472,0.0537684,12
6,12,2.095,74.99,1.4162,5.6334,0.0552,12
6,12,2.095,74.99,1.4242,6.06204,0.057228,12
6,12,2.095,74.99,1.5205,11.99712,0.0814092,12
6,12,2.095,74.99,1.5286,12.7092,0.0906768,12
6,12,2.095,74.99,1.5366,13.3644,0.1151916,12
6,12,2.095,74.99,1.5446,14.3208,0.1192584,12
6,12,2.095,74.99,1.5527,14.6136,0.121272,12
6,12,2.095,74.99,1.5607,15.4716,0.12426,12
6,12,2.095,74.99,1.5687,16.4664,0.128316,12
6,12,2.095,74.99,1.5767,17.0736,0.13134,12
6,12,2.095,74.99,1.5848,17.85,0.13434,12
6,12,2.3466,20,0.7658,3894.6,25.34425878,12
6,12,2.3466,20,0.7843,3866.64,24.44616585,12
6,12,2.3466,20,0.8028,3825.72,24.24721039,12
6,12,2.3466,20,0.8214,3762.84,23.84811325,12
6,12,2.3466,20,0.8399,3753,23.95766608,12
6,12,2.3466,20,0.8584,3723.12,23.858225,12
6,12,2.3466,20,0.8769,3628.8,23.4568801,12
6,12,2.3466,20,0.8955,3662.04,23.55751374,12
6,12,2.3466,20,0.914,3609.84,23.25681513,12
6,12,2.3466,20,0.9325,3576.48,23.15498787,12
6,12,2.3466,20,0.951,3622.32,23.45328607,12
6,12,2.3466,20,0.9695,3680.04,25.45747633,12
6,12,2.3466,20,0.9881,3682.44,23.7480027,12
6,12,2.3466,20,1.0066,3635.16,22.84711955,12
6,12,2.3466,20,1.0251,3628.92,22.84592165,12
6,12,2.3466,20,1.0436,3524.64,22.44463669,12
6,12,2.3466,20,1.0622,3512.4,22.45256074,12
6,12,2.3466,20,1.0807,3433.08,22.04218003,12
6,12,2.3466,20,1.0992,3427.8,21.94037241,12
6,12,2.3466,20,1.1177,3379.56,21.74857521,12
6,12,2.3466,20,1.1362,3355.32,21.6468173,12
6,12,2.3466,20,1.1548,3353.04,22.26687306,12
6,12,2.3466,20,1.1733,3300.84,20.97059385,12
6,12,2.3466,20,1.1918,3186.72,19.09163151,12
6,12,2.3466,20,1.2103,3199.44,19.10444566,12
6,12,2.3466,20,1.2289,3186.24,19.02273315,12
6,12,2.3466,20,1.2474,3031.08,18.54631256,12
6,12,2.3466,20,1.2659,3047.88,18.68332315,12
6,12,2.3466,20,1.2844,2995.8,18.40703485,12
6,12,2.3466,20,1.3029,2907.6,18.06199986,12
6,12,2.3466,20,1.3215,2931.48,18.8309179,12
6,12,2.3466,20,1.34,2827.44,16.80711775,12
6,12,2.3466,20,1.3585,2783.28,16.08582503,12
6,12,2.3466,20,1.377,2731.2,15.97434253,12
6,12,2.3466,20,1.3956,2692.08,15.92669457,12
6,12,2.3466,20,1.4141,2675.04,15.9759888,12
6,12,2.3466,20,1.4326,2616,15.85952074,12
6,12,2.3466,20,1.4511,2523,15.76076071,12
6,12,2.3466,20,1.4696,2593.8,17.49668953,12
6,12,2.3466,20,1.4882,2459.88,15.17026032,12
6,12,2.3466,20,1.5067,2437.92,15.20840446,12
6,12,2.3466,20,1.5252,2407.92,15.54125712,12
6,12,2.3466,20,1.5437,2385.84,15.72576059,12
6,12,2.3466,20,1.5623,2282.88,15.68738452,12
6,12,2.3466,20,1.5808,2286.84,16.15552655,12
6,12,2.3466,20,1.5993,2254.8,18.39658664,12
6,12,2.3466,20,1.6178,2206.8,17.55015081,12
6,12,2.3466,20,1.6363,2169.84,17.73419041,12
6,12,2.3466,20,1.6549,2165.76,18.18394904,12
6,12,2.3466,20,1.6734,2092.92,18.05085233,12
6,12,2.3466,20,1.6919,2096.88,18.8126056,12
6,12,2.3466,30,0.2495,1.5558,0.071810748,12
6,12,2.3466,30,0.2655,2.3688,0.088402408,12
6,12,2.3466,30,0.2814,3.37788,0.10614189,12
6,12,2.3466,30,0.2974,5.08992,0.130389057,12
