Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_w2
6,12,1.2044,10.79,0.0659999999999998,1146455.123,16775.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,1149779.8428566998,16842.725562496325,0.0022899952858255,0.0637100047141743,2.894010933453939,0.0031,1.2075,1.1384,1.1415000000000002,1.0051544163705737,0.0484818702210052,0.0487390192684234,0.0530950192684233,0.2304235649156209,0.9554692392605764,0.980938427468479,0.0150999440709027,76144642.48727226,1110931.2671114455,0.1164645238992527,0.1161655259496976,10.046964575033504,9.995443895387968,11551797.350268852,169218.26707341184,29.66722840565925,0.4345849245321048,11492559.911322135,168350.5184053488,29.51509531518761,0.4323563797305,0.223~0.270,0.24,0.045~0.070,0.056,0.0256,0.017,0.025,0.0155,0.0256,0.017,0.0251,0.0155,0.0258,0.0178,0.025,0.0155,0.0258,0.0178,0.0251,0.0155,0.0248,0.0163,0.025,0.0155,0.0246,0.0169,0.025,0.0155,1.0376002770821615,1.0,1.0069167168524067,1.0555374475749166,1.0106653027794152
6,12,1.2044,10.79,0.0699999999999998,1017277.981,15427.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,1020228.0871449,15488.072485031116,0.0022899952858255,0.0677100047141743,2.894010933453939,0.0031,1.2075,1.1344,1.1375000000000002,1.0051544163705737,0.0483115193066658,0.0485682298885953,0.0534682298885953,0.231231982841032,0.9631462126404045,0.9807408212221564,0.0164724776157299,61935314.82906134,936531.8539130024,0.1164645238992527,0.1161655259496976,10.25841924524147,10.20581422930292,10465927.443703132,158883.14085213808,26.87850648125956,0.4080423406457357,10412258.32891792,158068.39055220562,26.7406739138777,0.4059499058056185,0.223~0.270,0.24,0.045~0.070,0.056,0.0242,0.0158,0.0235,0.0143,0.0241,0.0157,0.0235,0.0144,0.0246,0.0168,0.0235,0.0143,0.0245,0.0168,0.0235,0.0143,0.0234,0.0151,0.0235,0.0143,0.0233,0.0158,0.0235,0.0143,1.040096128283073,1.0,1.010619485399871,1.0725897184788549,1.0195407198786992
6,12,1.2044,10.79,0.0739999999999998,935204.4363,14814.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,937916.5291652698,14871.337311317606,0.0022899952858255,0.0717100047141743,2.894010933453939,0.0031,1.2075,1.1304,1.1335000000000002,1.0051544163705737,0.0481411683923263,0.0483974405087673,0.0538734405087673,0.232106528363093,0.9708231860202324,0.9805305612310252,0.0178055519532354,52675509.95490705,831987.6878238603,0.1164645238992527,0.1161655259496976,10.48588035161,10.432108918620258,9834880.50462435,155939.06371490995,25.257857061201413,0.4004813866032037,9784447.388826368,155139.41059720662,25.12833515909213,0.398427724218999,0.223~0.270,0.24,0.045~0.070,0.056,0.0227,0.0145,0.0219,0.0131,0.0227,0.0144,0.022,0.0132,0.0233,0.0158,0.0219,0.0131,0.0232,0.0157,0.022,0.0132,0.022,0.0138,0.0219,0.0131,0.0219,0.0146,0.0219,0.0131,1.0448162592187986,1.0,1.0164215629183895,1.0846341587799553,1.0279171122761597
6,12,1.2044,10.79,0.0779999999999998,831081.5929,13754.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,833491.72951941,13806.115705418542,0.0022899952858255,0.0757100047141743,2.894010933453939,0.0031,1.2075,1.1264,1.1295000000000002,1.0051544163705737,0.0479708174779869,0.0482266511289393,0.0543106511289393,0.2330464570186367,0.9785001594000604,0.9803075286032308,0.0190977459410686,43643460.966094114,720189.7041903157,0.1164645238992527,0.1161655259496976,10.729939561305123,10.674916596445897,8943315.882590946,148138.7870955264,22.968148327724137,0.3804487820588391,8897454.696447143,147379.13367622474,22.850368016745,0.3784978465622916,0.223~0.270,0.24,0.045~0.070,0.056,0.0211,0.0131,0.0204,0.012,0.0211,0.0131,0.0205,0.012,0.0219,0.0147,0.0204,0.012,0.0218,0.0146,0.0205,0.012,0.0205,0.0126,0.0204,0.012,0.0205,0.0135,0.0204,0.012,1.043004457950975,1.0,1.0157036237499777,1.0972161170610415,1.033802918497008
6,12,1.2044,10.79,0.0819999999999998,744687.2102,12988.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,746846.80310958,13036.063469067776,0.0022899952858255,0.0797100047141743,2.894010933453939,0.0031,1.2075,1.1224,1.1255000000000002,1.0051544163705737,0.0478004665636474,0.0480558617491112,0.0547798617491112,0.2340509810898285,0.9861771327798886,0.9800716037554568,0.0203478254294669,36704010.74052986,638299.1659242022,0.1164645238992527,0.1161655259496977,10.991224041514082,10.934861213863396,8208760.537665949,143282.2942079212,21.08166949384981,0.3679763780356079,8166666.140020818,142547.54480937074,20.97356301728427,0.3660894008348514,0.223~0.270,0.24,0.045~0.070,0.056,0.0196,0.0118,0.019,0.0108,0.0196,0.0118,0.019,0.0109,0.0206,0.0136,0.019,0.0108,0.0205,0.0135,0.019,0.0109,0.0191,0.0114,0.019,0.0108,0.0192,0.0124,0.019,0.0108,1.0424921388878874,1.0,1.0171480991763264,1.1134747165421388,1.042932549116553
6,12,1.2044,10.79,0.0859999999999998,661630.9433,12041.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,663549.67303557,12084.77288397032,0.0022899952858255,0.0837100047141743,2.894010933453939,0.0031,1.2075,1.1184,1.1215000000000002,1.0051544163705737,0.047630115649308,0.0478850723692832,0.0552810723692832,0.2351192726453602,0.9938541061597164,0.9798226664153648,0.0215547430107582,30784392.683521327,558624.1503315609,0.1164645238992527,0.1161655259496976,11.270397493089822,11.212603068277948,7478468.571520659,136200.19401605896,19.206139833355373,0.3497881881277535,7440119.099833461,135501.76151824775,19.10765104401092,0.347994479684797,0.223~0.270,0.24,0.045~0.070,0.056,0.0181,0.0106,0.0176,0.0098,0.0181,0.0106,0.0177,0.00984,0.0193,0.0125,0.0176,0.0098,0.0192,0.0124,0.0176,0.00984,0.0177,0.0102,0.0176,0.0098,0.0179,0.0114,0.0176,0.0098,1.0344359061990034,1.0,1.0137722186451497,1.1267906862216996,1.0509807052388596
6,12,1.2044,10.79,0.0899999999999998,601152.9472,11566.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,602896.29074688,11607.151199105509,0.0022899952858255,0.0877100047141743,2.894010933453939,0.0031,1.2075,1.1144,1.1175000000000002,1.0051544163705737,0.0474597647349686,0.0477142829894552,0.0558142829894552,0.2362504666438888,1.0015310795395445,0.9795605956241984,0.0227176361750945,26538689.41733642,509119.8710489023,0.1164645238992527,0.1161655259496976,11.568161209584924,11.508839857019591,6974401.484020691,134273.39625527948,17.911598995838958,0.3448398023893881,6938636.860596965,133584.84434671825,17.819748591976964,0.3430714691923066,0.223~0.270,0.24,0.045~0.070,0.056,0.0167,0.0094,0.0163,0.00884,0.0167,0.00942,0.0164,0.00888,0.018,0.0115,0.0163,0.00884,0.018,0.0114,0.0164,0.00887,0.0164,0.00916,0.0163,0.00884,0.0167,0.0104,0.0163,0.00884,1.0273235671602436,1.0,1.0129641096145743,1.1366356271926217,1.0591013803786389
6,12,1.2044,10.79,0.0939999999999998,546481.5229,10948.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,548066.3193164099,10986.392955714762,0.0022899952858255,0.0917100047141743,2.894010933453939,0.0031,1.2075,1.1104,1.1135000000000002,1.0051544163705737,0.0472894138206291,0.0475434936096272,0.0563794936096271,0.2374436640755595,1.0092080529193723,0.9792852697395638,0.0238358239872463,22993386.74466043,459308.6442431296,0.1164645238992527,0.1161655259496977,11.885255162287928,11.8243077568155,6513908.050931504,130576.0835918326,16.72896364962202,0.3353443952291281,6480504.830742346,129906.49144568124,16.64317778160615,0.3336247543337616,0.223~0.270,0.24,0.045~0.070,0.056,0.0154,0.00833,0.0151,0.00797,0.0154,0.00836,0.0152,0.00801,0.0168,0.0105,0.0151,0.00797,0.0168,0.0104,0.0152,0.008,0.0152,0.00817,0.0151,0.00797,0.0156,0.0095,0.0151,0.00797,1.0195542409796876,1.0,1.0106886510160198,1.1448879383296433,1.0685238045834207
6,12,1.2044,10.79,0.0979999999999998,485982.7239,10239.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,487392.07379931,10274.311261037312,0.0022899952858255,0.0957100047141743,2.894010933453939,0.0031,1.2075,1.1064,1.1095000000000002,1.0051544163705737,0.0471190629062897,0.0473727042297991,0.0569767042297991,0.2386979351184235,1.0168850262992006,0.9789965664383874,0.0249088024147239,19567061.703103203,411059.5053717867,0.1164645238992527,0.1161655259496976,12.222459111891096,12.159782529757104,5957129.693471873,125577.34929087078,15.299050173716193,0.322506688009274,5926581.624126934,124933.39057724818,15.220596879988086,0.3208528786788661,0.223~0.270,0.24,0.045~0.070,0.056,0.0141,0.00735,0.014,0.00718,0.0142,0.00739,0.0141,0.00722,0.0157,0.00961,0.014,0.00718,0.0156,0.00956,0.014,0.00721,0.014,0.00728,0.014,0.00718,0.0145,0.00868,0.014,0.00718,1.0104930466151678,1.0,1.0031032530513098,1.156875271397461,1.0736511416590055
6,12,1.2044,10.79,0.1019999999999998,409946.4475,9246.8,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,411135.29219775,9278.042500620108,0.0022899952858255,0.0997100047141743,2.894010933453939,0.0031,1.2075,1.1024,1.1055,1.0051544163705737,0.0469487119919502,0.0472019148499711,0.0576059148499711,0.2400123222877757,1.0245619996790287,0.9786943627200516,0.0259362384491074,15851770.217353895,356520.4730109282,0.1164645238992527,0.1161655259496976,12.580593747434934,12.516080656404146,5172326.086372848,116723.2834717369,13.283524177248625,0.299767750940847,5145802.477841324,116124.72827130689,13.21540646979692,0.2982305465296097,0.223~0.270,0.24,0.045~0.070,0.056,0.013,0.00649,0.013,0.00649,0.013,0.00652,0.013,0.00653,0.0147,0.0088,0.013,0.00649,0.0146,0.00876,0.013,0.00652,0.013,0.00649,0.013,0.00649,0.0135,0.00796,0.013,0.00649,0.999640164232875,1.0,1.0000024559832403,1.1665172027793178,1.0790052645514834
6,12,1.2044,10.79,0.1059999999999998,360085.5731,8568.1,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,361129.82126198994,8596.633551963245,0.0022899952858255,0.1037100047141743,2.894010933453939,0.0031,1.2075,1.0984,1.1015,1.0051544163705737,0.0467783610776108,0.0470311254701431,0.0582671254701431,0.2413858435578671,1.0322389730588566,0.9783785349097144,0.0269179631703297,13415941.576888854,318304.172785412,0.1164645238992527,0.1161655259496977,12.960521853191803,12.894060496684528,4680430.94030527,111416.85701410152,12.020243216932757,0.2861398313225342,4656429.762508969,110845.51308684208,11.95860359479455,0.2846725106732677,0.223~0.270,0.24,0.045~0.070,0.056,0.0119,0.00572,0.0121,0.00588,0.012,0.00576,0.0121,0.00592,0.0137,0.00808,0.0121,0.00588,0.0136,0.00804,0.0121,0.00591,0.012,0.00578,0.0121,0.00588,0.0126,0.00732,0.0121,0.00588,0.9879365660469375,1.0,0.9899825519058691,1.1698901315224066,1.0845485081961141
6,12,1.2044,10.79,0.1099999999999998,339221.4748,8403.6,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,340205.21707692,8431.305811619615,0.0022899952858255,0.1077100047141743,2.894010933453939,0.0031,1.2075,1.0944,1.0975,1.0051544163705737,0.0466080101632714,0.046860336090315,0.058960336090315,0.2428174954370361,1.039915946438685,0.9780489586618172,0.0278539639079121,12213888.773665074,301702.12138506066,0.1164645238992527,0.1161655259496976,13.36314950416834,13.2946234792662,4546213.177896925,112668.80007603628,11.675546292919265,0.2893550609221459,4522900.266719675,112091.0362040317,11.615674271300028,0.2878712526249981,0.223~0.270,0.24,0.045~0.070,0.056,0.0109,0.00505,0.0112,0.00536,0.011,0.0051,0.0112,0.00539,0.0128,0.00744,0.0112,0.00536,0.0128,0.00741,0.0112,0.00538,0.0111,0.00516,0.0112,0.00536,0.0118,0.00676,0.0112,0.00536,0.9750181897630815,1.0,0.9850695131644847,1.1873125682724364,1.0971119577445643
6,12,1.2044,10.79,0.1139999999999998,314946.9749,8165.4,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,315860.3211272099,8192.03867941622,0.0022899952858255,0.1117100047141743,2.894010933453939,0.0031,1.2075,1.0904,1.0935,1.0051544163705737,0.0464376592489319,0.046689546710487,0.059685546710487,0.2443062559790212,1.0475929198185128,0.9777055089637832,0.0287443756540458,10988595.644892778,284069.48539342184,0.1164645238992527,0.1161655259496977,13.789427290924444,13.71871532009531,4355532.932271708,112963.52173425068,11.185842896306369,0.2901119625959912,4333197.826458079,112384.24653412066,11.128482066164892,0.2886242729187142,0.223~0.270,0.24,0.045~0.070,0.056,0.01,0.00448,0.0104,0.00491,0.0101,0.00453,0.0105,0.00494,0.012,0.00686,0.0104,0.00491,0.0119,0.00686,0.0105,0.00493,0.0103,0.0046,0.0104,0.00491,0.011,0.00628,0.0104,0.00491,0.953539047373949,1.0,0.9788905653510737,1.182131234544704,1.1038433166306783
6,12,1.2044,10.79,0.1179999999999998,280165.4526,7625.1,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,280977.93241254,7649.720291927065,0.0022899952858255,0.1157100047141743,2.894010933453939,0.0031,1.2075,1.0864,1.0895,1.0051544163705737,0.0462673083345925,0.046518757330659,0.060442757330659,0.2458510877150211,1.0552698931983406,0.9773480601399064,0.0295894718812813,9495875.206555815,257696.38709989045,0.1164645238992527,0.1161655259496977,14.24035157442486,14.16732727081291,4001224.542209556,108934.70640305338,10.275911080910504,0.2797651930837932,3980706.3243648047,108376.0909059092,10.223216367107966,0.2783305614812633,0.223~0.270,0.24,0.045~0.070,0.056,0.00921,0.004,0.00971,0.00454,0.00928,0.00405,0.00975,0.00453,0.0112,0.00637,0.00971,0.00454,0.0112,0.00634,0.00974,0.00453,0.00948,0.00414,0.00971,0.00454,0.0103,0.00584,0.00971,0.00454,0.9413299110960601,1.0,0.9627048272212599,1.195963830190043,1.107457760927204
