qv,q2,ex,nu,RT,RL,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.38,0.14436,0.0,0.00646,9.08e-11,2.65e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.08e-11,2.65e-09
0.38,0.14436,0.0001,0.00656,9.81e-11,2.82e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.81e-11,2.82e-09
0.38,0.14436,0.0002,0.00666,1.06e-10,2.99e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-10,2.99e-09
0.38,0.14435,0.0003,0.00676,1.14e-10,3.17e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.14e-10,3.17e-09
0.38,0.14435,0.0004,0.00686,1.24e-10,3.37e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-10,3.37e-09
0.38,0.14435,0.0005,0.00696,1.33e-10,3.57e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-10,3.57e-09
0.38,0.14435,0.0006,0.00706,1.44e-10,3.79e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.44e-10,3.79e-09
0.38,0.14435,0.0007,0.00716,1.55e-10,4.02e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-10,4.02e-09
0.38,0.14435,0.0008,0.00726,1.67e-10,4.26e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.67e-10,4.26e-09
0.38,0.14435,0.0009,0.00736,1.81e-10,4.52e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.81e-10,4.52e-09
0.38,0.14434,0.001,0.00746,1.95e-10,4.79e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.95e-10,4.79e-09
0.38,0.14434,0.0011,0.00756,2.1e-10,5.08e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-10,5.08e-09
0.38,0.14434,0.0012,0.00766,2.26e-10,5.39e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.26e-10,5.39e-09
0.38,0.14434,0.0013,0.00776,2.44e-10,5.71e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.44e-10,5.71e-09
0.38,0.14434,0.0014,0.00786,2.62e-10,6.06e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-10,6.06e-09
0.38,0.14434,0.0015,0.00796,2.83e-10,6.42e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.83e-10,6.42e-09
0.38,0.14434,0.0016,0.00806,3.04e-10,6.8e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.04e-10,6.8e-09
0.38,0.14433,0.0017,0.00816,3.27e-10,7.21e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.27e-10,7.21e-09
0.38,0.14433,0.0018,0.00826,3.52e-10,7.63e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-10,7.63e-09
0.38,0.14433,0.0019,0.00836,3.79e-10,8.09e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.79e-10,8.09e-09
0.38,0.14433,0.002,0.00846,4.08e-10,8.56e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.08e-10,8.56e-09
0.38,0.14433,0.0021,0.00856,4.38e-10,9.07e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.38e-10,9.07e-09
0.38,0.14433,0.0022,0.00866,4.71e-10,9.61e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.71e-10,9.61e-09
0.38,0.14432,0.0023,0.00876,5.06e-10,1.02e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.06e-10,1.02e-08
0.38,0.14432,0.0024,0.00886,5.44e-10,1.1e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.44e-10,1.1e-08
0.38,0.14432,0.0025,0.00896,5.84e-10,1.27e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.84e-10,1.27e-08
0.38,0.14432,0.0026,0.00906,6.27e-10,1.87e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.27e-10,1.87e-08
0.38,0.14432,0.0027,0.00916,6.73e-10,4.41e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.73e-10,4.41e-08
0.38,0.14431,0.0028,0.00926,7.23e-10,1.49e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.23e-10,1.49e-07
0.38,0.14431,0.0029,0.00936,7.76e-10,5.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.76e-10,5.5e-07
