Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.2,90,0.001,91.6571,19.1118,26
6,12,0.2,90,0.003,115.568,21.4604,26
6,12,0.2,90,0.005,147.448,24.2404,26
6,12,0.2,90,0.007,131.508,22.8926,26
6,12,0.2,90,0.009,107.597,20.7071,26
6,12,0.2,90,0.011,143.463,23.9105,26
6,12,0.2,90,0.013,167.374,25.8263,26
6,12,0.2,90,0.015,155.419,24.8869,26
6,12,0.2,90,0.017,147.448,24.2404,26
6,12,0.2,90,0.019,175.344,26.4341,26
6,12,0.2,90,0.021,183.314,27.0282,26
6,12,0.2,90,0.023,191.284,27.6095,26
6,12,0.2,90,0.025,163.389,25.517,26
6,12,0.2,90,0.027,374.599,38.6369,26
6,12,0.2,90,0.029,1227.41,69.9381,26
6,12,0.2,90,0.031,2562.41,101.052,26
6,12,0.2,90,0.033,4260.06,130.295,26
6,12,0.2,90,0.035,6499.68,160.94,26
6,12,0.2,90,0.037,8663.59,185.81,26
6,12,0.2,90,0.039,10177.9,201.395,26
6,12,0.2,90,0.041,13302.2,230.24,26
6,12,0.2,90,0.043,15641.5,249.665,26
6,12,0.2,90,0.045,17829.3,266.555,26
6,12,0.2,90,0.047,20041,282.604,26
6,12,0.2,90,0.049,21778.5,294.6,26
6,12,0.2,90,0.051,23181.3,303.94,26
6,12,0.2,90,0.053,24488.4,312.391,26
6,12,0.2,90,0.055,25683.9,319.926,26
6,12,0.2,90,0.057,25851.3,320.967,26
6,12,0.2,90,0.059,25616.2,319.504,26
6,12,0.2,90,0.061,24440.6,312.086,26
6,12,0.2,90,0.063,24257.2,310.914,26
6,12,0.2,90,0.065,24922.8,315.15,26
6,12,0.2,90,0.067,22942.2,302.368,26
6,12,0.2,90,0.069,22049.5,296.428,26
6,12,0.2,90,0.071,21750.6,294.412,26
6,12,0.2,90,0.073,20758.3,287.618,26
6,12,0.2,90,0.075,19411.4,278.13,26
6,12,0.2,90,0.077,19088.6,275.807,26
6,12,0.2,90,0.079,18729.9,273.204,26
6,12,0.2,90,0.081,18008.6,267.892,26
6,12,0.2,90,0.083,16717.5,258.11,26
6,12,0.2,90,0.085,16207.4,254.141,26
6,12,0.2,90,0.087,14625.3,241.419,26
6,12,0.2,90,0.089,14023.5,236.4,26
6,12,0.2,90,0.091,13501.5,231.958,26
6,12,0.2,90,0.093,12481.3,223.023,26
6,12,0.2,90,0.095,11592.6,214.936,26
6,12,0.2,90,0.097,10855.4,207.99,26
6,12,0.2,90,0.099,10134.1,200.961,26
6,12,0.2,90,0.101,9460.61,194.168,26
6,12,0.2,90,0.103,8492.23,183.963,26
6,12,0.2,90,0.105,7798.82,176.292,26
6,12,0.2,90,0.107,6862.33,165.369,26
6,12,0.2,90,0.109,6400.06,159.702,26
6,12,0.2,90,0.111,5830.19,152.426,26
6,12,0.2,90,0.113,5208.51,144.071,26
6,12,0.2,90,0.115,4411.5,132.59,26
6,12,0.2,90,0.117,3558.69,119.087,26
6,12,0.2,90,0.119,3459.06,117.408,26
6,12,0.2,90,0.121,2570.38,101.209,26
6,12,0.2,90,0.123,2223.68,94.1359,26
6,12,0.2,90,0.125,1566.14,79.0013,26
6,12,0.2,90,0.127,1235.38,70.1648,26
6,12,0.2,90,0.129,844.839,58.0238,26
6,12,0.2,90,0.131,581.823,48.152,26
6,12,0.2,90,0.133,274.971,33.1026,26
6,12,0.2,90,0.135,183.314,27.0282,26
6,12,0.2,90,0.137,147.448,24.2404,26
6,12,0.2,90,0.139,123.538,22.188,26
6,12,0.2,90,0.141,79.7018,17.8219,26
6,12,0.2,90,0.143,151.433,24.5657,26
6,12,0.2,90,0.145,111.583,21.0871,26
6,12,0.2,90,0.147,95.6422,19.5229,26
6,12,0.2,90,0.149,111.583,21.0871,26
6,12,0.2,90,0.151,0,0,26
6,12,0.2,90,0.153,0,0,26
6,12,0.2,90,0.155,0,0,26
6,12,0.2,90,0.157,0,0,26
6,12,0.2,90,0.159,0,0,26
6,12,0.2,90,0.161,0,0,26
6,12,0.2,90,0.163,0,0,26
6,12,0.2,90,0.165,0,0,26
6,12,0.2,90,0.167,0,0,26
6,12,0.2,90,0.169,0,0,26
6,12,0.2,90,0.171,0,0,26
6,12,0.2,90,0.173,0,0,26
6,12,0.2,90,0.175,0,0,26
6,12,0.2,90,0.177,0,0,26
6,12,0.2,90,0.179,0,0,26
6,12,0.2,90,0.181,0,0,26
6,12,0.2,90,0.183,0,0,26
6,12,0.2,90,0.185,0,0,26
6,12,0.2,90,0.187,0,0,26
6,12,0.2,90,0.189,0,0,26
6,12,0.2,90,0.191,0,0,26
6,12,0.2,90,0.193,0,0,26
6,12,0.2,90,0.195,0,0,26
6,12,0.2,90,0.197,0,0,26
6,12,3.595,24,0.017975,0,0,26
6,12,3.595,24,0.053925,0,0,26
6,12,3.595,24,0.089875,0,0,26
6,12,3.595,24,0.125825,0,0,26
6,12,3.595,24,0.161775,0,0,26
6,12,3.595,24,0.197725,0,0,26
6,12,3.595,24,0.233675,0,0,26
6,12,3.595,24,0.269625,0,0,26
6,12,3.595,24,0.305575,0,0,26
6,12,3.595,24,0.341525,0,0,26
6,12,3.595,24,0.377475,0,0,26
6,12,3.595,24,0.413425,0,0,26
6,12,3.595,24,0.449375,0,0,26
6,12,3.595,24,0.485325,0,0,26
6,12,3.595,24,0.521275,0,0,26
6,12,3.595,24,0.557225,0,0,26
6,12,3.595,24,0.593175,0.00155897,0.00155897,26
6,12,3.595,24,0.629125,0.00779487,0.00348597,26
6,12,3.595,24,0.665075,0.0124718,0.00440944,26
6,12,3.595,24,0.701025,0.0311795,0.00697194,26
6,12,3.595,24,0.736975,0.0389743,0.00779487,26
6,12,3.595,24,0.772925,0.056123,0.00935384,26
6,12,3.595,24,0.808875,0.0873025,0.0116663,26
6,12,3.595,24,0.844825,0.0795076,0.0111333,26
6,12,3.595,24,0.880775,0.102892,0.0126652,26
6,12,3.595,24,0.916725,0.110687,0.0131361,26
6,12,3.595,24,0.952675,0.109128,0.0130433,26
6,12,3.595,24,0.988625,0.130954,0.0142882,26
6,12,3.595,24,1.02458,0.16681,0.0161261,26
6,12,3.595,24,1.06053,0.120041,0.0136799,26
6,12,3.595,24,1.09648,0.180841,0.0167907,26
6,12,3.595,24,1.13243,0.179282,0.0167181,26
6,12,3.595,24,1.16838,0.205784,0.0179112,26
6,12,3.595,24,1.20433,0.249436,0.0197196,26
6,12,3.595,24,1.24028,0.233846,0.0190934,26
6,12,3.595,24,1.27623,0.260349,0.0201464,26
6,12,3.595,24,1.31218,0.286851,0.0211469,26
6,12,3.595,24,1.34813,0.296205,0.021489,26
6,12,3.595,24,1.38408,0.353887,0.0234883,26
6,12,3.595,24,1.42003,0.338297,0.0229651,26
6,12,3.595,24,1.45598,0.422482,0.0256639,26
6,12,3.595,24,1.49193,0.439631,0.0261796,26
6,12,3.595,24,1.52788,0.480164,0.0273599,26
6,12,3.595,24,1.56383,0.544082,0.029124,26
6,12,3.595,24,1.59978,0.480164,0.0273599,26
6,12,3.595,24,1.63573,0.57682,0.0299875,26
6,12,3.595,24,1.67168,0.589292,0.0303099,26
6,12,3.595,24,1.70763,0.617353,0.0310232,26
6,12,3.595,24,1.74358,0.601764,0.030629,26
6,12,3.595,24,1.77953,0.608,0.0307873,26
6,12,3.595,24,1.81548,0.600205,0.0305893,26
6,12,3.595,24,1.85143,0.597087,0.0305097,26
6,12,3.595,24,1.88738,0.648533,0.0317969,26
6,12,3.595,24,1.92333,0.632943,0.0314124,26
6,12,3.595,24,1.95928,0.590851,0.03035,26
6,12,3.595,24,1.99523,0.581497,0.0301088,26
6,12,3.595,24,2.03118,0.656328,0.0319875,26
6,12,3.595,24,2.06712,0.615795,0.030984,26
6,12,3.595,24,2.10308,0.606441,0.0307478,26
6,12,3.595,24,2.13903,0.575261,0.0299469,26
6,12,3.595,24,2.17497,0.681271,0.0325896,26
6,12,3.595,24,2.21093,0.632943,0.0314124,26
6,12,3.595,24,2.24688,0.623589,0.0311795,26
6,12,3.595,24,2.28282,0.615795,0.030984,26
6,12,3.595,24,2.31878,0.587733,0.0302698,26
6,12,3.595,24,2.35473,0.632943,0.0314124,26
6,12,3.595,24,2.39067,0.625148,0.0312184,26
6,12,3.595,24,2.42663,0.551877,0.0293319,26
6,12,3.595,24,2.46258,0.618912,0.0310623,26
6,12,3.595,24,2.49852,0.661005,0.0321012,26
6,12,3.595,24,2.53448,0.593969,0.0304299,26
6,12,3.595,24,2.57043,0.611118,0.0308661,26
6,12,3.595,24,2.60637,0.612677,0.0309054,26
6,12,3.595,24,2.64233,0.600205,0.0305893,26
6,12,3.595,24,2.67828,0.63762,0.0315283,26
6,12,3.595,24,2.71422,0.646974,0.0317587,26
6,12,3.595,24,2.75018,0.572143,0.0298656,26
6,12,3.595,24,2.78613,0.614236,0.0309447,26
6,12,3.595,24,2.82207,0.581497,0.0301088,26
6,12,3.595,24,2.85803,0.604882,0.0307082,26
6,12,3.595,24,2.89398,0.62203,0.0311405,26
6,12,3.595,24,2.92992,0.567466,0.0297433,26
6,12,3.595,24,2.96588,0.581497,0.0301088,26
6,12,3.595,24,3.00183,0.551877,0.0293319,26
6,12,3.595,24,3.03777,0.569025,0.0297841,26
6,12,3.595,24,3.07373,0.569025,0.0297841,26
6,12,3.595,24,3.10968,0.508225,0.028148,26
6,12,3.595,24,3.14562,0.525374,0.0286189,26
6,12,3.595,24,3.18158,0.503548,0.0280182,26
6,12,3.595,24,3.21753,0.497313,0.0278442,26
6,12,3.595,24,3.25347,0.428718,0.0258526,26
6,12,3.595,24,3.28943,0.448984,0.0264567,26
6,12,3.595,24,3.32538,0.411569,0.0253303,26
6,12,3.595,24,3.36132,0.377272,0.0242519,26
6,12,3.595,24,3.39728,0.327384,0.0225917,26
6,12,3.595,24,3.43323,0.321149,0.0223755,26
6,12,3.595,24,3.46917,0.260349,0.0201464,26
6,12,3.595,24,3.50513,0.190195,0.0172194,26
6,12,3.595,24,3.54108,0.135631,0.0145411,26
6,12,0.48,60,0.0024,0,0,26
6,12,0.48,60,0.0072,0,0,26
6,12,0.48,60,0.012,0,0,26
6,12,0.48,60,0.0168,0,0,26
6,12,0.48,60,0.0216,0,0,26
6,12,0.48,60,0.0264,0,0,26
6,12,0.48,60,0.0312,0,0,26
6,12,0.48,60,0.036,0,0,26
6,12,0.48,60,0.0408,0,0,26
