Z,A,E0,ThetaDeg,nu,cross,error
6,12,0.4,71.5,0.002,0,0
6,12,0.4,71.5,0.006,0,0
6,12,0.4,71.5,0.01,0,0
6,12,0.4,71.5,0.014,0,0
6,12,0.4,71.5,0.018,0,0
6,12,0.4,71.5,0.022,0,0
6,12,0.4,71.5,0.026,0,0
6,12,0.4,71.5,0.03,0,0
6,12,0.4,71.5,0.034,4.42867,3.13154
6,12,0.4,71.5,0.038,0,0
6,12,0.4,71.5,0.042,0,0
6,12,0.4,71.5,0.046,66.4301,12.1284
6,12,0.4,71.5,0.05,418.51,30.4421
6,12,0.4,71.5,0.054,1031.88,47.8009
6,12,0.4,71.5,0.058,1755.97,62.3563
6,12,0.4,71.5,0.062,2395.91,72.8379
6,12,0.4,71.5,0.066,2887.49,79.9618
6,12,0.4,71.5,0.07,3675.8,90.2189
6,12,0.4,71.5,0.074,4034.52,94.5187
6,12,0.4,71.5,0.078,5030.97,105.547
6,12,0.4,71.5,0.082,5515.91,110.517
6,12,0.4,71.5,0.086,5863.56,113.947
6,12,0.4,71.5,0.09,6616.44,121.041
6,12,0.4,71.5,0.094,6964.09,124.181
6,12,0.4,71.5,0.098,7484.46,128.737
6,12,0.4,71.5,0.102,7621.75,129.912
6,12,0.4,71.5,0.106,8155.4,134.383
6,12,0.4,71.5,0.11,7998.18,133.081
6,12,0.4,71.5,0.114,7404.74,128.049
6,12,0.4,71.5,0.118,7812.18,131.525
6,12,0.4,71.5,0.122,7209.88,126.353
6,12,0.4,71.5,0.126,7068.16,125.105
6,12,0.4,71.5,0.13,6999.52,124.496
6,12,0.4,71.5,0.134,6262.14,117.756
6,12,0.4,71.5,0.138,6025.21,115.507
6,12,0.4,71.5,0.142,5542.48,110.783
6,12,0.4,71.5,0.146,5112.9,106.403
6,12,0.4,71.5,0.15,4718.75,102.22
6,12,0.4,71.5,0.154,4453.03,99.3001
6,12,0.4,71.5,0.158,4094.31,95.2165
6,12,0.4,71.5,0.162,3671.37,90.1645
6,12,0.4,71.5,0.166,3337,85.9607
6,12,0.4,71.5,0.17,3046.93,82.1396
6,12,0.4,71.5,0.174,2712.56,77.5018
6,12,0.4,71.5,0.178,2333.91,71.8892
6,12,0.4,71.5,0.182,2101.41,68.2145
6,12,0.4,71.5,0.186,1698.4,61.3255
6,12,0.4,71.5,0.19,1541.18,58.4182
6,12,0.4,71.5,0.194,1288.74,53.4201
6,12,0.4,71.5,0.198,1175.81,51.0259
6,12,0.4,71.5,0.202,938.879,45.596
6,12,0.4,71.5,0.206,841.448,43.1654
6,12,0.4,71.5,0.21,741.803,40.529
6,12,0.4,71.5,0.214,551.37,34.9416
6,12,0.4,71.5,0.218,478.297,32.544
6,12,0.4,71.5,0.222,387.509,29.2929
6,12,0.4,71.5,0.226,513.726,33.7278
6,12,0.4,71.5,0.23,453.939,31.7045
6,12,0.4,71.5,0.234,489.368,32.9185
6,12,0.4,71.5,0.238,527.012,34.1611
6,12,0.4,71.5,0.242,571.299,35.5675
6,12,0.4,71.5,0.246,597.871,36.3853
6,12,0.4,71.5,0.25,524.798,34.0893
6,12,0.4,71.5,0.254,533.655,34.3757
6,12,0.4,71.5,0.258,595.656,36.3178
6,12,0.4,71.5,0.262,642.157,37.7088
6,12,0.4,71.5,0.266,677.587,38.7351
6,12,0.4,71.5,0.27,657.658,38.1612
6,12,0.4,71.5,0.274,868.02,43.8416
6,12,0.4,71.5,0.278,828.162,42.8232
6,12,0.4,71.5,0.282,821.519,42.6511
6,12,0.4,71.5,0.286,938.879,45.596
6,12,0.4,71.5,0.29,974.308,46.4483
6,12,0.4,71.5,0.294,1111.6,49.613
6,12,0.4,71.5,0.298,1222.31,52.0251
6,12,0.4,71.5,0.302,1315.32,53.9681
6,12,0.4,71.5,0.306,1441.53,56.4981
6,12,0.4,71.5,0.31,1476.96,57.1882
6,12,0.4,71.5,0.314,1678.47,60.9647
6,12,0.4,71.5,0.318,1851.19,64.0246
6,12,0.4,71.5,0.322,2041.62,67.2371
