Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.4,71.5,0.01,0.0912907,0.0527067,26
6,12,0.4,71.5,0.014,0.121721,0.0608605,26
6,12,0.4,71.5,0.018,0.152151,0.0680441,26
6,12,0.4,71.5,0.022,0.486884,0.121721,26
6,12,0.4,71.5,0.026,0.730326,0.149077,26
6,12,0.4,71.5,0.03,0.791186,0.155164,26
6,12,0.4,71.5,0.034,1.12592,0.1851,26
6,12,0.4,71.5,0.038,1.0042,0.174808,26
6,12,0.4,71.5,0.042,2.0084,0.247216,26
6,12,0.4,71.5,0.046,2.3127,0.265285,26
6,12,0.4,71.5,0.05,3.13431,0.308833,26
6,12,0.4,71.5,0.054,3.40819,0.322043,26
6,12,0.4,71.5,0.058,3.16474,0.310329,26
6,12,0.4,71.5,0.062,3.2256,0.313298,26
6,12,0.4,71.5,0.066,4.9297,0.387314,26
6,12,0.4,71.5,0.07,4.53411,0.371448,26
6,12,0.4,71.5,0.074,5.38615,0.404848,26
6,12,0.4,71.5,0.078,6.45121,0.443071,26
6,12,0.4,71.5,0.082,6.51207,0.445156,26
6,12,0.4,71.5,0.086,5.81217,0.420554,26
6,12,0.4,71.5,0.09,6.05562,0.429271,26
6,12,0.4,71.5,0.094,7.02938,0.4625,26
6,12,0.4,71.5,0.098,6.05562,0.429271,26
6,12,0.4,71.5,0.102,7.05981,0.4635,26
6,12,0.4,71.5,0.106,6.81637,0.455438,26
6,12,0.4,71.5,0.11,5.9339,0.424935,26
6,12,0.4,71.5,0.114,5.78174,0.419452,26
6,12,0.4,71.5,0.118,7.12068,0.465493,26
6,12,0.4,71.5,0.122,6.08605,0.430349,26
6,12,0.4,71.5,0.126,6.14691,0.432495,26
6,12,0.4,71.5,0.13,5.5383,0.410526,26
6,12,0.4,71.5,0.134,4.80798,0.382502,26
6,12,0.4,71.5,0.138,5.20357,0.397927,26
6,12,0.4,71.5,0.142,4.77755,0.38129,26
