e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.161,0.1526,60.0,0.8715,0.0246,0.5993,12.15,1.634,130.4,0.09318,0.01253,1.0,0.16,60.0,0.00739999999999999
0.161,0.1476,60.0,0.8817,0.0238,0.5982,6.712,0.9155,52.79,0.1271,0.01734,1.0,0.16,60.0,0.012399999999999994
0.161,0.1426,60.0,0.8919,0.023,0.5965,7.969,0.802,66.26,0.1203,0.01211,1.0,0.16,60.0,0.0174
0.161,0.1376,60.0,0.9021,0.0222,0.5941,12.17,0.8542,86.17,0.1413,0.009913,1.0,0.16,60.0,0.022400000000000003
0.161,0.1326,60.0,0.9123,0.0213,0.5911,10.99,0.7657,62.69,0.1753,0.01222,1.0,0.16,60.0,0.027400000000000008
0.161,0.1276,60.0,0.9225,0.0205,0.5872,8.359,0.658,30.19,0.2769,0.02179,1.0,0.16,60.0,0.03240000000000001
0.161,0.1226,60.0,0.9327,0.0197,0.5826,7.017,0.6009,20.05,0.35,0.02997,1.0,0.16,60.0,0.0374
0.161,0.1176,60.0,0.9429,0.0189,0.577,5.905,0.557,12.44,0.4749,0.04479,1.0,0.16,60.0,0.04240000000000001
0.161,0.1126,60.0,0.9531,0.0181,0.5705,4.856,0.5207,7.401,0.6561,0.07036,1.0,0.16,60.0,0.0474
0.3201,0.3119,90.0,0.6961,0.1997,0.3333,0.01904,0.001751,0.02136,0.891,0.08196,1.0,0.32,90.0,0.008099999999999996
0.3201,0.3069,90.0,0.7086,0.1965,0.3331,0.01821,0.0009917,0.2335,0.07798,0.004247,1.0,0.32,90.0,0.0131
0.3201,0.3019,90.0,0.7212,0.1933,0.333,0.02731,0.002615,0.2984,0.09152,0.008761,1.0,0.32,90.0,0.018100000000000005
0.3201,0.2969,90.0,0.7338,0.1901,0.3327,0.04966,0.002896,0.4582,0.1084,0.00632,1.0,0.32,90.0,0.02310000000000001
0.3201,0.2919,90.0,0.7464,0.1869,0.3324,0.1258,0.006237,0.6553,0.192,0.009518,1.0,0.32,90.0,0.028100000000000014
0.3201,0.2869,90.0,0.759,0.1837,0.332,0.1018,0.005143,0.1939,0.5251,0.02653,1.0,0.32,90.0,0.03310000000000002
0.3201,0.2819,90.0,0.7716,0.1805,0.3315,0.1349,0.006406,0.163,0.8279,0.03931,1.0,0.32,90.0,0.03810000000000002
0.3201,0.2769,90.0,0.7841,0.1773,0.331,0.1614,0.007551,0.2464,0.6549,0.03064,1.0,0.32,90.0,0.04310000000000003
0.3201,0.2719,90.0,0.7967,0.1741,0.3304,0.1871,0.009326,0.3258,0.5741,0.02863,1.0,0.32,90.0,0.04810000000000003
0.3201,0.2669,90.0,0.8093,0.1709,0.3297,0.226,0.0107,0.3646,0.6197,0.02934,1.0,0.32,90.0,0.05309999999999998
0.3201,0.2619,90.0,0.8219,0.1677,0.3289,0.2566,0.01257,0.3599,0.7129,0.03491,1.0,0.32,90.0,0.058099999999999985
0.3201,0.2569,90.0,0.8345,0.1645,0.328,0.2938,0.01391,0.3422,0.8587,0.04065,1.0,0.32,90.0,0.06309999999999999
0.3201,0.2519,90.0,0.8471,0.1613,0.327,0.3162,0.01497,0.3394,0.9316,0.04412,1.0,0.32,90.0,0.0681
0.3201,0.2469,90.0,0.8597,0.1581,0.326,0.3468,0.01684,0.3552,0.9764,0.04741,1.0,0.32,90.0,0.0731
0.3201,0.2419,90.0,0.8722,0.1549,0.3248,0.3708,0.01794,0.3791,0.9781,0.04731,1.0,0.32,90.0,0.0781
0.3201,0.2369,90.0,0.8848,0.1517,0.3235,0.3965,0.01972,0.4021,0.9858,0.04903,1.0,0.32,90.0,0.08310000000000001
0.3201,0.2319,90.0,0.8974,0.1485,0.3221,0.4114,0.02065,0.4198,0.98,0.04919,1.0,0.32,90.0,0.08810000000000001
0.3201,0.2269,90.0,0.91,0.1453,0.3206,0.4312,0.02167,0.4306,1.002,0.05032,1.0,0.32,90.0,0.09310000000000002
0.3201,0.2219,90.0,0.9226,0.1421,0.3189,0.4411,0.02251,0.4338,1.017,0.05189,1.0,0.32,90.0,0.09810000000000002
0.3201,0.2169,90.0,0.9352,0.1389,0.3171,0.4329,0.02237,0.4291,1.009,0.05213,1.0,0.32,90.0,0.1031
0.3201,0.2119,90.0,0.9477,0.1357,0.3152,0.4337,0.02238,0.4174,1.039,0.05362,1.0,0.32,90.0,0.1081
0.3201,0.2069,90.0,0.9603,0.1325,0.3131,0.4163,0.02208,0.3994,1.042,0.05529,1.0,0.32,90.0,0.1131
0.3201,0.2019,90.0,0.9729,0.1293,0.3109,0.3931,0.021,0.3765,1.044,0.05579,1.0,0.32,90.0,0.11810000000000001
0.3201,0.1969,90.0,0.9855,0.1261,0.3086,0.365,0.02054,0.3495,1.044,0.05878,1.0,0.32,90.0,0.12310000000000001
0.3201,0.1919,90.0,0.9981,0.1229,0.306,0.3418,0.01947,0.3211,1.065,0.06064,1.0,0.32,90.0,0.12810000000000002
0.3201,0.1869,90.0,1.0107,0.1197,0.3033,0.3112,0.01829,0.2923,1.065,0.06257,1.0,0.32,90.0,0.1331
0.3201,0.1819,90.0,1.0232,0.1165,0.3005,0.2798,0.0171,0.2642,1.059,0.06473,1.0,0.32,90.0,0.1381
0.3201,0.1769,90.0,1.0358,0.1133,0.2974,0.2516,0.01597,0.2377,1.058,0.06717,1.0,0.32,90.0,0.1431
0.3201,0.1719,90.0,1.0484,0.1101,0.2942,0.2251,0.01487,0.2135,1.055,0.06963,1.0,0.32,90.0,0.1481
0.3201,0.1669,90.0,1.061,0.1068,0.2908,0.2044,0.01385,0.1919,1.065,0.07217,1.0,0.32,90.0,0.1531
0.3201,0.1619,90.0,1.0736,0.1036,0.2871,0.1813,0.01355,0.173,1.048,0.07834,1.0,0.32,90.0,0.15810000000000002
0.3201,0.1569,90.0,1.0862,0.1004,0.2833,0.1688,0.01341,0.1569,1.076,0.08547,1.0,0.32,90.0,0.1631
0.3201,0.1519,90.0,1.0987,0.0972,0.2792,0.149,0.01242,0.1434,1.039,0.08659,1.0,0.32,90.0,0.1681
0.3201,0.1469,90.0,1.1113,0.094,0.2749,0.1399,0.01232,0.1324,1.056,0.09305,1.0,0.32,90.0,0.1731
0.3201,0.1419,90.0,1.1239,0.0908,0.2703,0.1341,0.01227,0.1238,1.083,0.09911,1.0,0.32,90.0,0.1781
0.3201,0.1369,90.0,1.1365,0.0876,0.2655,0.125,0.01297,0.1172,1.067,0.1107,1.0,0.32,90.0,0.1831
0.3201,0.1319,90.0,1.1491,0.0844,0.2605,0.1242,0.01376,0.1125,1.103,0.1222,1.0,0.32,90.0,0.18810000000000002
0.3201,0.1269,90.0,1.1617,0.0812,0.2552,0.125,0.01376,0.1097,1.139,0.1255,1.0,0.32,90.0,0.1931
0.3201,0.1219,90.0,1.1742,0.078,0.2496,0.12,0.01452,0.1085,1.106,0.1339,1.0,0.32,90.0,0.1981
0.3201,0.1169,90.0,1.1868,0.0748,0.2437,0.1242,0.01616,0.1089,1.141,0.1485,1.0,0.32,90.0,0.2031
0.3201,0.1119,90.0,1.1994,0.0716,0.2375,0.1258,0.01779,0.1112,1.131,0.16,1.0,0.32,90.0,0.2081
0.3201,0.1069,90.0,1.212,0.0684,0.231,0.1283,0.01942,0.1144,1.122,0.1698,1.0,0.32,90.0,0.2131
0.3201,0.1019,90.0,1.2246,0.0652,0.2242,0.1374,0.02191,0.1189,1.156,0.1843,1.0,0.32,90.0,0.21810000000000002
0.32,0.3172,60.0,0.7841,0.1015,0.6,0.3882,0.01763,1.024,0.3791,0.01722,1.0,0.32,60.0,0.0028000000000000247
0.32,0.3122,60.0,0.7951,0.0999,0.5999,2.5,0.09897,22.33,0.112,0.004432,1.0,0.32,60.0,0.007800000000000029
0.32,0.3072,60.0,0.8061,0.0983,0.5996,1.928,0.0679,21.25,0.0907,0.003195,1.0,0.32,60.0,0.012800000000000034
0.32,0.3022,60.0,0.8171,0.0967,0.5992,1.352,0.04843,11.46,0.1179,0.004226,1.0,0.32,60.0,0.017799999999999983
0.32,0.2972,60.0,0.828,0.0951,0.5987,1.544,0.05509,9.865,0.1566,0.005584,1.0,0.32,60.0,0.022799999999999987
0.32,0.2922,60.0,0.839,0.0935,0.598,1.462,0.05255,5.995,0.2438,0.008766,1.0,0.32,60.0,0.02779999999999999
0.32,0.2872,60.0,0.85,0.0919,0.5972,1.719,0.06128,4.414,0.3894,0.01388,1.0,0.32,60.0,0.032799999999999996
0.32,0.2822,60.0,0.861,0.0903,0.5962,1.77,0.06301,4.488,0.3943,0.01404,1.0,0.32,60.0,0.0378
0.32,0.2772,60.0,0.872,0.0887,0.5951,1.928,0.06836,4.74,0.4068,0.01442,1.0,0.32,60.0,0.042800000000000005
0.32,0.2722,60.0,0.8829,0.0871,0.5938,2.048,0.07271,4.472,0.4579,0.01626,1.0,0.32,60.0,0.04780000000000001
0.32,0.2672,60.0,0.8939,0.0855,0.5923,2.138,0.07588,3.813,0.5606,0.0199,1.0,0.32,60.0,0.052800000000000014
0.32,0.2622,60.0,0.9049,0.0839,0.5906,2.173,0.07767,3.042,0.7145,0.02554,1.0,0.32,60.0,0.05780000000000002
0.32,0.2572,60.0,0.9159,0.0823,0.5887,2.183,0.07881,2.462,0.8865,0.03201,1.0,0.32,60.0,0.06280000000000002
0.32,0.2522,60.0,0.9269,0.0807,0.5866,2.149,0.07844,2.152,0.9986,0.03646,1.0,0.32,60.0,0.06780000000000003
0.32,0.2472,60.0,0.9379,0.0791,0.5843,2.053,0.07611,1.993,1.03,0.03818,1.0,0.32,60.0,0.0728
0.32,0.2422,60.0,0.9488,0.0775,0.5818,1.847,0.06966,1.871,0.9875,0.03724,1.0,0.32,60.0,0.07780000000000001
0.32,0.2372,60.0,0.9598,0.0759,0.5791,1.693,0.065,1.738,0.9745,0.03741,1.0,0.32,60.0,0.08280000000000001
0.32,0.2322,60.0,0.9708,0.0743,0.5761,1.501,0.05898,1.59,0.9444,0.0371,1.0,0.32,60.0,0.08780000000000002
0.32,0.2272,60.0,0.9818,0.0727,0.5729,1.321,0.05382,1.434,0.9209,0.03752,1.0,0.32,60.0,0.0928
0.32,0.2222,60.0,0.9928,0.0711,0.5694,1.176,0.04953,1.28,0.9191,0.03871,1.0,0.32,60.0,0.0978
0.32,0.2172,60.0,1.0038,0.0695,0.5656,1.011,0.04491,1.132,0.8937,0.03968,1.0,0.32,60.0,0.1028
0.32,0.2122,60.0,1.0147,0.0679,0.5616,0.8881,0.04122,0.9944,0.8931,0.04145,1.0,0.32,60.0,0.1078
0.32,0.2072,60.0,1.0257,0.0663,0.5572,0.7714,0.03838,0.8713,0.8853,0.04405,1.0,0.32,60.0,0.11280000000000001
0.32,0.2022,60.0,1.0367,0.0647,0.5526,0.6745,0.03534,0.7607,0.8867,0.04645,1.0,0.32,60.0,0.11780000000000002
0.32,0.1972,60.0,1.0477,0.0631,0.5477,0.591,0.03326,0.6637,0.8904,0.05011,1.0,0.32,60.0,0.12280000000000002
0.32,0.1922,60.0,1.0587,0.0615,0.5424,0.5115,0.03133,0.5797,0.8824,0.05404,1.0,0.32,60.0,0.1278
0.32,0.1872,60.0,1.0697,0.0599,0.5368,0.4701,0.03001,0.5098,0.9221,0.05885,1.0,0.32,60.0,0.1328
0.32,0.1822,60.0,1.0806,0.0583,0.5308,0.4354,0.02953,0.4488,0.9701,0.06581,1.0,0.32,60.0,0.1378
0.32,0.1772,60.0,1.0916,0.0567,0.5245,0.3807,0.02884,0.3975,0.9579,0.07257,1.0,0.32,60.0,0.1428
0.32,0.1722,60.0,1.1026,0.0551,0.5179,0.346,0.02922,0.3549,0.9748,0.08233,1.0,0.32,60.0,0.14780000000000001
0.32,0.1672,60.0,1.1136,0.0535,0.5108,0.3153,0.02969,0.3226,0.9776,0.09204,1.0,0.32,60.0,0.15280000000000002
0.32,0.1622,60.0,1.1246,0.0519,0.5034,0.2806,0.03017,0.2946,0.9524,0.1024,1.0,0.32,60.0,0.1578
0.32,0.1572,60.0,1.1356,0.0503,0.4956,0.2524,0.03074,0.2728,0.9255,0.1127,1.0,0.32,60.0,0.1628
0.32,0.1522,60.0,1.1465,0.0487,0.4873,0.2367,0.03305,0.2586,0.9153,0.1278,1.0,0.32,60.0,0.1678
