Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.4,71.5,0.046,37.4011,7.63447,26
6,12,0.4,71.5,0.05,282.067,20.965899999999998,26
6,12,0.4,71.5,0.054,716.855,33.423500000000004,26
6,12,0.4,71.5,0.058,1335.5300000000002,45.6209,26
6,12,0.4,71.5,0.062,1760.97,52.3857,26
6,12,0.4,71.5,0.066,2209.7799999999997,58.682900000000004,26
6,12,0.4,71.5,0.07,2452.89,61.8266,26
6,12,0.4,71.5,0.074,3116.76,69.69290000000001,26
6,12,0.4,71.5,0.078,3495.45,73.80539999999999,26
6,12,0.4,71.5,0.082,4111.01,80.0407,26
6,12,0.4,71.5,0.086,4391.51,82.72630000000001,26
6,12,0.4,71.5,0.09,5099.02,89.1415,26
6,12,0.4,71.5,0.094,5421.599999999999,91.918,26
6,12,0.4,71.5,0.098,5600.82,93.4248,26
6,12,0.4,71.5,0.102,5938.990000000001,96.20389999999999,26
6,12,0.4,71.5,0.106,6038.719999999999,97.0084,26
6,12,0.4,71.5,0.11,5940.54,96.2165,26
6,12,0.4,71.5,0.114,5873.53,95.6723,26
6,12,0.4,71.5,0.118,5864.18,95.59620000000001,26
6,12,0.4,71.5,0.122,5437.1900000000005,92.05000000000001,26
6,12,0.4,71.5,0.126,5127.07,89.38640000000001,26
6,12,0.4,71.5,0.13,5108.37,89.2232,26
6,12,0.4,71.5,0.134,4743.71,85.9796,26
6,12,0.4,71.5,0.138,4522.42,83.9503,26
6,12,0.4,71.5,0.142,4156.2,80.47940000000001,26
6,12,0.4,71.5,0.146,3913.09,78.0902,26
6,12,0.4,71.5,0.15,3623.23,75.1424,26
6,12,0.4,71.5,0.154,3289.7400000000002,71.6007,26
6,12,0.4,71.5,0.158,2932.87,67.6057,26
6,12,0.4,71.5,0.162,2780.15,65.8219,26
6,12,0.4,71.5,0.166,2482.5,62.1987,26
6,12,0.4,71.5,0.17,2326.66,60.2148,26
6,12,0.4,71.5,0.174,2030.57,56.253,26
6,12,0.4,71.5,0.178,1826.4199999999998,53.350300000000004,26
6,12,0.4,71.5,0.182,1665.91,50.9521,26
6,12,0.4,71.5,0.186,1567.73,49.427899999999994,26
6,12,0.4,71.5,0.19,1383.84,46.4387,26
6,12,0.4,71.5,0.194,1312.16,45.2199,26
6,12,0.4,71.5,0.198,1171.8999999999999,42.734899999999996,26
6,12,0.4,71.5,0.202,1111.1200000000001,41.612,26
6,12,0.4,71.5,0.206,1076.84,40.9649,26
6,12,0.4,71.5,0.21,1114.24,41.6703,26
6,12,0.4,71.5,0.214,1159.43,42.5069,26
6,12,0.4,71.5,0.218,1226.44,43.717999999999996,26
6,12,0.4,71.5,0.222,1259.1699999999998,44.2975,26
6,12,0.4,71.5,0.226,1352.67,45.9127,26
6,12,0.4,71.5,0.23,1527.21,48.785000000000004,26
6,12,0.4,71.5,0.234,1806.16,53.053599999999996,26
6,12,0.4,71.5,0.238,1913.6899999999998,54.61,26
6,12,0.4,71.5,0.242,2039.9199999999998,56.3823,26
6,12,0.4,71.5,0.246,2345.3599999999997,60.4563,26
6,12,0.4,71.5,0.25,2628.99,64.0075,26
6,12,0.4,71.5,0.254,2655.48,64.3292,26
6,12,0.4,71.5,0.258,2981.1800000000003,68.1602,26
6,12,0.4,71.5,0.262,2946.8999999999996,67.7671,26
6,12,0.4,71.5,0.266,3246.1099999999997,71.1243,26
6,12,0.4,71.5,0.27,3367.66,72.4437,26
6,12,0.4,71.5,0.274,3523.5,74.1009,26
6,12,0.4,71.5,0.278,3724.53,76.1855,26
6,12,0.4,71.5,0.282,3747.9,76.4242,26
6,12,0.4,71.5,0.286,4118.8,80.11649999999999,26
6,12,0.4,71.5,0.29,4087.6299999999997,79.81280000000001,26
6,12,0.4,71.5,0.294,4216.9800000000005,81.0657,26
6,12,0.4,71.5,0.298,4385.28,82.6676,26
6,12,0.4,71.5,0.302,4407.099999999999,82.873,26
6,12,0.4,71.5,0.306,4517.74,83.90690000000001,26
6,12,0.4,71.5,0.31,4572.29,84.4118,26
6,12,0.4,71.5,0.314,4506.83,83.80550000000001,26
6,12,0.4,71.5,0.318,4745.2699999999995,85.9938,26
6,12,0.4,71.5,0.322,4760.849999999999,86.1349,26
6,12,0.4,71.5,0.326,4787.34,86.3742,26
6,12,0.4,71.5,0.33,4656.44,85.1851,26
6,12,0.4,71.5,0.334,4664.23,85.2563,26
6,12,0.4,71.5,0.338,4509.95,83.8345,26
6,12,0.4,71.5,0.342,4693.84,85.5265,26
6,12,0.4,71.5,0.346,4453.85,83.31139999999999,26
6,12,0.4,71.5,0.35,4628.389999999999,84.9281,26
6,12,0.4,71.5,0.354,4301.13,81.8706,26
6,12,0.4,71.5,0.358,4187.37,80.78059999999999,26
6,12,0.4,71.5,0.362,4271.5199999999995,81.5883,26
6,12,0.4,71.5,0.366,4068.93,79.63000000000001,26
6,12,0.4,71.5,0.37,3900.62,77.9657,26
6,12,0.4,71.5,0.374,3797.77,76.9309,26
6,12,0.4,71.5,0.378,3757.25,76.51950000000001,26
6,12,0.4,71.5,0.382,3444.02,73.2604,26
6,12,0.4,71.5,0.386,3127.67,69.81469999999999,26
6,12,0.4,71.5,0.39,3102.73,69.5359,26
6,12,0.4,71.5,0.394,3138.58,69.93639999999999,26
6,12,0.32,117.0,0.0528,1.70594,1.70594,26
6,12,0.32,117.0,0.056,35.8247,7.817589999999999,26
6,12,0.32,117.0,0.0592,87.00280000000001,12.1828,26
6,12,0.32,117.0,0.0624,148.417,15.9119,26
6,12,0.32,117.0,0.0656,197.889,18.3735,26
6,12,0.32,117.0,0.0688,245.655,20.471300000000003,26
6,12,0.32,117.0,0.072,325.834,23.5765,26
6,12,0.32,117.0,0.0752,417.95500000000004,26.702199999999998,26
6,12,0.32,117.0,0.0784,528.841,30.0361,26
6,12,0.32,117.0,0.0816,646.55,33.2111,26
6,12,0.32,117.0,0.0848,682.375,34.1188,26
6,12,0.32,117.0,0.088,844.4390000000001,37.9547,26
6,12,0.32,117.0,0.0912,970.679,40.693,26
6,12,0.32,117.0,0.0944,1042.33,42.1681,26
6,12,0.32,117.0,0.0976,1161.74,44.5181,26
6,12,0.32,117.0,0.1008,1247.04,46.1235,26
6,12,0.32,117.0,0.104,1405.69,48.9696,26
6,12,0.32,117.0,0.1072,1490.99,50.4335,26
6,12,0.32,117.0,0.1104,1537.05,51.206599999999995,26
6,12,0.32,117.0,0.1136,1687.17,53.649,26
6,12,0.32,117.0,0.1168,1658.1699999999998,53.185900000000004,26
6,12,0.32,117.0,0.12,1791.23,55.2787,26
6,12,0.32,117.0,0.1232,1864.59,56.39919999999999,26
6,12,0.32,117.0,0.1264,1804.88,55.4889,26
6,12,0.32,117.0,0.1296,1752.0,54.6699,26
6,12,0.32,117.0,0.1328,1709.35,54.0004,26
6,12,0.32,117.0,0.136,1661.5800000000002,53.2406,26
6,12,0.32,117.0,0.1392,1543.8700000000001,51.320100000000004,26
6,12,0.32,117.0,0.1424,1521.7,50.9502,26
6,12,0.32,117.0,0.1456,1446.6399999999999,49.6777,26
6,12,0.32,117.0,0.1488,1334.04,47.7053,26
6,12,0.32,117.0,0.152,1308.4499999999998,47.2455,26
6,12,0.32,117.0,0.1552,1136.15,44.025099999999995,26
6,12,0.32,117.0,0.1584,1161.74,44.5181,26
6,12,0.32,117.0,0.1616,1057.68,42.4775,26
6,12,0.32,117.0,0.1648,982.62,40.9425,26
6,12,0.32,117.0,0.168,873.4399999999999,38.601000000000006,26
6,12,0.32,117.0,0.1712,870.028,38.525499999999994,26
6,12,0.32,117.0,0.1744,801.791,36.9839,26
6,12,0.32,117.0,0.1776,697.729,34.5005,26
6,12,0.32,117.0,0.1808,716.4939999999999,34.9613,26
6,12,0.32,117.0,0.184,612.432,32.322900000000004,26
6,12,0.32,117.0,0.1872,539.076,30.3254,26
6,12,0.32,117.0,0.1904,508.36899999999997,29.449099999999998,26
6,12,0.32,117.0,0.1936,547.606,30.5644,26
6,12,0.32,117.0,0.1968,481.074,28.647599999999997,26
