Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.4,71.5,0.01,91.2907,52.706700000000005,26
6,12,0.4,71.5,0.014,121.72099999999999,60.860499999999995,26
6,12,0.4,71.5,0.018,152.151,68.0441,26
6,12,0.4,71.5,0.022,486.88399999999996,121.72099999999999,26
6,12,0.4,71.5,0.026,730.326,149.077,26
6,12,0.4,71.5,0.03,791.1859999999999,155.164,26
6,12,0.4,71.5,0.034,1125.92,185.1,26
6,12,0.4,71.5,0.038,1004.1999999999999,174.808,26
6,12,0.4,71.5,0.042,2008.3999999999999,247.21599999999998,26
6,12,0.4,71.5,0.046,2312.7,265.28499999999997,26
6,12,0.4,71.5,0.05,3134.31,308.833,26
6,12,0.4,71.5,0.054,3408.19,322.043,26
6,12,0.4,71.5,0.058,3164.7400000000002,310.329,26
6,12,0.4,71.5,0.062,3225.6,313.298,26
6,12,0.4,71.5,0.066,4929.700000000001,387.31399999999996,26
6,12,0.4,71.5,0.07,4534.11,371.448,26
6,12,0.4,71.5,0.074,5386.15,404.848,26
6,12,0.4,71.5,0.078,6451.21,443.07099999999997,26
6,12,0.4,71.5,0.082,6512.07,445.156,26
6,12,0.4,71.5,0.086,5812.17,420.554,26
6,12,0.4,71.5,0.09,6055.62,429.271,26
6,12,0.4,71.5,0.094,7029.38,462.5,26
6,12,0.4,71.5,0.098,6055.62,429.271,26
6,12,0.4,71.5,0.102,7059.8099999999995,463.5,26
6,12,0.4,71.5,0.106,6816.37,455.438,26
6,12,0.4,71.5,0.11,5933.900000000001,424.935,26
6,12,0.4,71.5,0.114,5781.74,419.452,26
6,12,0.4,71.5,0.118,7120.68,465.493,26
6,12,0.4,71.5,0.122,6086.05,430.349,26
6,12,0.4,71.5,0.126,6146.91,432.495,26
6,12,0.4,71.5,0.13,5538.299999999999,410.526,26
6,12,0.4,71.5,0.134,4807.98,382.502,26
6,12,0.4,71.5,0.138,5203.57,397.92699999999996,26
6,12,0.4,71.5,0.142,4777.55,381.29,26
6,12,0.4,71.5,0.146,4199.37,357.474,26
6,12,0.4,71.5,0.15,4260.23,360.055,26
6,12,0.4,71.5,0.154,3712.49,336.113,26
6,12,0.4,71.5,0.158,3499.48,326.32800000000003,26
6,12,0.4,71.5,0.162,3438.62,323.478,26
6,12,0.4,71.5,0.166,3043.02,304.302,26
6,12,0.4,71.5,0.17,2738.72,288.687,26
6,12,0.4,71.5,0.174,2525.71,277.233,26
6,12,0.4,71.5,0.178,2403.99,270.46999999999997,26
6,12,0.4,71.5,0.182,2312.7,265.28499999999997,26
6,12,0.4,71.5,0.186,2160.55,256.41,26
6,12,0.4,71.5,0.19,2130.12,254.59799999999998,26
6,12,0.4,71.5,0.194,1795.3799999999999,233.739,26
6,12,0.4,71.5,0.198,1460.65,210.827,26
6,12,0.4,71.5,0.202,1673.6599999999999,225.677,26
6,12,0.4,71.5,0.206,1795.3799999999999,233.739,26
6,12,0.4,71.5,0.21,2008.3999999999999,247.21599999999998,26
6,12,0.4,71.5,0.214,1491.08,213.012,26
6,12,0.4,71.5,0.218,1308.5,199.544,26
6,12,0.4,71.5,0.222,1460.65,210.827,26
6,12,0.4,71.5,0.226,1217.2099999999998,192.458,26
6,12,0.4,71.5,0.23,1278.07,197.21,26
6,12,0.4,71.5,0.234,1460.65,210.827,26
6,12,0.4,71.5,0.238,1430.22,208.619,26
6,12,0.4,71.5,0.242,1886.67,239.60799999999998,26
6,12,0.4,71.5,0.246,1764.95,231.75,26
6,12,0.4,71.5,0.25,1338.93,201.851,26
6,12,0.4,71.5,0.254,1551.94,217.315,26
6,12,0.4,71.5,0.258,1582.3700000000001,219.43599999999998,26
6,12,0.4,71.5,0.262,1612.8,221.535,26
6,12,0.4,71.5,0.266,1247.64,194.849,26
6,12,0.4,71.5,0.27,1643.23,223.616,26
6,12,0.4,71.5,0.274,1734.52,229.743,26
6,12,0.4,71.5,0.278,1917.1000000000001,241.533,26
6,12,0.4,71.5,0.282,1856.2399999999998,237.66799999999998,26
6,12,0.4,71.5,0.286,1764.95,231.75,26
6,12,0.4,71.5,0.29,2038.83,249.082,26
6,12,0.4,71.5,0.294,2130.12,254.59799999999998,26
6,12,0.4,71.5,0.298,2251.84,261.77099999999996,26
6,12,0.4,71.5,0.302,1764.95,231.75,26
6,12,0.4,71.5,0.306,1917.1000000000001,241.533,26
6,12,0.4,71.5,0.31,2343.13,267.024,26
6,12,0.4,71.5,0.314,2343.13,267.024,26
6,12,0.4,71.5,0.318,2251.84,261.77099999999996,26
6,12,0.4,71.5,0.322,3408.19,322.043,26
6,12,0.4,71.5,0.326,3043.02,304.302,26
6,12,0.4,71.5,0.33,2982.16,301.244,26
6,12,0.4,71.5,0.334,3621.2,331.955,26
6,12,0.4,71.5,0.338,2982.16,301.244,26
6,12,0.4,71.5,0.342,3408.19,322.043,26
6,12,0.4,71.5,0.346,3895.07,344.279,26
6,12,0.4,71.5,0.35,4108.08,353.567,26
6,12,0.4,71.5,0.354,4077.65,352.255,26
6,12,0.4,71.5,0.358,4351.5199999999995,363.89300000000003,26
6,12,0.4,71.5,0.362,4047.2200000000003,350.939,26
6,12,0.4,71.5,0.366,91.2907,52.706700000000005,26
6,12,0.56,163.8,0.21,84.7782,84.7782,26
6,12,0.56,163.8,0.2492,169.556,119.894,26
6,12,0.56,163.8,0.2604,254.334,146.84,26
6,12,0.56,163.8,0.266,169.556,119.894,26
6,12,0.56,163.8,0.2716,84.7782,84.7782,26
6,12,0.56,163.8,0.2772,169.556,119.894,26
6,12,0.56,163.8,0.2828,84.7782,84.7782,26
6,12,0.56,163.8,0.2884,169.556,119.894,26
6,12,0.56,163.8,0.2996,169.556,119.894,26
6,12,0.56,163.8,0.3052,84.7782,84.7782,26
6,12,0.56,163.8,0.3108,339.113,169.556,26
6,12,0.56,163.8,0.3164,254.334,146.84,26
6,12,0.56,163.8,0.322,254.334,146.84,26
6,12,0.56,163.8,0.3276,84.7782,84.7782,26
6,12,0.56,163.8,0.3332,593.447,224.302,26
6,12,0.56,163.8,0.3388,169.556,119.894,26
6,12,0.56,163.8,0.3444,84.7782,84.7782,26
6,12,0.56,163.8,0.35,254.334,146.84,26
6,12,0.56,163.8,0.3556,254.334,146.84,26
6,12,0.56,163.8,0.3612,84.7782,84.7782,26
6,12,0.56,163.8,0.3668,339.113,169.556,26
6,12,0.56,163.8,0.3724,169.556,119.894,26
6,12,0.56,163.8,0.378,169.556,119.894,26
6,12,0.56,163.8,0.3836,169.556,119.894,26
6,12,0.56,163.8,0.3892,254.334,146.84,26
6,12,0.56,163.8,0.3948,254.334,146.84,26
6,12,0.56,163.8,0.4004,339.113,169.556,26
6,12,0.56,163.8,0.406,339.113,169.556,26
6,12,0.56,163.8,0.4116,254.334,146.84,26
6,12,0.56,163.8,0.4172,169.556,119.894,26
6,12,0.56,163.8,0.4228,84.7782,84.7782,26
6,12,0.56,163.8,0.4284,423.891,189.57,26
6,12,0.56,163.8,0.434,84.7782,84.7782,26
6,12,0.56,163.8,0.4396,254.334,146.84,26
6,12,0.56,163.8,0.4452,339.113,169.556,26
6,12,0.56,163.8,0.4508,678.225,239.78900000000002,26
6,12,0.56,163.8,0.4564,847.782,268.092,26
6,12,0.56,163.8,0.462,423.891,189.57,26
6,12,0.56,163.8,0.4676,254.334,146.84,26
6,12,0.56,163.8,0.4732,423.891,189.57,26
6,12,0.56,163.8,0.4788,339.113,169.556,26
6,12,0.56,163.8,0.4844,423.891,189.57,26
6,12,0.56,163.8,0.49,508.66900000000004,207.66299999999998,26
6,12,0.56,163.8,0.4956,508.66900000000004,207.66299999999998,26
6,12,0.56,163.8,0.5012,508.66900000000004,207.66299999999998,26
6,12,0.56,163.8,0.5068,339.113,169.556,26
6,12,0.56,163.8,0.5124,593.447,224.302,26
6,12,0.56,163.8,0.518,423.891,189.57,26
6,12,0.56,163.8,0.5236,508.66900000000004,207.66299999999998,26
6,12,0.56,163.8,0.5292,84.7782,84.7782,26
6,12,0.56,163.8,0.5348,593.447,224.302,26
6,12,0.56,163.8,0.5404,169.556,119.894,26
6,12,0.56,163.8,0.546,254.334,146.84,26
6,12,0.24,156.667,0.0108,166.357,117.632,26
6,12,0.24,156.667,0.0156,83.1786,83.1786,26
6,12,0.24,156.667,0.0204,249.536,144.07,26
6,12,0.24,156.667,0.0228,83.1786,83.1786,26
6,12,0.24,156.667,0.0252,83.1786,83.1786,26
6,12,0.24,156.667,0.0276,499.072,203.745,26
6,12,0.24,156.667,0.03,249.536,144.07,26
6,12,0.24,156.667,0.0324,499.072,203.745,26
6,12,0.24,156.667,0.0348,415.89300000000003,185.993,26
6,12,0.24,156.667,0.0372,831.7860000000001,263.034,26
