Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.4,71.5,0.01,68.47409999999999,39.5335,26
6,12,0.4,71.5,0.014,91.2988,45.6494,26
6,12,0.4,71.5,0.018,68.47409999999999,39.5335,26
6,12,0.4,71.5,0.022,296.721,82.2956,26
6,12,0.4,71.5,0.026,524.968,109.46300000000001,26
6,12,0.4,71.5,0.03,456.494,102.075,26
6,12,0.4,71.5,0.034,981.462,149.672,26
6,12,0.4,71.5,0.038,776.04,133.09,26
6,12,0.4,71.5,0.042,1529.26,186.828,26
6,12,0.4,71.5,0.046,1574.8999999999999,189.59599999999998,26
6,12,0.4,71.5,0.05,2350.94,231.64499999999998,26
6,12,0.4,71.5,0.054,2442.24,236.101,26
6,12,0.4,71.5,0.058,2419.42,234.995,26
6,12,0.4,71.5,0.062,2556.37,241.554,26
6,12,0.4,71.5,0.066,3743.25,292.299,26
6,12,0.4,71.5,0.07,3218.28,271.02799999999996,26
6,12,0.4,71.5,0.074,3903.02,298.47200000000004,26
6,12,0.4,71.5,0.078,4724.71,328.39000000000004,26
6,12,0.4,71.5,0.082,4793.1900000000005,330.761,26
6,12,0.4,71.5,0.086,4336.69,314.61699999999996,26
6,12,0.4,71.5,0.09,4770.360000000001,329.973,26
6,12,0.4,71.5,0.094,5249.679999999999,346.154,26
6,12,0.4,71.5,0.098,4313.87,313.788,26
6,12,0.4,71.5,0.102,5249.679999999999,346.154,26
6,12,0.4,71.5,0.106,4861.66,333.11600000000004,26
6,12,0.4,71.5,0.11,4542.12,321.98199999999997,26
6,12,0.4,71.5,0.114,4222.57,310.45,26
6,12,0.4,71.5,0.118,5340.9800000000005,349.151,26
6,12,0.4,71.5,0.122,4427.990000000001,317.911,26
6,12,0.4,71.5,0.126,4336.69,314.61699999999996,26
6,12,0.4,71.5,0.13,4291.04,312.957,26
6,12,0.4,71.5,0.134,3994.32,301.942,26
6,12,0.4,71.5,0.138,4039.9700000000003,303.663,26
6,12,0.4,71.5,0.142,3925.85,299.343,26
6,12,0.4,71.5,0.146,3286.76,273.89599999999996,26
6,12,0.4,71.5,0.15,2944.39,259.239,26
6,12,0.4,71.5,0.154,2784.6099999999997,252.10700000000003,26
6,12,0.4,71.5,0.158,2602.02,243.701,26
6,12,0.4,71.5,0.162,2693.3199999999997,247.94,26
6,12,0.4,71.5,0.166,2328.1200000000003,230.518,26
6,12,0.4,71.5,0.17,2168.3500000000004,222.468,26
6,12,0.4,71.5,0.174,2145.52,221.29399999999998,26
