# p n -> p p pi-
# data points from Landolt-Börnstein (12b, 314)
#
# p_lab[GeV] sigma[mb] err[mb] Ref.

1.140     0.55000       0.04000 Dakhno,SJNP36,83-82
1.216	  1.05000	0.08000	Dakhno,SJNP36,83-82
1.291	  1.32000	0.08000	Dakhno,SJNP36,83-82
1.348	  1.59000	0.08000	Dakhno,SJNP36,83-82
1.379	  1.74000	0.09000	Dakhno,SJNP36,83-82
1.437	  2.09000	0.11000	Dakhno,SJNP36,83-82
1.5O7	  2.23000	0.12000	Dekhno,SJNP36,33-82
1.562	  2.29000	0.12000	Dakhno,SJNP36,83-82
1.671	  2.50000	0.12000	Dakhno,SJNP36,83-82
1.825	  2.57000	0.14000	Brunt,PRl87,1856-69
2.110	  2.68000	0.19000	Brunt,PR187,1856-69
3.700	  3.20000	0.60000	Cohn,NPB21,505-70
3.700	  1.80000	0.18000	Bugg,BAPSl2,470-67
5.900	  1.40000	0.10000	Kirschbaum,PRD7,1324-73
6.980	  1.17000	0.05000	YekutieE,NPB40,77-72
12.500	  0.75700	0.05200	Cooper,NPB79,259-74
19.000	  0.65000	0.03000	Bakken,NPB124,229-77
