qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.29397,0.0864,0.00015,0.00401,2.0886764e-10,7.3895313e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0886764e-10,7.3895313e-09
0.29397,0.0864,0.0003,0.00416,2.3444161e-10,8.1706217e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.3444161e-10,8.1706217e-09
0.29397,0.0864,0.00045,0.00431,2.6300114e-10,9.0322343e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.6300114e-10,9.0322343e-09
0.29397,0.0864,0.0006,0.00446,2.948764e-10,9.9824026e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.948764e-10,9.9824026e-09
0.29397,0.0864,0.00075,0.00461,3.3043178e-10,1.1029928e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.3043178e-10,1.1029928e-08
0.29398,0.0864,0.0009,0.00476,3.7006928e-10,1.2184449e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.7006928e-10,1.2184449e-08
0.29398,0.0864,0.00105,0.00491,4.1423203e-10,1.3456515e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.1423203e-10,1.3456515e-08
0.29398,0.0864,0.0012,0.00506,4.6340824e-10,1.4857673e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.6340824e-10,1.4857673e-08
0.29399,0.0864,0.00135,0.00521,5.1813538e-10,1.6400549e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.1813538e-10,1.6400549e-08
0.29399,0.0864,0.0015,0.00536,5.790048e-10,1.8098947e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.790048e-10,1.8098947e-08
0.29399,0.0864,0.00165,0.00551,6.4666672e-10,1.9967956e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.4666672e-10,1.9967956e-08
0.29399,0.0864,0.0018,0.00566,7.2183558e-10,2.2024061e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.2183558e-10,2.2024061e-08
0.294,0.0864,0.00195,0.00581,8.0529589e-10,2.4285389e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.0529589e-10,2.4285389e-08
0.294,0.0864,0.0021,0.00596,8.9790855e-10,2.6774524e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.9790855e-10,2.6774524e-08
0.294,0.0864,0.00225,0.00611,1.0006177e-09,2.9567107e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0006177e-09,2.9567107e-08
0.29401,0.0864,0.0024,0.00626,1.1144578e-09,3.3502934e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1144578e-09,3.3502934e-08
0.29401,0.0864,0.00255,0.00641,1.2405622e-09,4.8636677e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2405622e-09,4.8636677e-08
0.29401,0.0864,0.0027,0.00656,1.3801709e-09,1.7524216e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3801709e-09,1.7524216e-07
0.29402,0.0864,0.00285,0.00671,1.5346405e-09,1.226047e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5346405e-09,1.226047e-06
0.29402,0.0864,0.003,0.00686,1.7054534e-09,8.5214121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.7054534e-09,8.5214121e-06
0.29402,0.0864,0.00315,0.00701,1.894229e-09,5.0010882e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.894229e-09,5.0010882e-05
0.29403,0.0864,0.0033,0.00716,2.1027351e-09,0.00024242207,0.0,0.0,0.0,0.0,0.0,0.0,2.1027351e-09,0.00024242207
0.29403,0.0864,0.00345,0.00731,2.3328998e-09,0.0009675674,0.0,0.0,0.0,0.0,0.0,0.0,2.3328998e-09,0.0009675674
0.29403,0.0864,0.0036,0.00746,2.5868251e-09,0.0031781168,0.0,0.0,0.0,0.0,0.0,0.0,2.5868251e-09,0.0031781168
0.29404,0.0864,0.00375,0.00761,2.8668007e-09,0.0085900421,0.0,0.0,0.0,0.0,0.0,0.0,2.8668007e-09,0.0085900421
0.29404,0.0864,0.0039,0.00776,3.1753193e-09,0.01910504,0.0,0.0,0.0,0.0,0.0,0.0,3.1753193e-09,0.01910504
0.29405,0.0864,0.00405,0.00791,3.5150928e-09,0.034964338,0.0,0.0,0.0,0.0,0.0,0.0,3.5150928e-09,0.034964338
0.29405,0.0864,0.0042,0.00806,3.8890692e-09,0.052653428,0.0,0.0,0.0,0.0,0.0,0.0,3.8890692e-09,0.052653428
0.29405,0.0864,0.00435,0.00821,4.3004517e-09,0.065245674,0.0,0.0,0.0,0.0,0.0,0.0,4.3004517e-09,0.065245674
0.29406,0.0864,0.0045,0.00836,4.7527177e-09,0.066527385,0.0,0.0,0.0,0.0,0.0,0.0,4.7527177e-09,0.066527385
0.29406,0.0864,0.00465,0.00851,5.2496401e-09,0.055817822,0.0,0.0,0.0,0.0,0.0,0.0,5.2496401e-09,0.055817822
0.29407,0.0864,0.0048,0.00866,5.7953098e-09,0.038536228,0.0,0.0,0.0,0.0,0.0,0.0,5.7953098e-09,0.038536228
0.29407,0.0864,0.00495,0.00881,6.3941592e-09,0.021892228,0.0,0.0,0.0,0.0,0.0,0.0,6.3941592e-09,0.021892228
0.29408,0.0864,0.0051,0.00896,7.0509877e-09,0.010233802,0.0,0.0,0.0,0.0,0.0,0.0,7.0509877e-09,0.010233802
0.29408,0.0864,0.00525,0.00911,7.7709885e-09,0.003936562,0.0,0.0,0.0,0.0,0.0,0.0,7.7709885e-09,0.003936562
0.29408,0.0864,0.0054,0.00926,8.5597772e-09,0.0012461186,0.0,0.0,0.0,0.0,0.0,0.0,8.5597772e-09,0.0012461186
0.29409,0.0864,0.00555,0.00941,9.4234226e-09,0.00032472016,0.0,0.0,0.0,0.0,0.0,0.0,9.4234226e-09,0.00032472016
0.29409,0.0864,0.0057,0.00956,1.0368478e-08,6.9794545e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0368478e-08,6.9794545e-05
0.2941,0.0864,0.00585,0.00971,1.1402017e-08,1.2545776e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1402017e-08,1.2545776e-05
0.2941,0.0864,0.006,0.00986,1.2531669e-08,2.1291554e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2531669e-08,2.1291554e-06
0.29411,0.0864,0.00615,0.01001,1.3765656e-08,8.9836392e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3765656e-08,8.9836392e-07
0.29411,0.0864,0.0063,0.01016,1.5112837e-08,2.6358059e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5112837e-08,2.6358059e-06
0.29412,0.0864,0.00645,0.01031,1.6582752e-08,1.2204793e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6582752e-08,1.2204793e-05
0.29412,0.0864,0.0066,0.01046,1.8185665e-08,5.1378189e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.8185665e-08,5.1378189e-05
0.29413,0.0864,0.00675,0.01061,1.9932614e-08,0.00018136777,0.0,0.0,0.0,0.0,0.0,0.0,1.9932614e-08,0.00018136777
0.29414,0.0864,0.0069,0.01076,2.183547e-08,0.00052906003,0.0,0.0,0.0,0.0,0.0,0.0,2.183547e-08,0.00052906003
0.29414,0.0864,0.00705,0.01091,2.3906988e-08,0.0012713159,0.0,0.0,0.0,0.0,0.0,0.0,2.3906988e-08,0.0012713159
0.29415,0.0864,0.0072,0.01106,2.6160869e-08,0.0025146119,0.0,0.0,0.0,0.0,0.0,0.0,2.6160869e-08,0.0025146119
0.29415,0.0864,0.00735,0.01121,2.8611829e-08,0.0040932015,0.0,0.0,0.0,0.0,0.0,0.0,2.8611829e-08,0.0040932015
0.29416,0.0864,0.0075,0.01136,3.1275671e-08,0.0054827734,0.0,0.0,0.0,0.0,0.0,0.0,3.1275671e-08,0.0054827734
0.29416,0.0864,0.00765,0.01151,3.4169362e-08,0.0060432885,0.0,0.0,0.0,0.0,0.0,0.0,3.4169362e-08,0.0060432885
0.29417,0.0864,0.0078,0.01166,3.7311119e-08,0.0054812893,0.0,0.0,0.0,0.0,0.0,0.0,3.7311119e-08,0.0054812893
0.29418,0.0864,0.00795,0.01181,4.0720506e-08,0.0040911712,0.0,0.0,0.0,0.0,0.0,0.0,4.0720506e-08,0.0040911712
0.29418,0.0864,0.0081,0.01196,4.4418543e-08,0.0025138534,0.0,0.0,0.0,0.0,0.0,0.0,4.4418543e-08,0.0025138534
0.29419,0.0864,0.00825,0.01211,4.8427817e-08,0.0012775012,0.0,0.0,0.0,0.0,0.0,0.0,4.8427817e-08,0.0012775012
0.29419,0.0864,0.0084,0.01226,5.2772625e-08,0.00056832092,0.0,0.0,0.0,0.0,0.0,0.0,5.2772625e-08,0.00056832092
0.2942,0.0864,0.00855,0.01241,5.7479123e-08,0.00036061799,0.0,0.0,0.0,0.0,0.0,0.0,5.7479123e-08,0.00036061799
0.29421,0.0864,0.0087,0.01256,6.25755e-08,0.00072067117,0.0,0.0,0.0,0.0,0.0,0.0,6.25755e-08,0.00072067117
0.29421,0.0864,0.00885,0.01271,6.8092181e-08,0.0020705562,0.0,0.0,0.0,0.0,0.0,0.0,6.8092181e-08,0.0020705562
0.29422,0.0864,0.009,0.01286,7.4062058e-08,0.0052143515,0.0,0.0,0.0,0.0,0.0,0.0,7.4062058e-08,0.0052143515
0.29423,0.0864,0.00915,0.01301,8.0520764e-08,0.010861329,0.0,0.0,0.0,0.0,0.0,0.0,8.0520764e-08,0.010861329
0.29423,0.0864,0.0093,0.01316,8.7506985e-08,0.018624967,0.0,0.0,0.0,0.0,0.0,0.0,8.7506985e-08,0.018624967
0.29424,0.0864,0.00945,0.01331,9.5062834e-08,0.026282999,0.0,0.0,0.0,0.0,0.0,0.0,9.5062834e-08,0.026282999
0.29425,0.0864,0.0096,0.01346,1.0323429e-07,0.030524763,0.0,0.0,0.0,0.0,0.0,0.0,1.0323429e-07,0.030524763
0.29425,0.0864,0.00975,0.01361,1.120717e-07,0.029192087,0.0,0.0,0.0,0.0,0.0,0.0,1.120717e-07,0.029192087
0.29426,0.0864,0.0099,0.01376,1.216304e-07,0.023048998,0.0,0.0,0.0,0.0,0.0,0.0,1.216304e-07,0.023048998
0.29427,0.0864,0.01005,0.01391,1.3197141e-07,0.015209949,0.0,0.0,0.0,0.0,0.0,0.0,1.3197141e-07,0.015209949
0.29428,0.0864,0.0102,0.01406,1.4316228e-07,0.0088507466,0.0,0.0,0.0,0.0,0.0,0.0,1.4316228e-07,0.0088507466
0.29428,0.0864,0.01035,0.01421,1.5527811e-07,0.0054461372,0.0,0.0,0.0,0.0,0.0,0.0,1.5527811e-07,0.0054461372
0.29429,0.0864,0.0105,0.01436,1.6840265e-07,0.0046530264,0.0,0.0,0.0,0.0,0.0,0.0,1.6840265e-07,0.0046530264
0.2943,0.0864,0.01065,0.01451,1.8262972e-07,0.0051771113,0.0,0.0,0.0,0.0,0.0,0.0,1.8262972e-07,0.0051771113
0.2943,0.0864,0.0108,0.01466,1.980648e-07,0.0056774373,0.0,0.0,0.0,0.0,0.0,0.0,1.980648e-07,0.0056774373
0.29431,0.0864,0.01095,0.01481,2.1482688e-07,0.0053691537,0.0,0.0,0.0,0.0,0.0,0.0,2.1482688e-07,0.0053691537
0.29432,0.0864,0.0111,0.01496,2.3305066e-07,0.0042347355,0.0,0.0,0.0,0.0,0.0,0.0,2.3305066e-07,0.0042347355
0.29433,0.0864,0.01125,0.01511,2.5288905e-07,0.002781346,0.0,0.0,0.0,0.0,0.0,0.0,2.5288905e-07,0.002781346
0.29433,0.0864,0.0114,0.01526,2.7451614e-07,0.0015513189,0.0,0.0,0.0,0.0,0.0,0.0,2.7451614e-07,0.0015513189
0.29434,0.0864,0.01155,0.01541,2.9813054e-07,0.00079001861,0.0,0.0,0.0,0.0,0.0,0.0,2.9813054e-07,0.00079001861
0.29435,0.0864,0.0117,0.01556,3.2395929e-07,0.00045009347,0.0,0.0,0.0,0.0,0.0,0.0,3.2395929e-07,0.00045009347
0.29436,0.0864,0.01185,0.01571,3.5226222e-07,0.00037205083,0.0,0.0,0.0,0.0,0.0,0.0,3.5226222e-07,0.00037205083
