qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.80676,0.65,0.00025,0.02933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80677,0.65,0.0005,0.02958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80678,0.65,0.00075,0.02983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80679,0.65,0.001,0.03008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8068,0.65,0.00125,0.03033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80681,0.65,0.0015,0.03058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80681,0.65,0.00175,0.03083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80682,0.65,0.002,0.03108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80683,0.65,0.00225,0.03133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80684,0.65,0.0025,0.03158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80685,0.65,0.00275,0.03183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80686,0.65,0.003,0.03208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80687,0.65,0.00325,0.03233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80688,0.65,0.0035,0.03258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80689,0.65,0.00375,0.03283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8069,0.65,0.004,0.03308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80691,0.65,0.00425,0.03333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80692,0.65,0.0045,0.03358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80694,0.65,0.00475,0.03383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80695,0.65,0.005,0.03408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80696,0.65,0.00525,0.03433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80697,0.65,0.0055,0.03458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80698,0.65,0.00575,0.03483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80699,0.65,0.006,0.03508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.807,0.65,0.00625,0.03533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80701,0.65,0.0065,0.03558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80702,0.65,0.00675,0.03583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80703,0.65,0.007,0.03608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80704,0.65,0.00725,0.03633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80705,0.65,0.0075,0.03658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80707,0.65,0.00775,0.03683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80708,0.65,0.008,0.03708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80709,0.65,0.00825,0.03733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8071,0.65,0.0085,0.03758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80711,0.65,0.00875,0.03783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80712,0.65,0.009,0.03808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80714,0.65,0.00925,0.03833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80715,0.65,0.0095,0.03858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80716,0.65,0.00975,0.03883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80717,0.65,0.01,0.03908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80718,0.65,0.01025,0.03933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8072,0.65,0.0105,0.03958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80721,0.65,0.01075,0.03983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80722,0.65,0.011,0.04008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80723,0.65,0.01125,0.04033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80725,0.65,0.0115,0.04058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80726,0.65,0.01175,0.04083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80727,0.65,0.012,0.04108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80728,0.65,0.01225,0.04133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8073,0.65,0.0125,0.04158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80731,0.65,0.01275,0.04183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80732,0.65,0.013,0.04208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80734,0.65,0.01325,0.04233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80735,0.65,0.0135,0.04258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80736,0.65,0.01375,0.04283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80738,0.65,0.014,0.04308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80739,0.65,0.01425,0.04333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8074,0.65,0.0145,0.04358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80742,0.65,0.01475,0.04383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80743,0.65,0.015,0.04408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80744,0.65,0.01525,0.04433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80746,0.65,0.0155,0.04458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80747,0.65,0.01575,0.04483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80748,0.65,0.016,0.04508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8075,0.65,0.01625,0.04533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80751,0.65,0.0165,0.04558,2.4e-07,2.04e-08,9.15e-08,2.04e-08,0.0,0.0,1.48e-07,0.0,0.0,0.0
0.80753,0.65,0.01675,0.04583,3.73e-06,3.17e-07,1.42e-06,3.17e-07,0.0,0.0,2.31e-06,0.0,0.0,0.0
0.80754,0.65,0.017,0.04608,5.35e-06,4.53e-07,2.03e-06,4.53e-07,0.0,0.0,3.32e-06,0.0,0.0,0.0
0.80756,0.65,0.01725,0.04633,6.64e-06,5.61e-07,2.51e-06,5.61e-07,0.0,0.0,4.13e-06,0.0,0.0,0.0
0.80757,0.65,0.0175,0.04658,7.77e-06,6.54e-07,2.93e-06,6.54e-07,0.0,0.0,4.84e-06,0.0,0.0,0.0
0.80758,0.65,0.01775,0.04683,8.81e-06,7.4e-07,3.31e-06,7.4e-07,0.0,0.0,5.49e-06,0.0,0.0,0.0
0.8076,0.65,0.018,0.04708,9.78e-06,8.19e-07,3.67e-06,8.19e-07,0.0,0.0,6.11e-06,0.0,0.0,0.0
0.80761,0.65,0.01825,0.04733,1.07e-05,8.94e-07,4e-06,8.94e-07,0.0,0.0,6.7e-06,0.0,0.0,0.0
0.80763,0.65,0.0185,0.04758,1.16e-05,9.66e-07,4.33e-06,9.66e-07,0.0,0.0,7.27e-06,0.0,0.0,0.0
0.80764,0.65,0.01875,0.04783,1.25e-05,1.04e-06,4.64e-06,1.04e-06,0.0,0.0,7.83e-06,0.0,0.0,0.0
