qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.30825,0.095,0.00015,0.0044,2.0591416e-10,6.371111e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0591416e-10,6.371111e-09
0.30825,0.095,0.0003,0.00455,2.3112503e-10,7.0287636e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.3112503e-10,7.0287636e-09
0.30826,0.095,0.00045,0.0047,2.5927885e-10,7.7526366e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.5927885e-10,7.7526366e-09
0.30826,0.095,0.0006,0.00485,2.90701e-10,8.5491906e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.90701e-10,8.5491906e-09
0.30826,0.095,0.00075,0.005,3.2575065e-10,9.4254909e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.2575065e-10,9.4254909e-09
0.30826,0.095,0.0009,0.00515,3.6482399e-10,1.0389262e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.6482399e-10,1.0389262e-08
0.30827,0.095,0.00105,0.0053,4.0835776e-10,1.1448944e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.0835776e-10,1.1448944e-08
0.30827,0.095,0.0012,0.00545,4.5683311e-10,1.2613757e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.5683311e-10,1.2613757e-08
0.30827,0.095,0.00135,0.0056,5.1077973e-10,1.3893771e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.1077973e-10,1.3893771e-08
0.30827,0.095,0.0015,0.00575,5.7078044e-10,1.5299975e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.7078044e-10,1.5299975e-08
0.30828,0.095,0.00165,0.0059,6.3747599e-10,1.6844361e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.3747599e-10,1.6844361e-08
0.30828,0.095,0.0018,0.00605,7.1157047e-10,1.854001e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.1157047e-10,1.854001e-08
0.30828,0.095,0.00195,0.0062,7.9383699e-10,2.0401295e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.9383699e-10,2.0401295e-08
0.30829,0.095,0.0021,0.00635,8.8512392e-10,2.2446253e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.8512392e-10,2.2446253e-08
0.30829,0.095,0.00225,0.0065,9.8636161e-10,2.4737861e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.8636161e-10,2.4737861e-08
0.30829,0.095,0.0024,0.00665,1.0985696e-09,2.7988039e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0985696e-09,2.7988039e-08
0.3083,0.095,0.00255,0.0068,1.2228645e-09,4.0735729e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2228645e-09,4.0735729e-08
0.3083,0.095,0.0027,0.00695,1.3604682e-09,1.4815176e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3604682e-09,1.4815176e-07
0.3083,0.095,0.00285,0.0071,1.5127175e-09,1.0405582e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5127175e-09,1.0405582e-06
0.30831,0.095,0.003,0.00725,1.681073e-09,7.2369777e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.681073e-09,7.2369777e-06
0.30831,0.095,0.00315,0.0074,1.8671305e-09,4.2477027e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.8671305e-09,4.2477027e-05
0.30831,0.095,0.0033,0.00755,2.0726317e-09,0.00020590499,0.0,0.0,0.0,0.0,0.0,0.0,2.0726317e-09,0.00020590499
0.30832,0.095,0.00345,0.0077,2.2994762e-09,0.00082181474,0.0,0.0,0.0,0.0,0.0,0.0,2.2994762e-09,0.00082181474
0.30832,0.095,0.0036,0.00785,2.5497351e-09,0.0026993484,0.0,0.0,0.0,0.0,0.0,0.0,2.5497351e-09,0.0026993484
0.30832,0.095,0.00375,0.008,2.8256643e-09,0.0072959245,0.0,0.0,0.0,0.0,0.0,0.0,2.8256643e-09,0.0072959245
0.30833,0.095,0.0039,0.00815,3.1297197e-09,0.016226646,0.0,0.0,0.0,0.0,0.0,0.0,3.1297197e-09,0.016226646
0.30833,0.095,0.00405,0.0083,3.4645728e-09,0.029696263,0.0,0.0,0.0,0.0,0.0,0.0,3.4645728e-09,0.029696263
0.30834,0.095,0.0042,0.00845,3.8331281e-09,0.044719685,0.0,0.0,0.0,0.0,0.0,0.0,3.8331281e-09,0.044719685
0.30834,0.095,0.00435,0.0086,4.2385409e-09,0.055413978,0.0,0.0,0.0,0.0,0.0,0.0,4.2385409e-09,0.055413978
0.30834,0.095,0.0045,0.00875,4.6842369e-09,0.056501961,0.0,0.0,0.0,0.0,0.0,0.0,4.6842369e-09,0.056501961
0.30835,0.095,0.00465,0.0089,5.1739328e-09,0.047405784,0.0,0.0,0.0,0.0,0.0,0.0,5.1739328e-09,0.047405784
0.30835,0.095,0.0048,0.00905,5.711658e-09,0.032728263,0.0,0.0,0.0,0.0,0.0,0.0,5.711658e-09,0.032728263
0.30836,0.095,0.00495,0.0092,6.3017785e-09,0.018592548,0.0,0.0,0.0,0.0,0.0,0.0,6.3017785e-09,0.018592548
0.30836,0.095,0.0051,0.00935,6.9490215e-09,0.0086912238,0.0,0.0,0.0,0.0,0.0,0.0,6.9490215e-09,0.0086912238
0.30837,0.095,0.00525,0.0095,7.6585017e-09,0.003343147,0.0,0.0,0.0,0.0,0.0,0.0,7.6585017e-09,0.003343147
0.30837,0.095,0.0054,0.00965,8.4357498e-09,0.0010582544,0.0,0.0,0.0,0.0,0.0,0.0,8.4357498e-09,0.0010582544
0.30838,0.095,0.00555,0.0098,9.2867419e-09,0.00027575436,0.0,0.0,0.0,0.0,0.0,0.0,9.2867419e-09,0.00027575436
0.30838,0.095,0.0057,0.00995,1.0217932e-08,5.9259732e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0217932e-08,5.9259732e-05
0.30839,0.095,0.00585,0.0101,1.1236283e-08,1.0640104e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1236283e-08,1.0640104e-05
0.30839,0.095,0.006,0.01025,1.2349308e-08,1.7853157e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2349308e-08,1.7853157e-06
0.3084,0.095,0.00615,0.0104,1.35651e-08,6.8420082e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.35651e-08,6.8420082e-07
0.3084,0.095,0.0063,0.01055,1.4892381e-08,1.8237149e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.4892381e-08,1.8237149e-06
0.30841,0.095,0.00645,0.0107,1.6340536e-08,8.266274e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6340536e-08,8.266274e-06
0.30841,0.095,0.0066,0.01085,1.7919665e-08,3.4642268e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7919665e-08,3.4642268e-05
0.30842,0.095,0.00675,0.011,1.9640628e-08,0.00012215562,0.0,0.0,0.0,0.0,0.0,0.0,1.9640628e-08,0.00012215562
0.30842,0.095,0.0069,0.01115,2.1515098e-08,0.00035622058,0.0,0.0,0.0,0.0,0.0,0.0,2.1515098e-08,0.00035622058
0.30843,0.095,0.00705,0.0113,2.3555612e-08,0.00085588492,0.0,0.0,0.0,0.0,0.0,0.0,2.3555612e-08,0.00085588492
0.30843,0.095,0.0072,0.01145,2.5775637e-08,0.0016928051,0.0,0.0,0.0,0.0,0.0,0.0,2.5775637e-08,0.0016928051
0.30844,0.095,0.00735,0.0116,2.8189627e-08,0.0027553853,0.0,0.0,0.0,0.0,0.0,0.0,2.8189627e-08,0.0027553853
0.30844,0.095,0.0075,0.01175,3.0813094e-08,0.0036906811,0.0,0.0,0.0,0.0,0.0,0.0,3.0813094e-08,0.0036906811
0.30845,0.095,0.00765,0.0119,3.3662683e-08,0.0040678852,0.0,0.0,0.0,0.0,0.0,0.0,3.3662683e-08,0.0040678852
0.30846,0.095,0.0078,0.01205,3.675625e-08,0.0036895169,0.0,0.0,0.0,0.0,0.0,0.0,3.675625e-08,0.0036895169
0.30846,0.095,0.00795,0.0122,4.0112954e-08,0.0027538038,0.0,0.0,0.0,0.0,0.0,0.0,4.0112954e-08,0.0027538038
0.30847,0.095,0.0081,0.01235,4.3753354e-08,0.0016923198,0.0,0.0,0.0,0.0,0.0,0.0,4.3753354e-08,0.0016923198
0.30847,0.095,0.00825,0.0125,4.7699515e-08,0.00086149782,0.0,0.0,0.0,0.0,0.0,0.0,4.7699515e-08,0.00086149782
0.30848,0.095,0.0084,0.01265,5.1975134e-08,0.00039124921,0.0,0.0,0.0,0.0,0.0,0.0,5.1975134e-08,0.00039124921
0.30849,0.095,0.00855,0.0128,5.6605674e-08,0.00028202634,0.0,0.0,0.0,0.0,0.0,0.0,5.6605674e-08,0.00028202634
0.30849,0.095,0.0087,0.01295,6.1618521e-08,0.00063172648,0.0,0.0,0.0,0.0,0.0,0.0,6.1618521e-08,0.00063172648
0.3085,0.095,0.00885,0.0131,6.7043159e-08,0.0018447359,0.0,0.0,0.0,0.0,0.0,0.0,6.7043159e-08,0.0018447359
0.30851,0.095,0.009,0.01325,7.2911375e-08,0.0046518723,0.0,0.0,0.0,0.0,0.0,0.0,7.2911375e-08,0.0046518723
0.30851,0.095,0.00915,0.0134,7.9257496e-08,0.0096907081,0.0,0.0,0.0,0.0,0.0,0.0,7.9257496e-08,0.0096907081
0.30852,0.095,0.0093,0.01355,8.6118655e-08,0.016617596,0.0,0.0,0.0,0.0,0.0,0.0,8.6118655e-08,0.016617596
0.30852,0.095,0.00945,0.0137,9.3535117e-08,0.023449961,0.0,0.0,0.0,0.0,0.0,0.0,9.3535117e-08,0.023449961
0.30853,0.095,0.0096,0.01385,1.0155064e-07,0.027233985,0.0,0.0,0.0,0.0,0.0,0.0,1.0155064e-07,0.027233985
0.30854,0.095,0.00975,0.014,1.1021292e-07,0.02604402,0.0,0.0,0.0,0.0,0.0,0.0,1.1021292e-07,0.02604402
0.30855,0.095,0.0099,0.01415,1.1957408e-07,0.020561072,0.0,0.0,0.0,0.0,0.0,0.0,1.1957408e-07,0.020561072
0.30855,0.095,0.01005,0.0143,1.2969129e-07,0.013561958,0.0,0.0,0.0,0.0,0.0,0.0,1.2969129e-07,0.013561958
0.30856,0.095,0.0102,0.01445,1.4062747e-07,0.0078768951,0.0,0.0,0.0,0.0,0.0,0.0,1.4062747e-07,0.0078768951
0.30857,0.095,0.01035,0.0146,1.5245207e-07,0.0048188436,0.0,0.0,0.0,0.0,0.0,0.0,1.5245207e-07,0.0048188436
0.30857,0.095,0.0105,0.01475,1.652421e-07,0.0040830493,0.0,0.0,0.0,0.0,0.0,0.0,1.652421e-07,0.0040830493
0.30858,0.095,0.01065,0.0149,1.790832e-07,0.0045230022,0.0,0.0,0.0,0.0,0.0,0.0,1.790832e-07,0.0045230022
0.30859,0.095,0.0108,0.01505,1.9407101e-07,0.0049547222,0.0,0.0,0.0,0.0,0.0,0.0,1.9407101e-07,0.0049547222
0.3086,0.095,0.01095,0.0152,2.103127e-07,0.0046862667,0.0,0.0,0.0,0.0,0.0,0.0,2.103127e-07,0.0046862667
