qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.16125,0.026,0.00015,0.00131,1295817500.0,1.0032503e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817500.0,1.0032503e-08
0.16125,0.026,0.0003,0.00146,1295817400.0,1.1212196e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817400.0,1.1212196e-08
0.16125,0.026,0.00045,0.00161,1295817400.0,1.2525466e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817400.0,1.2525466e-08
0.16125,0.026,0.0006,0.00176,1295817400.0,1.3986758e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817400.0,1.3986758e-08
0.16126,0.026,0.00075,0.00191,1295817400.0,1.5611997e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817400.0,1.5611997e-08
0.16126,0.026,0.0009,0.00206,1295817400.0,1.7418731e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817400.0,1.7418731e-08
0.16126,0.026,0.00105,0.00221,1295817300.0,1.9426279e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817300.0,1.9426279e-08
0.16126,0.026,0.0012,0.00236,1295817300.0,2.1655909e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817300.0,2.1655909e-08
0.16126,0.026,0.00135,0.00251,1295817200.0,2.4131014e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817200.0,2.4131014e-08
0.16127,0.026,0.0015,0.00266,1295817200.0,2.6877316e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817200.0,2.6877316e-08
0.16127,0.026,0.00165,0.00281,1295817100.0,2.9923084e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817100.0,2.9923084e-08
0.16127,0.026,0.0018,0.00296,1295817000.0,3.3299375e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817000.0,3.3299375e-08
0.16128,0.026,0.00195,0.00311,1295817000.0,3.7040418e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295817000.0,3.7040418e-08
0.16128,0.026,0.0021,0.00326,1295816900.0,4.1186644e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295816900.0,4.1186644e-08
0.16128,0.026,0.00225,0.00341,1295816800.0,4.5834637e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295816800.0,4.5834637e-08
0.16128,0.026,0.0024,0.00356,1295816700.0,5.1865844e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295816700.0,5.1865844e-08
0.16129,0.026,0.00255,0.00371,1295816600.0,6.9605368e-08,0.0,0.0,0.0,0.0,0.0,0.0,1295816600.0,6.9605368e-08
0.16129,0.026,0.0027,0.00386,1295816500.0,2.0182621e-07,0.0,0.0,0.0,0.0,0.0,0.0,1295816500.0,2.0182621e-07
0.1613,0.026,0.00285,0.00401,1295816400.0,1.281404e-06,0.0,0.0,0.0,0.0,0.0,0.0,1295816400.0,1.281404e-06
0.1613,0.026,0.003,0.00416,1295816300.0,8.7609365e-06,0.0,0.0,0.0,0.0,0.0,0.0,1295816300.0,8.7609365e-06
0.1613,0.026,0.00315,0.00431,1295816200.0,5.1287303e-05,0.0,0.0,0.0,0.0,0.0,0.0,1295816200.0,5.1287303e-05
0.16131,0.026,0.0033,0.00446,1295816000.0,0.00024851296,0.0,0.0,0.0,0.0,0.0,0.0,1295816000.0,0.00024851296
0.16131,0.026,0.00345,0.00461,1295815900.0,0.00099186342,0.0,0.0,0.0,0.0,0.0,0.0,1295815900.0,0.00099186342
0.16132,0.026,0.0036,0.00476,1295815800.0,0.0032581299,0.0,0.0,0.0,0.0,0.0,0.0,1295815800.0,0.0032581299
0.16132,0.026,0.00375,0.00491,1295815600.0,0.0088070568,0.0,0.0,0.0,0.0,0.0,0.0,1295815600.0,0.0088070568
0.16132,0.026,0.0039,0.00506,1295815500.0,0.019589517,0.0,0.0,0.0,0.0,0.0,0.0,1295815500.0,0.019589517
0.16133,0.026,0.00405,0.00521,1295815300.0,0.035854459,0.0,0.0,0.0,0.0,0.0,0.0,1295815300.0,0.035854459
0.16133,0.026,0.0042,0.00536,1295815100.0,0.053999275,0.0,0.0,0.0,0.0,0.0,0.0,1295815100.0,0.053999275
0.16134,0.026,0.00435,0.00551,1295815000.0,0.066920259,0.0,0.0,0.0,0.0,0.0,0.0,1295815000.0,0.066920259
0.16134,0.026,0.0045,0.00566,1295814800.0,0.06824206,0.0,0.0,0.0,0.0,0.0,0.0,1295814800.0,0.06824206
