qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.15812,0.025,0.00015,0.00127,0.0,9.7450974e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7450974e-09
0.15812,0.025,0.0003,0.00142,0.0,1.0891717e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891717e-08
0.15812,0.025,0.00045,0.00157,0.0,1.2168237e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2168237e-08
0.15812,0.025,0.0006,0.00172,0.0,1.358871e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358871e-08
0.15812,0.025,0.00075,0.00187,0.0,1.5168633e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5168633e-08
0.15813,0.025,0.0009,0.00202,0.0,1.6925077e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6925077e-08
0.15813,0.025,0.00105,0.00217,0.0,1.8876843e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8876843e-08
0.15813,0.025,0.0012,0.00232,0.0,2.1044626e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1044626e-08
0.15813,0.025,0.00135,0.00247,0.0,2.345119e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.345119e-08
0.15814,0.025,0.0015,0.00262,0.0,2.612157e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.612157e-08
0.15814,0.025,0.00165,0.00277,0.0,2.9083277e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9083277e-08
0.15814,0.025,0.0018,0.00292,0.0,3.2366542e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2366542e-08
0.15814,0.025,0.00195,0.00307,0.0,3.6004681e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6004681e-08
0.15815,0.025,0.0021,0.00322,0.0,4.0037018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0037018e-08
0.15815,0.025,0.00225,0.00337,0.0,4.4556909e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4556909e-08
0.15815,0.025,0.0024,0.00352,0.0,5.0412359e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0412359e-08
0.15816,0.025,0.00255,0.00367,0.0,6.7530939e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7530939e-08
0.15816,0.025,0.0027,0.00382,0.0,1.9472382e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9472382e-07
0.15816,0.025,0.00285,0.00397,0.0,1.2327591e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2327591e-06
0.15817,0.025,0.003,0.00412,0.0,8.4240598e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4240598e-06
0.15817,0.025,0.00315,0.00427,0.0,4.9311446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9311446e-05
0.15818,0.025,0.0033,0.00442,0.0,0.00023893666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023893666
0.15818,0.025,0.00345,0.00457,0.0,0.00095364466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095364466
0.15818,0.025,0.0036,0.00472,0.0,0.0031326016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031326016
0.15819,0.025,0.00375,0.00487,0.0,0.0084677876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084677876
0.15819,0.025,0.0039,0.00502,0.0,0.018834991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018834991
0.1582,0.025,0.00405,0.00517,0.0,0.03447367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03447367
0.1582,0.025,0.0042,0.00532,0.0,0.051920039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051920039
0.15821,0.025,0.00435,0.00547,0.0,0.064343922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064343922
0.15821,0.025,0.0045,0.00562,0.0,0.065615276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065615276
0.15822,0.025,0.00465,0.00577,0.0,0.055058881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055058881
0.15822,0.025,0.0048,0.00592,0.0,0.03801676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03801676
0.15823,0.025,0.00495,0.00607,0.0,0.021599769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021599769
0.15824,0.025,0.0051,0.00622,0.0,0.010098401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010098401
0.15824,0.025,0.00525,0.00637,0.0,0.0038850603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038850603
0.15825,0.025,0.0054,0.00652,0.0,0.0012300889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012300889
0.15825,0.025,0.00555,0.00667,0.0,0.00032072295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032072295
0.15826,0.025,0.0057,0.00682,0.0,6.9107043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9107043e-05
0.15827,0.025,0.00585,0.00697,0.0,1.2620858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2620858e-05
0.15827,0.025,0.006,0.00712,0.0,2.4497439e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4497439e-06
0.15828,0.025,0.00615,0.00727,0.0,1.9359025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9359025e-06
0.15829,0.025,0.0063,0.00742,0.0,7.8427266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8427266e-06
0.15829,0.025,0.00645,0.00757,0.0,3.8277607e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8277607e-05
0.1583,0.025,0.0066,0.00772,0.0,0.00016285166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016285166
0.15831,0.025,0.00675,0.00787,0.0,0.00057640363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00057640363
0.15832,0.025,0.0069,0.00802,0.0,0.0016828859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016828859
0.15832,0.025,0.00705,0.00817,0.0,0.0040456415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040456415
0.15833,0.025,0.0072,0.00832,0.0,0.0080044232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080044232
0.15834,0.025,0.00735,0.00847,0.0,0.013032494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013032494
0.15835,0.025,0.0075,0.00862,0.0,0.017460733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017460733
0.15836,0.025,0.00765,0.00877,0.0,0.019249948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019249948
0.15837,0.025,0.0078,0.00892,0.0,0.017463405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017463405
0.15837,0.025,0.00795,0.00907,0.0,0.013036705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013036705
0.15838,0.025,0.0081,0.00922,0.0,0.0080091686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080091686
0.15839,0.025,0.00825,0.00937,0.0,0.0040528008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040528008
0.1584,0.025,0.0084,0.00952,0.0,0.0017059746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017059746
0.15841,0.025,0.00855,0.00967,0.0,0.00067116238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067116238
0.15842,0.025,0.0087,0.00982,0.0,0.00051060042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00051060042
0.15843,0.025,0.00885,0.00997,0.0,0.0011038374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011038374
0.15844,0.025,0.009,0.01012,0.0,0.0027033086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027033086
0.15845,0.025,0.00915,0.01027,0.0,0.0056177792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056177792
0.15846,0.025,0.0093,0.01042,0.0,0.0096322671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096322671
0.15847,0.025,0.00945,0.01057,0.0,0.013595022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013595022
0.15848,0.025,0.0096,0.01072,0.0,0.015793078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015793078
0.15849,0.025,0.00975,0.01087,0.0,0.015108416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015108416
0.1585,0.025,0.0099,0.01102,0.0,0.011934049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011934049
0.15851,0.025,0.01005,0.01117,0.0,0.0078799799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078799799
0.15852,0.025,0.0102,0.01132,0.0,0.0045896439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045896439
0.15853,0.025,0.01035,0.01147,0.0,0.0028273673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028273673
0.15854,0.025,0.0105,0.01162,0.0,0.0024169993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024169993
0.15855,0.025,0.01065,0.01177,0.0,0.0026899226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026899226
0.15856,0.025,0.0108,0.01192,0.0,0.0029529822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029529822
0.15857,0.025,0.01095,0.01207,0.0,0.0028002923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028002923
0.15859,0.025,0.0111,0.01222,0.0,0.002222724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002222724
0.1586,0.025,0.01125,0.01237,0.0,0.0014828592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014828592
0.15861,0.025,0.0114,0.01252,0.0,0.00086205911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086205911
0.15862,0.025,0.01155,0.01267,0.0,0.00048851368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048851368
0.15863,0.025,0.0117,0.01282,0.0,0.00033909254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033909254
0.15864,0.025,0.01185,0.01297,0.0,0.00033249531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033249531
0.15866,0.025,0.012,0.01312,0.0,0.0024074042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024074042
0.15867,0.025,0.01215,0.01327,0.0,0.0030581867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030581867
