qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
1.02578,1.05,0.00015,0.04712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02578,1.05,0.0003,0.04727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02579,1.05,0.00045,0.04742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0258,1.05,0.0006,0.04757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02581,1.05,0.00075,0.04772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02581,1.05,0.0009,0.04787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02582,1.05,0.00105,0.04802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02583,1.05,0.0012,0.04817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02583,1.05,0.00135,0.04832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02584,1.05,0.0015,0.04847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02585,1.05,0.00165,0.04862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02585,1.05,0.0018,0.04877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02586,1.05,0.00195,0.04892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02587,1.05,0.0021,0.04907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02588,1.05,0.00225,0.04922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02588,1.05,0.0024,0.04937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02589,1.05,0.00255,0.04952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0259,1.05,0.0027,0.04967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02591,1.05,0.00285,0.04982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02591,1.05,0.003,0.04997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02592,1.05,0.00315,0.05012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02593,1.05,0.0033,0.05027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02593,1.05,0.00345,0.05042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02594,1.05,0.0036,0.05057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02595,1.05,0.00375,0.05072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02596,1.05,0.0039,0.05087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02596,1.05,0.00405,0.05102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02597,1.05,0.0042,0.05117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02598,1.05,0.00435,0.05132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02599,1.05,0.0045,0.05147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02599,1.05,0.00465,0.05162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.026,1.05,0.0048,0.05177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02601,1.05,0.00495,0.05192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02602,1.05,0.0051,0.05207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02602,1.05,0.00525,0.05222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02603,1.05,0.0054,0.05237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02604,1.05,0.00555,0.05252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02605,1.05,0.0057,0.05267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02606,1.05,0.00585,0.05282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02606,1.05,0.006,0.05297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02607,1.05,0.00615,0.05312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02608,1.05,0.0063,0.05327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02609,1.05,0.00645,0.05342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02609,1.05,0.0066,0.05357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0261,1.05,0.00675,0.05372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02611,1.05,0.0069,0.05387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02612,1.05,0.00705,0.05402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02613,1.05,0.0072,0.05417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02613,1.05,0.00735,0.05432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02614,1.05,0.0075,0.05447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02615,1.05,0.00765,0.05462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02616,1.05,0.0078,0.05477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02617,1.05,0.00795,0.05492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02617,1.05,0.0081,0.05507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02618,1.05,0.00825,0.05522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02619,1.05,0.0084,0.05537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
