qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.25497,0.065,0.00015,0.00306,1.7557238e-10,1.0400667e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7557238e-10,1.0400667e-08
0.25497,0.065,0.0003,0.00321,1.970725e-10,1.156009e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.970725e-10,1.156009e-08
0.25497,0.065,0.00045,0.00336,2.2108312e-10,1.2845041e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.2108312e-10,1.2845041e-08
0.25498,0.065,0.0006,0.00351,2.4788193e-10,1.42686e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.4788193e-10,1.42686e-08
0.25498,0.065,0.00075,0.00366,2.7777547e-10,1.5845147e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.7777547e-10,1.5845147e-08
0.25498,0.065,0.0009,0.00381,3.1110188e-10,1.7590478e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.1110188e-10,1.7590478e-08
0.25498,0.065,0.00105,0.00396,3.4823395e-10,1.9521944e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.4823395e-10,1.9521944e-08
0.25498,0.065,0.0012,0.00411,3.895824e-10,2.1658587e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.895824e-10,2.1658587e-08
0.25499,0.065,0.00135,0.00426,4.355994e-10,2.4021298e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.355994e-10,2.4021298e-08
0.25499,0.065,0.0015,0.00441,4.8678249e-10,2.6632988e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.8678249e-10,2.6632988e-08
0.25499,0.065,0.00165,0.00456,5.4367876e-10,2.9518767e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.4367876e-10,2.9518767e-08
0.25499,0.065,0.0018,0.00471,6.0688934e-10,3.2706151e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.0688934e-10,3.2706151e-08
0.255,0.065,0.00195,0.00486,6.7707439e-10,3.6225435e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.7707439e-10,3.6225435e-08
0.255,0.065,0.0021,0.00501,7.5495838e-10,4.0113463e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.5495838e-10,4.0113463e-08
0.255,0.065,0.00225,0.00516,8.4133579e-10,4.4477605e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.4133579e-10,4.4477605e-08
0.25501,0.065,0.0024,0.00531,9.3707739e-10,5.043119e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.3707739e-10,5.043119e-08
0.25501,0.065,0.00255,0.00546,1.0431369e-09,7.120945e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0431369e-09,7.120945e-08
0.25501,0.065,0.0027,0.00561,1.1605581e-09,2.3872322e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1605581e-09,2.3872322e-07
0.25502,0.065,0.00285,0.00576,1.2904828e-09,1.6220708e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2904828e-09,1.6220708e-06
