qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.523,0.27353,-0.01209,0.00015,1.3439121e-17,7.3815954e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.3439121e-17,7.3815954e-14
0.523,0.27353,-0.01194,0.0003,1.5781922e-17,8.2592537e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.5781922e-17,8.2592537e-14
0.523,0.27353,-0.01179,0.00045,1.8522911e-17,9.2383953e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.8522911e-17,9.2383953e-14
0.523,0.27353,-0.01164,0.0006,2.1727958e-17,1.0330407e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.1727958e-17,1.0330407e-13
0.523,0.27353,-0.01149,0.00075,2.5473517e-17,1.1547912e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.5473517e-17,1.1547912e-13
0.523,0.27353,-0.01134,0.0009,2.9848272e-17,1.29049e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.9848272e-17,1.29049e-13
0.523,0.27353,-0.01119,0.00105,3.4955038e-17,1.4416869e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.4955038e-17,1.4416869e-13
0.523,0.27353,-0.01104,0.0012,4.0912936e-17,1.6100983e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.0912936e-17,1.6100983e-13
0.523,0.27353,-0.01089,0.00135,4.78599e-17,1.7976245e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.78599e-17,1.7976245e-13
0.523,0.27353,-0.01074,0.0015,5.5955553e-17,2.0063684e-13,0.0,0.0,0.0,0.0,0.0,0.0,5.5955553e-17,2.0063684e-13
0.523,0.27353,-0.01059,0.00165,6.5384506e-17,2.2386567e-13,0.0,0.0,0.0,0.0,0.0,0.0,6.5384506e-17,2.2386567e-13
