Z,A,E0,ThetaDeg,Ex,cross,error,dataSet,Q2,Q2CC,Q3CC,nu,RT,RTerr,Q2bin,Q2center,qvbin,qvcenter,RL_fortran_data,RT_fortran_data,RL_fortran_center,RT_fortran_center,bin_centering_correction,RT_bc,RTerr_bc
6,12,0.1506,180,0.0115,66.0,38.0,17,0.08141342170186076,0.0849951423876228,0.2917659890864986,0.01545155759983273,0.0003026759516860694,0.0001742679721828884,0.070~0.100,0.093,0.270~0.340,0.3,0.00052312565,3.1633232e-07,0.0012662248,2.7846065e-07,0.8802788472578457,0.0002664392378428845,0.0001534044096671153
6,12,0.1506,180,0.0124,104.5,50.5,17,0.08087126170186078,0.08444182238762284,0.2908531973137357,0.01635155759983273,0.0004793159147801388,0.0002316311358506891,0.070~0.100,0.093,0.270~0.340,0.3,0.0059364547,3.2408495e-06,0.0043892605,2.7606593e-06,0.8518319965181969,0.0004082966326501115,0.0001973108129074702
6,12,0.1506,180,0.0131,104.5,50.5,17,0.08044958170186077,0.08401146238762285,0.2901431929024406,0.01705155759983273,0.0004793908120321114,0.0002316673302164748,0.070~0.100,0.093,0.270~0.340,0.3,0.010884269,5.0984876e-06,0.0096267251,4.1810636e-06,0.8200595800213379,0.0003931290279811415,0.000189981013521987
6,12,0.1506,180,0.0138,155.5,50.5,17,0.08002790170186078,0.08358110238762284,0.2894331397535929,0.01775155759983273,0.0007134811455005845,0.0002317093109181963,0.070~0.100,0.093,0.270~0.340,0.3,0.011428737,8.3532757e-06,0.012326654,6.529896e-06,0.7817168060189849,0.0005577402022154835,0.0001811310624558323
6,12,0.1506,180,0.0145,534.0,76.0,17,0.07960622170186077,0.08315074238762284,0.2887230375076136,0.01845155759983273,0.002450659941881855,0.0003487830628895525,0.070~0.100,0.093,0.270~0.340,0.3,0.013642849,2.1345505e-05,0.010829981,1.0670639e-05,0.4999009861795259,0.001225087321737399,0.0001743569971012029
6,12,0.1506,180,0.0149,799.0,63.0,17,0.07936526170186077,0.08290482238762284,0.2883172426124092,0.01885155759983273,0.00366728636400519,0.0002891602514797584,0.070~0.100,0.093,0.270~0.340,0.3,0.016719973,0.0004614702,0.013978157,3.564249e-05,0.07723681832543033,0.0002832495306439969,2.233381781047785e-05
6,12,0.1506,180,0.0155,1772.0,75.5,17,0.07900382170186077,0.08253594238762284,0.2877085198384345,0.01945155759983273,0.008134915302273789,0.0003466061542447354,0.070~0.100,0.093,0.270~0.340,0.3,0.023654709,0.014253303,0.013270706,0.003225472,0.2262964591435403,0.001840902528337161,7.843574542294337e-05
6,12,0.1506,180,0.016,2226.0,75.5,17,0.07870262170186076,0.08222854238762282,0.2872012228170744,0.01995155759983273,0.01022108338530056,0.0003466719656739407,0.070~0.100,0.093,0.270~0.340,0.3,0.029785682,0.026087181,0.02689175,0.02024272,0.775964256160909,0.007931195366233374,0.0002690050539760196
6,12,0.1506,180,0.017,2150.0,50.5,17,0.07810022170186076,0.08161374238762283,0.2861865517239111,0.02095155759983273,0.009876267204274012,0.0002319774389841105,0.070~0.100,0.093,0.270~0.340,0.3,0.0039500789,0.0029283009,0.003632408,0.0082593602,2.820529884753305,0.02785630679946383,0.0006542992992432202
6,12,0.1506,180,0.0173,1760.0,113.5,17,0.07791950170186077,0.08142930238762283,0.2858821302348624,0.02125155759983273,0.008085864859274004,0.0005214463985952268,0.070~0.100,0.093,0.270~0.340,0.3,0.0060602029,0.0036661099,0.0030887472,0.0032668337,0.8910899534135623,0.007205232940758833,0.0004646556470318905
6,12,0.1506,180,0.0179,1406.0,88.0,17,0.07755806170186078,0.08106042238762284,0.2852732591527338,0.02185155759983273,0.006461369082274938,0.0004044100136843489,0.070~0.100,0.093,0.270~0.340,0.3,0.018177686,0.0069420533,0.0086129836,0.0047000174,0.6770356257564315,0.004374577059861272,0.0002737999866769502
6,12,0.1506,180,0.0183,2505.0,101.0,17,0.07731710170186076,0.08081450238762283,0.284867324183773,0.02225155759983273,0.01151424482175919,0.0004642469968054604,0.070~0.100,0.093,0.270~0.340,0.3,0.01458386,0.0079515446,0.015859086,0.0058717543,0.7384419751603983,0.008502601688660245,0.0003428194692833073
6,12,0.1506,180,0.019,3818.0,101.0,17,0.07689542170186078,0.08038414238762284,0.2841568974838071,0.02295155759983273,0.01755610037564784,0.0004644227705449008,0.070~0.100,0.093,0.270~0.340,0.3,0.010410475,0.037872892,0.0081925851,0.016644361,0.439479535917141,0.007715546845604457,0.0002041043036684258
6,12,0.1506,180,0.0194,4272.0,75.5,17,0.07665446170186077,0.08013822238762285,0.2837509161000592,0.02335155759983273,0.01964820230876358,0.0003472470211403675,0.070~0.100,0.093,0.270~0.340,0.3,0.014537831,0.037440421,0.0081516852,0.036852832,0.9843060258323484,0.01933984392928905,0.0003417973353607966
