Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,2.3466,30.0,0.2495,1.516,1.031,12
6,12,3.4886,20.0,0.2688,3.601,1.128,12
6,12,4.6286,16.0,0.3622,7.669,1.21,12
6,12,4.6286,20.0,0.712,4.163,1.057,12
6,12,2.3466,30.0,0.2655,2.307,1.036,12
6,12,3.4886,20.0,0.2862,5.162,1.114,12
6,12,4.6286,16.0,0.3801,9.606,1.275,12
6,12,4.6286,20.0,0.7285,4.879,1.062,12
6,12,4.6286,25.0,1.1677,1.485,1.023,12
6,12,2.3466,30.0,0.2814,3.296,1.041,12
6,12,3.4886,20.0,0.3036,8.077,1.139,12
6,12,4.6286,16.0,0.398,13.56,1.345,12
6,12,4.6286,20.0,0.7449,5.581,1.068,12
6,12,4.6286,25.0,1.1823,1.788,1.023,12
6,12,2.3466,30.0,0.2974,4.971,1.055,12
6,12,3.4886,20.0,0.3211,11.72,1.214,12
6,12,4.6286,16.0,0.4159,18.42,1.494,12
6,12,4.6286,20.0,0.7613,7.135,1.086,12
6,12,2.3466,45.0,0.7675,1.141,1.04,12
6,12,4.6286,25.0,1.1969,2.014,1.023,12
6,12,2.3466,30.0,0.3134,6.524,1.076,12
6,12,3.4886,20.0,0.3385,15.92,1.286,12
6,12,4.6286,16.0,0.4337,23.48,1.724,12
6,12,4.6286,20.0,0.7777,8.59,1.103,12
6,12,2.3466,45.0,0.7798,1.428,1.041,12
6,12,4.6286,25.0,1.2115,2.362,1.024,12
6,12,2.3466,30.0,0.3293,9.864,1.114,12
6,12,3.4886,20.0,0.3559,22.72,1.433,12
6,12,4.6286,16.0,0.4516,30.73,1.917,12
6,12,2.3466,45.0,0.7921,1.872,1.042,12
6,12,4.6286,20.0,0.7942,10.31,1.125,12
6,12,4.6286,25.0,1.2261,2.827,1.024,12
6,12,3.4886,14.0,0.0541,12.61,2.925,12
6,12,2.3466,30.0,0.3453,12.96,1.166,12
6,12,3.4886,20.0,0.3733,30.72,1.635,12
6,12,4.6286,16.0,0.4695,40.82,2.228,12
6,12,2.3466,45.0,0.8044,2.422,1.044,12
6,12,4.6286,20.0,0.8106,12.47,1.151,12
6,12,4.6286,25.0,1.2406,3.242,1.025,12
6,12,3.4886,14.0,0.0733,24.03,4.095,12
6,12,2.3466,30.0,0.3613,18.24,1.267,12
6,12,3.4886,20.0,0.3907,39.74,1.825,12
6,12,4.6286,16.0,0.4874,53.33,2.6,12
6,12,2.3466,45.0,0.8167,2.661,1.044,12
6,12,4.6286,20.0,0.827,15.66,1.194,12
6,12,4.6286,25.0,1.2552,3.825,1.026,12
6,12,3.4886,14.0,0.0925,50.71,7.057,12
6,12,2.3466,30.0,0.3772,24.54,1.41,12
6,12,3.4886,20.0,0.4081,54.84,2.186,12
6,12,4.6286,16.0,0.5053,67.31,3.005,12
6,12,2.3466,45.0,0.829,3.296,1.046,12
6,12,4.6286,20.0,0.8435,18.9,1.235,12
6,12,2.3466,60.0,1.1783,0.776,1.043,12
6,12,4.6286,25.0,1.2698,4.409,1.027,12
6,12,3.4886,14.0,0.1117,104.1,13.01,12
6,12,4.6286,10.65,0.1217,225.4,22.52,12
6,12,2.3466,30.0,0.3932,32.21,1.606,12
6,12,3.4886,20.0,0.4255,72.76,2.603,12
6,12,4.6286,16.0,0.5232,86.33,3.525,12
6,12,2.3466,45.0,0.8413,3.978,1.049,12
6,12,4.6286,20.0,0.8599,21.23,1.26,12
6,12,2.3466,60.0,1.1878,0.9262,1.042,12
6,12,4.6286,25.0,1.2844,4.809,1.027,12
6,12,3.4886,14.0,0.1308,197.9,26.06,12
6,12,4.6286,10.65,0.1413,409.0,29.19,12
6,12,2.3466,30.0,0.4092,43.18,1.914,12
6,12,3.4886,20.0,0.4429,96.59,3.146,12
6,12,4.6286,16.0,0.5411,113.5,4.226,12
6,12,2.3466,45.0,0.8536,4.891,1.054,12
6,12,4.6286,20.0,0.8763,26.52,1.329,12
6,12,2.3466,60.0,1.1973,1.084,1.041,12
6,12,4.6286,25.0,1.2989,5.484,1.028,12
6,12,3.4886,14.0,0.15,408.4,20.53,12
6,12,4.6286,10.65,0.161,610.3,48.15,12
6,12,1.2044,45.0,0.1702,41.14,1.59,12
6,12,2.3466,30.0,0.4251,57.33,2.338,12
6,12,3.4886,20.0,0.4603,130.2,3.873,12
6,12,4.6286,16.0,0.559,138.0,4.732,12
6,12,2.3466,45.0,0.8659,5.88,1.059,12
6,12,4.6286,20.0,0.8927,30.23,1.364,12
6,12,2.3466,60.0,1.2067,1.27,1.04,12
6,12,4.6286,25.0,1.3135,6.194,1.03,12
6,12,3.4886,14.0,0.1692,712.2,35.73,12
6,12,4.6286,10.65,0.1806,1301.0,69.2,12
6,12,1.2044,45.0,0.1857,65.75,2.016,12
6,12,2.3466,30.0,0.4411,75.57,2.896,12
6,12,3.4886,20.0,0.4778,169.3,4.665,12
6,12,4.6286,16.0,0.5769,176.3,5.449,12
6,12,2.3466,45.0,0.8782,7.07,1.067,12
6,12,4.6286,20.0,0.9092,36.43,1.432,12
6,12,2.3466,60.0,1.2162,1.383,1.039,12
6,12,4.6286,25.0,1.3281,7.093,1.032,12
6,12,3.4886,14.0,0.1884,1219.0,31.67,12
6,12,4.6286,10.65,0.2003,2178.0,113.6,12
6,12,1.2044,45.0,0.2011,105.5,2.489,12
6,12,2.3466,30.0,0.4571,97.96,3.595,12
6,12,3.4886,20.0,0.4952,210.3,5.388,12
6,12,4.6286,16.0,0.5948,215.9,6.014,12
6,12,2.3466,45.0,0.8905,8.131,1.075,12
6,12,4.6286,20.0,0.9256,40.67,1.457,12
6,12,2.3466,60.0,1.2257,1.608,1.038,12
6,12,4.6286,25.0,1.3427,7.812,1.033,12
6,12,3.4886,14.0,0.2076,1830.0,72.75,12
6,12,1.2044,45.0,0.2166,159.6,3.176,12
6,12,4.6286,10.65,0.2199,3182.0,138.5,12
6,12,2.3466,30.0,0.473,129.1,4.574,12
6,12,4.6286,16.0,0.6127,257.3,6.403,12
6,12,2.3466,45.0,0.9028,9.368,1.085,12
6,12,4.6286,20.0,0.942,45.19,1.484,12
6,12,2.3466,60.0,1.2351,1.864,1.037,12
6,12,4.6286,25.0,1.3573,8.776,1.034,12
6,12,3.4886,14.0,0.2268,2589.0,82.38,12
6,12,1.2044,45.0,0.2321,232.9,4.015,12
6,12,4.6286,10.65,0.2395,4425.0,175.4,12
6,12,1.2044,55.0,0.3398,91.2,1.906,12
6,12,1.2044,70.0,0.4791,28.66,1.147,12
6,12,4.6286,16.0,0.6306,303.5,6.674,12
6,12,2.3466,45.0,0.9151,10.63,1.097,12
6,12,4.6286,20.0,0.9585,52.75,1.544,12
6,12,3.4886,28.0,0.9649,25.3,1.185,12
6,12,2.3466,60.0,1.2446,2.001,1.036,12
6,12,4.6286,25.0,1.3718,9.207,1.034,12
6,12,3.4886,14.0,0.246,3613.0,97.1,12
6,12,1.2044,45.0,0.2476,336.7,5.055,12
6,12,4.6286,10.65,0.2592,6165.0,221.4,12
6,12,1.2044,55.0,0.3536,120.7,2.129,12
6,12,1.2044,70.0,0.4907,34.54,1.162,12
6,12,2.3466,30.0,0.505,181.9,6.682,12
6,12,3.4886,20.0,0.5474,347.6,8.471,12
6,12,4.6286,16.0,0.6485,347.0,6.689,12
6,12,2.3466,45.0,0.9275,12.21,1.114,12
6,12,4.6286,20.0,0.9749,58.27,1.567,12
6,12,3.4886,28.0,0.9798,27.68,1.183,12
6,12,2.3466,60.0,1.2541,2.19,1.035,12
6,12,4.6286,25.0,1.3864,10.13,1.036,12
6,12,1.2044,45.0,0.2631,443.3,5.798,12
6,12,3.4886,14.0,0.2652,4721.0,105.7,12
6,12,4.6286,10.65,0.2788,7713.0,250.6,12
6,12,1.2044,55.0,0.3674,147.5,2.285,12
6,12,1.2044,70.0,0.5023,42.14,1.183,12
6,12,2.3466,30.0,0.5209,209.6,7.381,12
6,12,3.4886,20.0,0.5648,388.2,8.399,12
6,12,4.6286,16.0,0.6664,388.4,6.57,12
6,12,2.3466,45.0,0.9398,13.68,1.13,12
6,12,4.6286,20.0,0.9913,63.79,1.586,12
6,12,3.4886,28.0,0.9946,31.64,1.2,12
6,12,2.3466,60.0,1.2636,2.639,1.036,12
6,12,4.6286,25.0,1.401,11.02,1.037,12
6,12,1.2044,45.0,0.2786,552.6,6.307,12
6,12,3.4886,14.0,0.2844,5818.0,106.8,12
6,12,4.6286,10.65,0.2985,9517.0,277.6,12
6,12,1.2044,55.0,0.3812,179.5,2.446,12
6,12,1.2044,70.0,0.5138,49.62,1.201,12
6,12,2.3466,30.0,0.5369,238.8,8.212,12
6,12,3.4886,20.0,0.5822,440.3,8.612,12
6,12,4.6286,16.0,0.6843,436.7,6.525,12
6,12,4.6286,16.0,0.6843,437.1,9.531,12
6,12,4.6286,16.0,0.6843,436.7,6.525,12
6,12,4.6286,16.0,0.6843,437.1,9.531,12
6,12,2.3466,45.0,0.9521,15.19,1.15,12
6,12,4.6286,20.0,1.0077,69.43,1.607,12
6,12,3.4886,28.0,1.0095,33.78,1.206,12
6,12,2.3466,60.0,1.273,2.922,1.036,12
6,12,4.6286,25.0,1.4156,12.1,1.04,12
6,12,1.2044,45.0,0.2941,677.3,6.776,12
6,12,3.4886,14.0,0.3036,6827.0,104.1,12
6,12,4.6286,10.65,0.3181,10940.0,287.0,12
6,12,1.2044,55.0,0.3949,215.3,2.617,12
6,12,1.2044,70.0,0.5254,56.07,1.211,12
6,12,2.3466,30.0,0.5529,268.3,9.045,12
6,12,3.4886,20.0,0.5996,489.0,8.871,12
6,12,4.6286,16.0,0.7022,484.7,6.559,12
6,12,4.6286,16.0,0.7022,455.9,8.971,12
6,12,4.6286,16.0,0.7022,484.7,6.559,12
6,12,4.6286,16.0,0.7022,455.9,8.971,12
6,12,2.3466,45.0,0.9644,16.85,1.175,12
6,12,4.6286,20.0,1.0242,73.74,1.615,12
6,12,3.4886,28.0,1.0243,36.79,1.221,12
6,12,2.3466,60.0,1.2825,3.062,1.035,12
6,12,4.6286,25.0,1.4302,12.52,1.039,12
6,12,3.4886,14.0,0.3228,7797.0,101.5,12
6,12,4.6286,10.65,0.3378,11780.0,278.7,12
6,12,1.2044,55.0,0.4087,241.6,2.682,12
6,12,1.2044,70.0,0.5369,63.32,1.224,12
6,12,2.3466,30.0,0.5688,288.0,9.576,12
6,12,3.4886,20.0,0.6171,520.4,8.898,12
6,12,4.6286,16.0,0.7201,502.6,8.852,12
6,12,3.4886,28.0,1.0392,38.99,1.229,12
6,12,4.6286,20.0,1.0406,81.68,1.656,12
6,12,2.3466,60.0,1.292,3.298,1.035,12
6,12,4.6286,25.0,1.4447,13.71,1.042,12
6,12,3.4886,14.0,0.342,8444.0,99.61,12
6,12,4.6286,10.65,0.3574,12750.0,272.9,12
6,12,1.2044,55.0,0.4225,260.6,2.702,12
6,12,1.2044,70.0,0.5485,69.36,1.232,12
6,12,2.3466,30.0,0.5848,311.2,10.23,12
6,12,3.4886,20.0,0.6345,540.5,8.811,12
6,12,4.6286,16.0,0.738,526.5,8.638,12
6,12,2.3466,45.0,0.989,19.0,1.223,12
6,12,3.4886,28.0,1.054,41.27,1.239,12
6,12,4.6286,20.0,1.057,82.72,1.625,12
6,12,2.3466,60.0,1.3014,3.565,1.035,12
6,12,4.6286,25.0,1.4593,14.29,1.042,12
6,12,1.2044,45.0,0.3406,921.6,8.501,12
6,12,3.4886,14.0,0.3612,8661.0,97.12,12
6,12,4.6286,10.65,0.3771,13440.0,263.8,12
6,12,1.2044,55.0,0.4363,276.9,2.718,12
6,12,1.2044,70.0,0.56,75.93,1.245,12
6,12,2.3466,30.0,0.6008,328.6,10.72,12
6,12,3.4886,20.0,0.6519,567.2,8.905,12
6,12,4.6286,16.0,0.7559,555.1,8.747,12
6,12,2.3466,45.0,1.0013,20.84,1.248,12
6,12,3.4886,28.0,1.0689,42.96,1.245,12
6,12,4.6286,20.0,1.0735,89.98,1.671,12
6,12,2.3466,60.0,1.3109,3.784,1.036,12
6,12,4.6286,25.0,1.4739,15.43,1.045,12
6,12,1.2044,45.0,0.3561,943.4,8.31,12
6,12,3.4886,14.0,0.3804,8697.0,95.6,12
6,12,4.6286,10.65,0.3967,13540.0,243.1,12
6,12,1.2044,55.0,0.45,298.9,2.912,12
6,12,1.2044,70.0,0.5716,82.57,1.294,12
6,12,2.3466,30.0,0.6167,335.9,10.9,12
6,12,3.4886,20.0,0.6693,588.8,8.934,12
6,12,4.6286,16.0,0.7738,568.7,8.651,12
6,12,2.3466,45.0,1.0136,21.71,1.26,12
6,12,3.4886,28.0,1.0837,46.05,1.262,12
6,12,4.6286,20.0,1.0899,92.23,1.668,12
6,12,2.3466,60.0,1.3204,4.069,1.037,12
6,12,4.6286,25.0,1.4885,15.65,1.045,12
6,12,1.2044,45.0,0.3716,927.8,8.034,12
6,12,3.4886,14.0,0.3996,8700.0,95.01,12
6,12,4.6286,10.65,0.4164,13080.0,220.7,12
6,12,2.3466,30.0,0.6327,352.8,11.37,12
6,12,3.4886,20.0,0.6867,602.7,8.958,12
6,12,4.6286,16.0,0.7917,591.5,8.815,12
6,12,2.3466,45.0,1.0259,22.66,1.276,12
6,12,3.4886,28.0,1.0986,48.46,1.275,12
6,12,4.6286,20.0,1.1063,100.0,1.718,12
6,12,4.6286,25.0,1.503,17.04,1.049,12
6,12,1.2044,45.0,0.387,917.5,7.918,12
6,12,3.4886,14.0,0.4188,8355.0,91.65,12
6,12,4.6286,10.65,0.436,12770.0,204.5,12
6,12,1.2044,55.0,0.4776,307.8,2.766,12
6,12,1.2044,70.0,0.5947,89.44,1.424,12
6,12,2.3466,30.0,0.6487,354.0,11.38,12
6,12,3.4886,20.0,0.7041,630.5,9.194,12
6,12,4.6286,16.0,0.8096,605.2,8.851,12
6,12,2.3466,45.0,1.0382,23.87,1.297,12
6,12,3.4886,28.0,1.1134,50.35,1.282,12
6,12,4.6286,20.0,1.1227,102.5,1.726,12
6,12,2.3466,60.0,1.3393,4.359,1.042,12
6,12,4.6286,25.0,1.5176,18.11,1.051,12
6,12,1.2044,45.0,0.4025,917.6,7.896,12
6,12,3.4886,14.0,0.438,8090.0,89.72,12
6,12,4.6286,10.65,0.4557,12140.0,187.7,12
6,12,1.2044,55.0,0.4914,307.6,2.709,12
6,12,1.2044,70.0,0.6063,90.42,1.412,12
6,12,2.3466,30.0,0.6646,356.4,11.42,12
6,12,3.4886,20.0,0.7215,625.7,9.058,12
6,12,4.6286,16.0,0.8275,600.0,8.714,12
6,12,2.3466,45.0,1.0505,25.34,1.325,12
6,12,3.4886,28.0,1.1283,53.19,1.301,12
6,12,4.6286,20.0,1.1392,105.8,1.754,12
6,12,2.3466,60.0,1.3488,5.0,1.044,12
6,12,4.6286,25.0,1.5322,19.13,1.054,12
6,12,1.2044,45.0,0.418,860.2,7.457,12
6,12,3.4886,14.0,0.4572,7603.0,85.3,12
6,12,4.6286,10.65,0.4753,11690.0,178.4,12
6,12,1.2044,55.0,0.5051,302.2,2.654,12
6,12,1.2044,70.0,0.6178,92.54,1.413,12
6,12,2.3466,30.0,0.6806,362.7,11.6,12
6,12,3.4886,20.0,0.7389,637.7,9.144,12
6,12,4.6286,16.0,0.8454,615.2,8.751,12
6,12,2.3466,45.0,1.0628,26.76,1.353,12
6,12,3.4886,28.0,1.1431,57.12,1.328,12
6,12,4.6286,20.0,1.1556,112.9,1.823,12
6,12,4.6286,20.0,1.1556,110.7,3.107,12
6,12,4.6286,20.0,1.1556,112.9,1.823,12
6,12,4.6286,20.0,1.1556,110.7,3.107,12
6,12,2.3466,60.0,1.3583,5.231,1.045,12
6,12,4.6286,25.0,1.5468,20.14,1.059,12
6,12,1.2044,45.0,0.4335,808.4,7.083,12
6,12,3.4886,14.0,0.4764,7239.0,82.89,12
6,12,4.6286,10.65,0.4949,11490.0,176.0,12
6,12,1.2044,55.0,0.5189,301.7,2.65,12
6,12,1.2044,70.0,0.6294,94.9,1.422,12
6,12,2.3466,30.0,0.6966,362.9,11.58,12
6,12,3.4886,20.0,0.7563,651.3,9.281,12
6,12,4.6286,16.0,0.8632,615.6,8.775,12
6,12,2.3466,45.0,1.0751,27.74,1.372,12
6,12,3.4886,28.0,1.158,57.93,1.329,12
6,12,4.6286,20.0,1.172,113.3,1.838,12
6,12,4.6286,20.0,1.172,114.3,2.986,12
6,12,4.6286,20.0,1.172,113.3,1.838,12
6,12,4.6286,20.0,1.172,114.3,2.986,12
6,12,2.3466,60.0,1.3677,5.573,1.047,12
6,12,4.6286,25.0,1.5614,20.92,1.061,12
6,12,1.2044,45.0,0.449,804.5,7.365,12
6,12,3.4886,14.0,0.4956,7029.0,82.79,12
6,12,4.6286,10.65,0.5146,10680.0,167.1,12
6,12,1.2044,55.0,0.5327,302.5,2.655,12
6,12,1.2044,70.0,0.6409,98.46,1.437,12
6,12,2.3466,30.0,0.7125,367.0,11.7,12
6,12,3.4886,20.0,0.7738,646.7,9.211,12
6,12,4.6286,16.0,0.8811,634.5,8.929,12
6,12,2.3466,45.0,1.0874,29.48,1.407,12
6,12,3.4886,28.0,1.1729,59.03,1.333,12
6,12,4.6286,20.0,1.1885,120.6,2.97,12
6,12,2.3466,60.0,1.3772,5.814,1.048,12
6,12,4.6286,25.0,1.5759,22.81,1.07,12
6,12,4.6286,25.0,1.5759,21.62,1.144,12
6,12,4.6286,25.0,1.5759,22.81,1.07,12
6,12,4.6286,25.0,1.5759,21.62,1.144,12
6,12,3.4886,14.0,0.5148,6835.0,83.99,12
6,12,4.6286,10.65,0.5342,10260.0,166.3,12
6,12,1.2044,55.0,0.5465,299.1,2.634,12
6,12,1.2044,70.0,0.6525,98.43,1.435,12
6,12,2.3466,30.0,0.7285,381.1,12.15,12
6,12,3.4886,20.0,0.7912,676.3,9.536,12
6,12,4.6286,16.0,0.899,651.6,9.163,12
6,12,2.3466,45.0,1.0997,31.06,1.441,12
6,12,3.4886,28.0,1.1877,62.07,1.354,12
6,12,4.6286,20.0,1.2049,124.3,2.902,12
6,12,2.3466,60.0,1.3867,6.262,1.051,12
6,12,4.6286,25.0,1.5905,23.33,1.144,12
6,12,1.2044,45.0,0.48,788.3,6.997,12
6,12,3.4886,14.0,0.534,6816.0,108.0,12
6,12,4.6286,10.65,0.5539,10300.0,172.2,12
6,12,1.2044,55.0,0.5602,300.8,2.658,12
6,12,1.2044,70.0,0.664,101.5,1.459,12
6,12,2.3466,30.0,0.7445,383.3,12.29,12
6,12,3.4886,20.0,0.8086,675.0,9.514,12
6,12,4.6286,16.0,0.9169,644.9,8.974,12
6,12,2.3466,45.0,1.112,31.47,1.448,12
6,12,3.4886,28.0,1.2026,64.53,1.368,12
6,12,4.6286,20.0,1.2213,126.2,2.881,12
6,12,2.3466,60.0,1.3962,6.573,1.054,12
6,12,4.6286,25.0,1.6051,23.15,1.133,12
6,12,1.2044,45.0,0.4955,808.9,7.163,12
