Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
6,12,2.3466,30.0,0.2495,1.516,1.031,12,0.5235987755982988,0.06698729810778066,0.9330127018922194,0.07179676972449082,0.99812,0.00067079,1.51314992,1.0290622224583141,0.06419340771664572,0.18530659228335428,2.894010933453939,0.0031,2.3497,2.0971,2.1002,1.002643865714991,1.3185926756462516,1.3222863766998496,1.3845366266998496,1.1766633446741892,0.026268072829150446,0.8692979284584506,-0.0008715790177309681,-1736.1018211971996,-1182.9105325229852,0.0005029483359863177,0.0005022847875156374,1899.9834649381532,1894.973409709403,2874.9598279724896,1955.2012070633043,0.007383447552563725,0.0050213312292582525,2867.3788633039107,1950.0455484949678,0.007363978183119435,0.005008090510460076,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,2.85e-05,0.000361,3.49e-07,2.04e-05,1.39e-05,0.000222,3.05e-07,1.87e-05,7.09e-07,3.18e-05,3.49e-07,2.04e-05,5.86e-07,2.81e-05,3.11e-07,1.89e-05,8.71e-08,2.71e-06,3.49e-07,2.04e-05,2.91e-07,1.73e-05,3.49e-07,2.04e-05,12.987686704840584,19.80142251826364,0.13080737840360515,1.5011064173218143,1.5758212470516073,0.8386146905945285
6,12,3.4886,20.0,0.2688,3.601,1.128,12,0.3490658503988659,0.030153689607045803,0.9698463103929541,0.03109120412576338,0.99812,0.00067079,3.59423012,1.125881951176814,0.06444816274554821,0.20435183725445177,2.894010933453939,0.0031,3.4917,3.2197999999999998,3.2228999999999997,1.0017780068470716,1.3548166456039925,1.3573261140526838,1.4295795540526837,1.1956502641043005,0.027445673276316196,0.9385331073735966,-0.0018610761936674978,-1931.2643578106774,-606.1009236688618,0.001167396855988467,0.0011663604180775456,893.4100177046092,891.8243479076442,3211.12119514364,1005.8742139341775,0.008246774337013686,0.0025832776621080252,3205.421932999014,1004.0889369292483,0.008232137540101351,0.002578692728779761,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,5.22e-05,0.000549,3.83e-07,2.2e-05,2.51e-05,0.000332,3.47e-07,2.06e-05,1.11e-06,4.25e-05,3.83e-07,2.2e-05,9.09e-07,3.74e-05,3.53e-07,2.08e-05,9.33e-08,2.91e-06,3.83e-07,2.2e-05,2.95e-07,1.74e-05,3.83e-07,2.2e-05,18.143964265773135,28.906683617186214,0.1296894762868684,1.828461666770084,1.969029392583098,0.7776063630467742
6,12,4.6286,16.0,0.3622,7.669,1.21,12,0.2792526803190927,0.019369152030840567,0.9806308479691596,0.01975172621884492,0.99812,0.00067079,7.65458228,1.2077361559625985,0.07307429778664432,0.2891257022133557,2.894010933453939,0.0031,4.6316999999999995,4.2664,4.2695,1.0013399464679928,1.5299661454742275,1.5321032687551293,1.6632921087551293,1.2896868258438283,0.02793791497387077,0.9588775763097207,-0.0024592567378098483,-3112.559238860509,-492.01857674997984,0.0016251142825255602,0.0016240265924169976,696.3406894102227,695.408878739345,5330.197102002474,840.9958274686481,0.013688967186444809,0.0021598383823049068,5323.064480552859,839.8704460309174,0.013670649248269422,0.0021569481871998248,"[0.878,1.302]",0.991,"[1.500,2.000]",1.75,0.000508,0.00309,5.45e-07,2.71e-05,0.000268,0.00185,4.84e-07,2.53e-05,7.98e-08,9.43e-07,5.45e-07,2.71e-05,8.83e-08,1.03e-06,4.96e-07,2.57e-05,9.59e-08,3e-06,5.45e-07,2.71e-05,7.54e-07,3e-05,5.45e-07,2.71e-05,93.29916881064653,149.04091553726744,0.10495668898467606,0.044245118100034085,0.03829652704793534,1.1609148143118884
6,12,4.6286,20.0,0.712,4.163,1.057,12,0.3490658503988659,0.030153689607045803,0.9698463103929541,0.03109120412576338,0.99812,0.00067079,4.155173560000001,1.055016535706548,0.11277000136320403,0.5992299986367959,2.894010933453939,0.0031,4.6316999999999995,3.9166,3.9196999999999997,1.0013399464679928,2.1865495423729735,2.1897458009053357,2.6966898009053355,1.6421601020927696,0.026711173623664042,0.9288689417522646,-0.0009145722262039838,-4543.297337211333,-1155.731575610136,0.0006631649586631949,0.0006627211018996187,2127.1053220145645,2124.2589287658625,8838.491793370205,2244.131287914767,0.0226989399869758,0.005763359023027197,8826.664535401836,2241.128295970263,0.022668565322936866,0.005755646764474126,"[1.302,1.770]",1.619,"[2.000,2.500]",2.25,1.88e-06,4.25e-05,1.02e-06,2.89e-05,1.17e-06,3.19e-05,6.97e-07,7.5e-06,6.37e-07,6.96e-06,1.02e-06,2.89e-05,5.23e-07,5.79e-06,8.02e-07,8.52e-06,9.88e-07,2.9e-05,1.02e-06,2.89e-05,1.07e-06,2.87e-05,1.02e-06,2.89e-05,3.9618154921339874,1.4987974168955895,0.9936718391641126,0.6731675581462023,0.2590743475972054,1.0070702421571782
6,12,2.3466,30.0,0.2655,2.307,1.036,12,0.5235987755982988,0.06698729810778066,0.9330127018922194,0.07179676972449082,0.99812,0.00067079,2.30266284,1.0340534779654353,0.06419340771664572,0.2013065922833543,2.894010933453939,0.0031,2.3497,2.0811,2.0842,1.002643865714991,1.3085323624469094,1.312212773220563,1.382703023220563,1.1758839327163897,0.06636641230843687,0.8685779198178404,-0.0008261086556708755,-2787.3607475157464,-1254.0723219497968,0.0005029483359863178,0.0005022847875156375,1922.5666894365322,1917.4970846358683,4427.022873187323,1988.0367718323391,0.011369442758868125,0.0051056592494177384,4415.349282599349,1982.7945293563023,0.011339462742097874,0.005092196166558965,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,4.71e-05,0.000511,5.51e-07,2.74e-05,2.29e-05,0.000311,4.75e-07,2.5e-05,1.03e-06,4.05e-05,5.51e-07,2.74e-05,8.47e-07,3.58e-05,4.87e-07,2.53e-05,1.97e-07,6.81e-06,5.51e-07,2.74e-05,4.77e-07,2.44e-05,5.51e-07,2.74e-05,13.79666800116372,21.198585962058647,0.24149229455995094,1.4284713135012266,1.4942861203049798,0.8811009211697153
6,12,3.4886,20.0,0.2862,5.162,1.114,12,0.3490658503988659,0.030153689607045803,0.9698463103929541,0.03109120412576338,0.99812,0.00067079,5.15229544,1.1119110715068619,0.06444816274554821,0.2217518372544518,2.894010933453939,0.0031,3.4917,3.2024,3.2055,1.0017780068470716,1.347495131959198,1.3499980944478196,1.4319085344478195,1.1966238065690569,0.06742559328118047,0.9381256472326672,-0.0017621575876422125,-2923.8562295065967,-632.1795552295326,0.0011673968559884674,0.001166360418077546,905.6871937972244,904.0797338401579,4666.367998667835,1007.0436181051147,0.011984126888974187,0.0025862809160247776,4658.085890061059,1005.2562655818484,0.011962856847588637,0.0025816906523678466,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,8.84e-05,0.0008,6.05e-07,2.93e-05,4.3e-05,0.00048,5.43e-07,2.73e-05,1.65e-06,5.46e-05,6.05e-07,2.93e-05,1.36e-06,4.83e-05,5.53e-07,2.77e-05,2e-07,6.93e-06,6.05e-07,2.93e-05,4.83e-07,2.46e-05,6.05e-07,2.93e-05,20.161858309935386,32.243488708745424,0.228419690048767,1.775799750960975,1.902147064940104,0.8249437679911452
6,12,4.6286,16.0,0.3801,9.606,1.275,12,0.2792526803190927,0.019369152030840567,0.9806308479691596,0.01975172621884492,0.99812,0.00067079,9.58794072,1.2726193129536398,0.07307429778664432,0.3070257022133557,2.894010933453939,0.0031,4.6316999999999995,4.2485,4.2516,1.0013399464679928,1.523547058186587,1.525679882290504,1.670155892290504,1.2923451134625394,0.06795147483849595,0.9585482727181519,-0.0023251963111616584,-4123.497303851263,-548.340797669258,0.0016251142825255604,0.001624026592416998,707.7808442023664,706.8337248492963,6786.160776963846,900.7355716705628,0.017428160801576636,0.002313261488891226,6777.079852751845,899.5302492901736,0.017404839248699355,0.002310165990132271,"[0.878,1.302]",0.991,"[1.500,2.000]",1.75,0.00065,0.00378,8.38e-07,3.47e-05,0.000383,0.00246,7.37e-07,3.22e-05,1.13e-07,1.29e-06,8.38e-07,3.47e-05,1.25e-07,1.42e-06,7.58e-07,3.28e-05,2.02e-07,6.99e-06,8.38e-07,3.47e-05,1.13e-06,3.74e-05,8.38e-07,3.47e-05,98.70041578241243,143.41393403321064,0.18768309940051262,0.04756176174026932,0.04074337436007431,1.1340905300703525
6,12,4.6286,20.0,0.7285,4.879,1.062,12,0.3490658503988659,0.030153689607045803,0.9698463103929541,0.03109120412576338,0.99812,0.00067079,4.86982748,1.0600084923856168,0.11277000136320403,0.615729998636796,2.894010933453939,0.0031,4.6316999999999995,3.9000999999999997,3.9031999999999996,1.0013399464679928,2.1773379641037724,2.1805280531912405,2.7112403031912407,1.646584435487971,0.06689193033775975,0.9282320669206258,-0.0008637896737098382,-5637.746812930595,-1229.4659595071103,0.0006631649586631946,0.0006627211018996184,2166.8517840784607,2163.9522039658514,10552.194363192313,2296.881292864093,0.027100056455409558,0.005898831140289962,10538.073908279468,2293.8077133203747,0.02706379242234275,0.005890937599260666,"[1.302,1.770]",1.619,"[2.000,2.500]",2.25,2.98e-06,5.69e-05,1.44e-06,3.52e-05,1.8e-06,4.13e-05,9.71e-07,2.78e-05,8.35e-07,8.93e-06,1.44e-06,3.52e-05,6.85e-07,7.43e-06,1.13e-06,3.06e-05,1.39e-06,3.54e-05,1.44e-06,3.52e-05,1.51e-06,3.49e-05,1.44e-06,3.52e-05,1.5157686123797025,1.6554017779310601,0.9938662078828959,0.2604082986478269,0.2710237156923817,1.0075923297480867
6,12,4.6286,25.0,1.1677,1.485,1.023,12,0.4363323129985824,0.04684610648167502,0.953153893518325,0.049148523444366925,0.99812,0.00067079,1.4822082,1.0210772458895692,0.17286550802920075,0.9948344919707992,2.894010933453939,0.0031,4.6316999999999995,3.4608999999999996,3.4639999999999995,1.0013399464679928,3.00173393109982,3.0064348554361087,4.369958145436108,2.0904444851361417,0.06516413129289145,0.8749838834739002,-0.000319860686618213,-4633.918021220187,-3198.2673795140595,0.0002700322257548777,0.0002698514930002001,6855.149943177858,6845.976700877556,10160.759458007757,6999.637624140084,0.026094776637391667,0.01797641023778667,10147.162803049661,6990.271035156214,0.026059857822945415,0.017952355043054577,"[2.067,2.357]",2.213,"[3.000,3.500]",3.25,8.32e-08,1.1e-06,2.11e-06,3.12e-05,5.87e-08,8.01e-07,8.35e-07,9.53e-06,4.71e-07,5.56e-06,2.11e-06,3.12e-05,3.26e-07,3.94e-06,1.32e-06,1.46e-05,2.24e-06,2.99e-05,2.11e-06,3.12e-05,2.25e-06,2.98e-05,2.11e-06,3.12e-05,0.07919766748696688,0.03405253184517763,1.0029470138141476,0.26192471863623007,0.17774112164956715,1.0026717277057338
6,12,2.3466,30.0,0.2814,3.296,1.041,12,0.5235987755982988,0.06698729810778066,0.9330127018922194,0.07179676972449082,0.99812,0.00067079,3.28980352,1.039045272250614,0.06419340771664572,0.21720659228335426,2.894010933453939,0.0031,2.3497,2.0652,2.0683,1.002643865714991,1.2985349262050632,1.302202129763022,1.381388089763022,1.175324674191358,0.10621413716597816,0.8678104611276575,-0.0007811062840365194,-4211.723279192298,-1332.7251633675623,0.0005029483359863179,0.0005022847875156376,1946.8066381224355,1941.6731151435877,6404.611330854555,2022.8202333272286,0.016448268736077958,0.005194989841499526,6387.72304888874,2017.4862705460669,0.016404896392946667,0.005181291203327664,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,7.66e-05,0.000721,8.71e-07,3.66e-05,3.74e-05,0.000436,7.4e-07,3.31e-05,1.48e-06,5.1e-05,8.71e-07,3.66e-05,1.22e-06,4.52e-05,7.62e-07,3.37e-05,3.47e-07,1.24e-05,8.71e-07,3.66e-05,7.79e-07,3.39e-05,8.71e-07,3.66e-05,14.812986031006197,22.73778578664143,0.3258242440260197,1.3536111230881274,1.4081121605905564,0.9171641261831742
6,12,3.4886,20.0,0.3036,8.077,1.139,12,0.3490658503988659,0.030153689607045803,0.9698463103929541,0.03109120412576338,0.99812,0.00067079,8.06181524,1.1368715902419486,0.06444816274554821,0.23915183725445177,2.894010933453939,0.0031,3.4917,3.185,3.1881,1.0017780068470716,1.3401736183144035,1.3426700748429556,1.4348430348429557,1.1978493372886907,0.10740551328604453,0.9376894409672732,-0.001663765362763758,-4845.524146871373,-684.5917251865095,0.001167396855988467,0.0011663604180775456,918.9294450918044,917.2984821098047,7408.239404925851,1044.704779561671,0.01902577788075769,0.002683001992847344,7395.09088270169,1042.8505840826992,0.01899200995701446,0.002678240063676026,"[0.878,1.302]",0.991,"[1.050,1.500]",1.25,0.000145,0.00115,9.56e-07,3.88e-05,7.26e-05,0.000694,8.49e-07,3.61e-05,2.46e-06,6.99e-05,9.56e-07,3.88e-05,2.02e-06,6.2e-05,8.68e-07,3.66e-05,3.53e-07,1.26e-05,9.56e-07,3.88e-05,7.91e-07,3.42e-05,9.56e-07,3.88e-05,22.455179794327567,35.62572448790794,0.3099301983147673,1.7270344592343911,1.8417543741959113,0.8658038507405946
