Z,A,E0,ThetaDeg,nu,cross,error
6,12,0.054,180.0,0.011544746,101.5,766.5
6,12,0.065,180.0,0.014231259,85.0,315.0
6,12,0.065,180.0,0.014473759,175.0,345.0
6,12,0.065,180.0,0.014715259,1635.0,485.0
6,12,0.054,180.0,0.012546046,585.5,905.5
6,12,0.065,180.0,0.015010259,2750.0,460.0
6,12,0.16,36.0,0.0125,410600.0,183200.0
6,12,0.065,180.0,0.015221259,5840.0,570.0
6,12,0.065,180.0,0.015473259,12680.0,660.0
6,12,0.065,180.0,0.015757759,14430.0,800.0
6,12,0.054,180.0,0.013572546,129.0,871.0
6,12,0.065,180.0,0.015979259,13970.0,860.0
6,12,0.065,180.0,0.016231259,12735.0,715.0
6,12,0.054,180.0,0.013994646,2078.5,1010.5
6,12,0.065,180.0,0.016484259,8930.0,690.0
6,12,0.065,180.0,0.016747259,7445.0,745.0
6,12,0.054,180.0,0.014499196,3714.5,1184.5
6,12,0.065,180.0,0.017020759,7445.0,685.0
6,12,0.054,180.0,0.014956246,8243.0,1394.0
6,12,0.2,36.0,0.0175,435600.0,78200.0
6,12,0.065,180.0,0.017252759,6525.0,685.0
6,12,0.065,180.0,0.017494259,5155.0,575.0
6,12,0.054,180.0,0.015499296,13746.0,1324.0
6,12,0.065,180.0,0.017747259,6955.0,655.0
6,12,0.065,180.0,0.018031759,8675.0,655.0
6,12,0.054,180.0,0.015940246,12490.0,1324.0
6,12,0.065,180.0,0.018273259,8215.0,775.0
6,12,0.065,180.0,0.018526259,9935.0,775.0
6,12,0.054,180.0,0.016462796,10607.0,1533.0
6,12,0.065,180.0,0.018768759,8760.0,630.0
6,12,0.0551,141.0,0.016324492,3120.0,93.6
6,12,0.0551,141.0,0.016381492,6260.0,187.8
6,12,0.0551,141.0,0.016408492,7730.0,231.9
6,12,0.0551,141.0,0.016467492,9560.0,286.8
6,12,0.0551,141.0,0.016497492,12030.0,360.9
6,12,0.065,180.0,0.019031259,9275.0,745.0
6,12,0.0551,141.0,0.016549492,13210.0,396.3
6,12,0.0551,141.0,0.016610492,11190.0,335.7
6,12,0.0551,141.0,0.016630492,13130.0,393.9
6,12,0.054,180.0,0.016949096,5692.5,1219.5
6,12,0.0551,141.0,0.016651492,8880.0,266.4
6,12,0.0551,141.0,0.016685492,7840.0,235.2
6,12,0.0551,141.0,0.016733492,6980.0,209.4
6,12,0.065,180.0,0.019273759,10135.0,685.0
6,12,0.0551,141.0,0.016783492,5890.0,176.7
6,12,0.0551,141.0,0.016802983,3120.0,93.6
6,12,0.0551,141.0,0.016859983,6260.0,187.8
6,12,0.0551,141.0,0.016886983,7730.0,231.9
6,12,0.0551,141.0,0.016896492,5590.0,167.7
6,12,0.0551,141.0,0.016945983,9560.0,286.8
6,12,0.0551,141.0,0.016964492,5040.0,151.2
6,12,0.0551,141.0,0.016975983,12030.0,360.9
6,12,0.065,180.0,0.019515259,10535.0,685.0
6,12,0.0551,141.0,0.017027983,13210.0,396.3
6,12,0.0551,141.0,0.017088983,11190.0,335.7
6,12,0.0551,141.0,0.017103492,5160.0,154.8
6,12,0.0551,141.0,0.017108983,13130.0,393.9
6,12,0.054,180.0,0.017425246,7084.0,1080.0
6,12,0.0551,141.0,0.017129983,8880.0,266.4
6,12,0.0551,141.0,0.017163983,7840.0,235.2
6,12,0.16,36.0,0.0175,409000.0,147500.0
6,12,0.0551,141.0,0.017211983,6980.0,209.4
6,12,0.0551,141.0,0.017241492,5270.0,158.1
6,12,0.0551,141.0,0.017261983,5890.0,176.7
6,12,0.065,180.0,0.019768259,11825.0,715.0
6,12,0.0551,141.0,0.017374983,5590.0,167.7
6,12,0.0551,141.0,0.017378492,5760.0,172.8
6,12,0.0551,141.0,0.017442983,5040.0,151.2
6,12,0.0551,141.0,0.017506492,6330.0,189.9
6,12,0.065,180.0,0.020031759,15775.0,775.0
6,12,0.0551,141.0,0.017562492,7120.0,213.6
6,12,0.0551,141.0,0.017581983,5160.0,154.8
6,12,0.0551,141.0,0.017673492,7510.0,225.3
6,12,0.054,180.0,0.017983646,8127.5,1289.5
6,12,0.0551,141.0,0.017719983,5270.0,158.1
6,12,0.065,180.0,0.020262759,14145.0,915.0
6,12,0.0551,141.0,0.017781492,8300.0,249.0
6,12,0.0551,141.0,0.017856983,5760.0,172.8
6,12,0.0551,141.0,0.017898492,8930.0,267.9
6,12,0.0551,141.0,0.017984983,6330.0,189.9
6,12,0.0551,141.0,0.018021492,9400.0,282.0
6,12,0.065,180.0,0.020505259,12225.0,885.0
6,12,0.0551,141.0,0.018040983,7120.0,213.6
6,12,0.0551,141.0,0.018151983,7510.0,225.3
6,12,0.0551,141.0,0.018158492,9380.0,281.4
6,12,0.054,180.0,0.018458046,8892.5,1219.5
6,12,0.0551,141.0,0.018185492,9090.0,272.7
6,12,0.0551,141.0,0.018259983,8300.0,249.0
6,12,0.0551,141.0,0.018304492,9740.0,292.2
6,12,0.065,180.0,0.020779259,11280.0,800.0
6,12,0.0551,141.0,0.018376983,8930.0,267.9
6,12,0.0551,141.0,0.018411492,9500.0,285.0
6,12,0.0551,141.0,0.018429492,10280.0,308.4
6,12,0.0551,141.0,0.018499983,9400.0,282.0
6,12,0.0551,141.0,0.018518492,10460.0,313.8
6,12,0.0551,141.0,0.018535492,11230.0,336.9
6,12,0.065,180.0,0.021010259,10165.0,775.0
6,12,0.0551,141.0,0.018627492,11940.0,358.2
6,12,0.0551,141.0,0.018636983,9380.0,281.4
6,12,0.0551,141.0,0.018663983,9090.0,272.7
6,12,0.054,180.0,0.018994146,11887.5,1219.5
6,12,0.0551,141.0,0.018723492,11860.0,355.8
6,12,0.0551,141.0,0.018765492,11200.0,336.0
6,12,0.0551,141.0,0.018782983,9740.0,292.2
6,12,0.0551,141.0,0.018812492,10500.0,315.0
6,12,0.065,180.0,0.021273759,8675.0,655.0
6,12,0.0551,141.0,0.018842492,9880.0,296.4
6,12,0.0551,141.0,0.018885492,9180.0,275.4
6,12,0.0551,141.0,0.018889983,9500.0,285.0
6,12,0.0551,141.0,0.018907983,10280.0,308.4
6,12,0.0551,141.0,0.018930492,8430.0,252.9
6,12,0.0551,141.0,0.018985492,7720.0,231.6
6,12,0.0551,141.0,0.018996983,10460.0,313.8
6,12,0.0551,141.0,0.019013983,11230.0,336.9
6,12,0.0551,141.0,0.019057492,6690.0,200.7
6,12,0.065,180.0,0.021525759,9275.0,805.0
6,12,0.0551,141.0,0.019105983,11940.0,358.2
6,12,0.054,180.0,0.019463596,10910.0,1150.0
6,12,0.0551,141.0,0.019190492,6810.0,204.3
6,12,0.0551,141.0,0.019201983,11860.0,355.8
6,12,0.0551,141.0,0.019243983,11200.0,336.0
6,12,0.0551,141.0,0.019290983,10500.0,315.0
6,12,0.0551,141.0,0.019320983,9880.0,296.4
6,12,0.2,36.0,0.0225,601100.0,75400.0
6,12,0.065,180.0,0.021768259,10220.0,1000.0
6,12,0.0551,141.0,0.019335492,7210.0,216.3
6,12,0.0551,141.0,0.019363983,9180.0,275.4
6,12,0.0551,141.0,0.019408983,8430.0,252.9
6,12,0.0551,141.0,0.019463983,7720.0,231.6
6,12,0.0551,141.0,0.019535983,6690.0,200.7
6,12,0.065,180.0,0.022000259,11250.0,940.0
6,12,0.054,180.0,0.019925396,7145.5,1428.5
6,12,0.0551,141.0,0.019668983,6810.0,204.3
6,12,0.0551,141.0,0.019813983,7210.0,216.3
6,12,0.065,180.0,0.022252259,12165.0,945.0
6,12,0.0551,141.0,0.019889983,7150.0,214.5
6,12,0.0551,141.0,0.019914983,8270.0,248.1
6,12,0.0551,141.0,0.019988983,9360.0,280.8
6,12,0.0551,141.0,0.019992983,8560.0,256.8
6,12,0.0551,141.0,0.020024983,10250.0,307.5
6,12,0.0551,141.0,0.020065983,11390.0,341.7
6,12,0.065,180.0,0.022515759,15055.0,975.0
6,12,0.0551,141.0,0.020102983,12750.0,382.5
6,12,0.0551,141.0,0.020130983,13920.0,417.6
6,12,0.054,180.0,0.020454046,7457.0,1185.0
6,12,0.0551,141.0,0.020188983,14720.0,441.6
6,12,0.0551,141.0,0.020221983,15830.0,474.9
6,12,0.0551,141.0,0.020280983,16840.0,505.2
6,12,0.065,180.0,0.022758259,15655.0,945.0
6,12,0.0551,141.0,0.020380983,16790.0,503.7
6,12,0.0551,141.0,0.020444983,16180.0,485.4
6,12,0.0551,141.0,0.020502983,15110.0,453.3
6,12,0.0551,141.0,0.020531983,14670.0,440.1
6,12,0.0551,141.0,0.020574983,13790.0,413.7
6,12,0.0551,141.0,0.020635983,13040.0,391.2
6,12,0.065,180.0,0.023041759,15255.0,945.0
6,12,0.0551,141.0,0.020707983,12250.0,367.5
6,12,0.054,180.0,0.020979196,6514.5,1289.5
6,12,0.0551,141.0,0.020793983,11530.0,345.9
6,12,0.0551,141.0,0.020851983,10760.0,322.8
6,12,0.065,180.0,0.023263259,16290.0,1000.0
6,12,0.0551,141.0,0.020915983,9860.0,295.8
6,12,0.0551,141.0,0.020985983,9140.0,274.2
6,12,0.0551,141.0,0.021106983,8790.0,263.7
6,12,0.0551,141.0,0.021119983,8430.0,252.9
6,12,0.065,180.0,0.023525759,17150.0,830.0
6,12,0.054,180.0,0.021493796,11774.0,1324.0
6,12,0.0551,141.0,0.021273983,8810.0,264.3
6,12,0.065,180.0,0.023778759,15715.0,775.0
6,12,0.0551,141.0,0.021423983,9110.0,273.3
6,12,0.0551,141.0,0.021550983,9480.0,284.4
6,12,0.065,180.0,0.024010759,13740.0,690.0
6,12,0.054,180.0,0.021906146,10205.0,1359.0
6,12,0.0551,141.0,0.021674983,10420.0,312.6
6,12,0.0551,141.0,0.021762983,11160.0,334.8
6,12,0.0551,141.0,0.021832983,11790.0,353.7
6,12,0.16,36.0,0.0225,790800.0,146500.0
6,12,0.065,180.0,0.024273259,14655.0,745.0
6,12,0.0551,141.0,0.021945983,12240.0,367.2
6,12,0.0551,141.0,0.022013983,13150.0,394.5
6,12,0.0551,141.0,0.022132983,13340.0,400.2
6,12,0.065,180.0,0.024526259,15715.0,945.0
6,12,0.0551,141.0,0.022211983,14100.0,423.0
6,12,0.0809,135.0,0.027,15000.0,1320.0
6,12,0.0551,141.0,0.022298983,14900.0,447.0
6,12,0.054,180.0,0.022561796,16265.0,941.0
6,12,0.0551,141.0,0.022365983,15690.0,470.7
6,12,0.065,180.0,0.024757759,13680.0,1030.0
6,12,0.0551,141.0,0.022436983,15950.0,478.5
6,12,0.0551,141.0,0.022452983,17210.0,516.3
6,12,0.0551,141.0,0.022522983,17800.0,534.0
6,12,0.0551,141.0,0.022577983,18970.0,569.1
6,12,0.065,180.0,0.024999759,13110.0,920.0
6,12,0.0551,141.0,0.022671983,19180.0,575.4
6,12,0.0551,141.0,0.022729983,20680.0,620.4
6,12,0.054,180.0,0.022980746,17065.0,1185.0
6,12,0.0551,141.0,0.022842983,21430.0,642.9
6,12,0.065,180.0,0.025263259,10735.0,885.0
6,12,0.0551,141.0,0.022939983,22070.0,662.1
6,12,0.0551,141.0,0.023013983,23110.0,693.3
6,12,0.0551,141.0,0.023139983,23690.0,710.7
6,12,0.065,180.0,0.025494259,12455.0,945.0
6,12,0.054,180.0,0.023423996,16645.0,1115.0
6,12,0.0809,135.0,0.0279,14020.0,1415.0
6,12,0.0551,141.0,0.023287983,23740.0,712.2
6,12,0.0551,141.0,0.023393983,24450.0,733.5
6,12,0.065,180.0,0.025747259,12595.0,855.0
6,12,0.0551,141.0,0.023516983,24810.0,744.3
6,12,0.0551,141.0,0.023658983,24990.0,749.7
6,12,0.065,180.0,0.025989759,11935.0,945.0
6,12,0.054,180.0,0.023925646,17236.0,1289.0
6,12,0.0551,141.0,0.023701983,25830.0,774.9
6,12,0.0551,141.0,0.023805983,25070.0,752.1
6,12,0.0809,135.0,0.0285,11790.0,1010.0
6,12,0.0551,141.0,0.023852983,25620.0,768.6
6,12,0.065,180.0,0.026252259,11655.0,945.0
6,12,0.0551,141.0,0.023975983,25570.0,767.1
6,12,0.0551,141.0,0.023993983,25090.0,752.7
6,12,0.2,36.0,0.0275,650100.0,70570.0
6,12,0.0551,141.0,0.024150983,25560.0,766.8
