e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.1999,0.195,90.0,0.8116,0.078,0.3333,0.1448,0.01009,7.118,0.02035,0.001417,1.0,0.2,90,0.0050000000000000044
0.1999,0.19,90.0,0.823,0.076,0.333,1.686,0.08398,16.54,0.1019,0.005076,1.0,0.2,90,0.010000000000000009
0.1999,0.185,90.0,0.8344,0.074,0.3327,1.005,0.04921,9.138,0.11,0.005386,1.0,0.2,90,0.015000000000000013
0.1999,0.18,90.0,0.8457,0.072,0.3321,0.783,0.04195,7.053,0.111,0.005948,1.0,0.2,90,0.020000000000000018
0.1999,0.175,90.0,0.8571,0.07,0.3314,0.9518,0.0496,6.673,0.1426,0.007433,1.0,0.2,90,0.025000000000000022
0.1999,0.17,90.0,0.8685,0.068,0.3304,0.9725,0.052,4.172,0.2331,0.01246,1.0,0.2,90,0.03
0.1999,0.165,90.0,0.8799,0.066,0.3293,1.04,0.05451,3.252,0.32,0.01676,1.0,0.2,90,0.035
0.1999,0.16,90.0,0.8913,0.064,0.3279,1.184,0.06308,3.007,0.3936,0.02098,1.0,0.2,90,0.04000000000000001
0.1999,0.155,90.0,0.9026,0.062,0.3263,1.252,0.06698,2.597,0.4821,0.02579,1.0,0.2,90,0.04500000000000001
0.1999,0.15,90.0,0.914,0.06,0.3244,1.27,0.06729,2.137,0.5946,0.03149,1.0,0.2,90,0.05000000000000002
0.1999,0.145,90.0,0.9254,0.058,0.3222,1.265,0.06925,1.722,0.7346,0.04023,1.0,0.2,90,0.05500000000000002
0.1999,0.14,90.0,0.9368,0.056,0.3197,1.138,0.06583,1.379,0.8255,0.04775,1.0,0.2,90,0.06
0.1999,0.135,90.0,0.9482,0.054,0.3168,1.016,0.06184,1.137,0.8936,0.05437,1.0,0.2,90,0.065
0.1999,0.13,90.0,0.9596,0.052,0.3137,0.8972,0.05868,0.9718,0.9232,0.06038,1.0,0.2,90,0.07
0.1999,0.125,90.0,0.9709,0.05,0.3101,0.7912,0.05654,0.8387,0.9434,0.06741,1.0,0.2,90,0.07500000000000001
0.1999,0.12,90.0,0.9823,0.048,0.3062,0.6597,0.05116,0.7173,0.9196,0.07132,1.0,0.2,90,0.08000000000000002
0.1999,0.115,90.0,0.9937,0.046,0.3018,0.5007,0.04872,0.6044,0.8285,0.08062,1.0,0.2,90,0.085
0.1999,0.11,90.0,1.0051,0.044,0.297,0.442,0.05702,0.5024,0.8797,0.1135,1.0,0.2,90,0.09000000000000001
0.1999,0.105,90.0,1.0165,0.042,0.2916,0.3774,0.04852,0.4125,0.9149,0.1176,1.0,0.2,90,0.09500000000000001
0.1999,0.1,90.0,1.0278,0.04,0.2858,0.3062,0.04806,0.3358,0.912,0.1431,1.0,0.2,90,0.1
0.1999,0.19,145.0,0.7607,0.1382,0.0473,0.0197,0.00168,0.1757,0.1121,0.009564,1.0,0.2,145,0.010000000000000009
0.1999,0.185,145.0,0.7738,0.1345,0.0473,0.01713,0.001192,0.1834,0.09343,0.006503,1.0,0.2,145,0.015000000000000013
0.1999,0.18,145.0,0.7868,0.1309,0.0472,0.06952,0.004269,0.3922,0.1773,0.01088,1.0,0.2,145,0.020000000000000018
0.1999,0.175,145.0,0.7998,0.1273,0.0471,0.1723,0.0084,1.15,0.1498,0.007304,1.0,0.2,145,0.025000000000000022
0.1999,0.17,145.0,0.8128,0.1236,0.047,0.1258,0.006708,0.4408,0.2854,0.01522,1.0,0.2,145,0.03
0.1999,0.165,145.0,0.8258,0.12,0.0469,0.1508,0.007614,0.1978,0.7622,0.03849,1.0,0.2,145,0.035
0.1999,0.16,145.0,0.8389,0.1164,0.0467,0.1763,0.009136,0.2346,0.7515,0.03894,1.0,0.2,145,0.04000000000000001
0.1999,0.155,145.0,0.8519,0.1127,0.0466,0.2086,0.01038,0.2763,0.7548,0.03755,1.0,0.2,145,0.04500000000000001
0.1999,0.15,145.0,0.8649,0.1091,0.0463,0.2433,0.01167,0.3041,0.8002,0.03838,1.0,0.2,145,0.05000000000000002
0.1999,0.145,145.0,0.8779,0.1055,0.0461,0.2814,0.01434,0.3189,0.8825,0.04496,1.0,0.2,145,0.05500000000000002
0.1999,0.14,145.0,0.8909,0.1018,0.0458,0.3029,0.01539,0.3252,0.9314,0.04731,1.0,0.2,145,0.06
0.1999,0.135,145.0,0.904,0.0982,0.0455,0.3104,0.01619,0.3283,0.9453,0.0493,1.0,0.2,145,0.065
0.1999,0.13,145.0,0.917,0.0945,0.0451,0.3195,0.01702,0.3285,0.9727,0.05183,1.0,0.2,145,0.07
0.1999,0.125,145.0,0.93,0.0909,0.0447,0.3253,0.01781,0.3227,1.008,0.05518,1.0,0.2,145,0.07500000000000001
0.1999,0.12,145.0,0.943,0.0873,0.0443,0.3087,0.01684,0.309,0.9989,0.05451,1.0,0.2,145,0.08000000000000002
0.1999,0.115,145.0,0.956,0.0836,0.0438,0.2847,0.01717,0.2877,0.9895,0.05968,1.0,0.2,145,0.085
0.1999,0.11,145.0,0.9691,0.08,0.0432,0.2566,0.01604,0.2607,0.9841,0.06151,1.0,0.2,145,0.09000000000000001
0.1999,0.105,145.0,0.9821,0.0764,0.0426,0.2334,0.01498,0.2307,1.012,0.06492,1.0,0.2,145,0.09500000000000001
0.1999,0.1,145.0,0.9951,0.0727,0.0419,0.2053,0.01386,0.1997,1.028,0.06938,1.0,0.2,145,0.1
0.2,0.1825,36.0,0.8993,0.0139,0.8225,36.05,6.562,267.0,0.135,0.02458,1.0,0.2,36,0.017500000000000016
0.2,0.1775,36.0,0.909,0.0136,0.8203,49.75,6.417,422.8,0.1177,0.01517,1.0,0.2,36,0.02250000000000002
0.2,0.1725,36.0,0.9188,0.0132,0.8175,53.81,6.06,319.2,0.1685,0.01898,1.0,0.2,36,0.027500000000000024
0.2,0.1675,36.0,0.9285,0.0128,0.814,37.73,5.012,123.9,0.3044,0.04044,1.0,0.2,36,0.0325
0.2,0.1625,36.0,0.9383,0.0124,0.8097,31.09,4.515,69.71,0.4459,0.06477,1.0,0.2,36,0.037500000000000006
0.2,0.1575,36.0,0.9481,0.012,0.8046,22.86,3.983,40.11,0.57,0.09932,1.0,0.2,36,0.04250000000000001
0.2,0.1525,36.0,0.9578,0.0116,0.7987,16.58,3.587,21.49,0.7713,0.1669,1.0,0.2,36,0.047500000000000014
0.2,0.1925,60.0,0.8559,0.0385,0.5996,13.57,1.141,131.1,0.1035,0.008702,1.0,0.2,60,0.007500000000000007
0.2,0.1875,60.0,0.8663,0.0375,0.599,6.986,0.5383,63.35,0.1103,0.008496,1.0,0.2,60,0.012500000000000011
0.2,0.1825,60.0,0.8767,0.0365,0.598,4.244,0.3757,42.99,0.09872,0.008738,1.0,0.2,60,0.017500000000000016
0.2,0.1775,60.0,0.8871,0.0355,0.5966,6.455,0.439,52.13,0.1238,0.008421,1.0,0.2,60,0.02250000000000002
0.2,0.1725,60.0,0.8975,0.0345,0.5948,6.821,0.4395,47.17,0.1446,0.009319,1.0,0.2,60,0.027500000000000024
0.2,0.1675,60.0,0.9078,0.0335,0.5925,6.131,0.4043,26.88,0.2281,0.01504,1.0,0.2,60,0.0325
0.2,0.1625,60.0,0.9182,0.0325,0.5898,5.671,0.3848,19.11,0.2968,0.02014,1.0,0.2,60,0.037500000000000006
0.2,0.1575,60.0,0.9286,0.0315,0.5865,5.376,0.3735,13.37,0.4022,0.02794,1.0,0.2,60,0.04250000000000001
0.2,0.1525,60.0,0.939,0.0305,0.5828,4.671,0.3473,8.772,0.5325,0.0396,1.0,0.2,60,0.047500000000000014
0.2,0.1475,60.0,0.9494,0.0295,0.5784,3.894,0.3231,6.012,0.6477,0.05374,1.0,0.2,60,0.05250000000000002
0.2,0.1425,60.0,0.9598,0.0285,0.5734,3.228,0.3109,4.245,0.7604,0.07325,1.0,0.2,60,0.05750000000000002
0.2,0.1375,60.0,0.9701,0.0275,0.5677,2.62,0.2906,3.083,0.85,0.09426,1.0,0.2,60,0.0625
0.2,0.1325,60.0,0.9805,0.0265,0.5614,2.156,0.2726,2.338,0.9222,0.1166,1.0,0.2,60,0.0675
3.595,2.62,30.01,0.1846,2.5254,0.8349,0.0002242,2.538e-05,0.0001939,1.157,0.1309,8.0,3.595,30,0.9750000000000001
