e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.0809,0.0686,135.0,0.8845,0.0189,0.0784,0.3108,0.1262,4.026,0.07722,0.03134,18.0,0.0809,135.0,0.012300000000000005
0.0809,0.0682,135.0,0.8853,0.0188,0.0784,0.1954,0.1206,4.117,0.04746,0.02928,18.0,0.0809,135.0,0.012700000000000003
0.0809,0.0677,135.0,0.8864,0.0187,0.0783,0.2712,0.1182,4.379,0.06194,0.02699,18.0,0.0809,135.0,0.013200000000000003
0.0809,0.0671,135.0,0.8877,0.0185,0.0783,0.4283,0.1132,4.901,0.08739,0.0231,18.0,0.0809,135.0,0.013799999999999993
0.0809,0.0665,135.0,0.889,0.0184,0.0782,0.5988,0.1012,5.616,0.1066,0.01802,18.0,0.0809,135.0,0.014399999999999996
0.0809,0.0662,135.0,0.8897,0.0183,0.0782,0.7479,0.1045,6.027,0.1241,0.01734,18.0,0.0809,135.0,0.014700000000000005
0.0809,0.0659,135.0,0.8903,0.0182,0.0781,1.172,0.123,6.462,0.1813,0.01904,18.0,0.0809,135.0,0.015
0.0809,0.0654,135.0,0.8914,0.0181,0.0781,1.06,0.09428,7.213,0.147,0.01307,18.0,0.0809,135.0,0.0155
0.0809,0.0648,135.0,0.8927,0.0179,0.078,0.7212,0.09947,8.105,0.08899,0.01227,18.0,0.0809,135.0,0.016100000000000003
0.0809,0.0644,135.0,0.8935,0.0178,0.0779,0.7658,0.09693,8.664,0.08839,0.01119,18.0,0.0809,135.0,0.0165
0.0809,0.0639,135.0,0.8946,0.0176,0.0778,0.8833,0.1055,9.301,0.09497,0.01134,18.0,0.0809,135.0,0.017
0.0809,0.0635,135.0,0.8955,0.0175,0.0778,0.7208,0.07886,9.759,0.07386,0.00808,18.0,0.0809,135.0,0.0174
0.0809,0.063,135.0,0.8965,0.0174,0.0777,0.9283,0.08353,10.28,0.09032,0.008127,18.0,0.0809,135.0,0.0179
0.0809,0.0626,135.0,0.8974,0.0173,0.0776,0.8308,0.09983,10.64,0.07808,0.009381,18.0,0.0809,135.0,0.018299999999999997
0.0809,0.0623,135.0,0.8981,0.0172,0.0776,1.08,0.08515,10.89,0.0992,0.007822,18.0,0.0809,135.0,0.0186
0.0809,0.0618,135.0,0.8991,0.0171,0.0775,1.373,0.08411,11.25,0.122,0.007474,18.0,0.0809,135.0,0.0191
0.0809,0.0614,135.0,0.9,0.017,0.0774,1.135,0.08351,11.52,0.09857,0.007252,18.0,0.0809,135.0,0.019499999999999997
0.0809,0.0607,135.0,0.9015,0.0168,0.0773,1.132,0.09076,11.92,0.09498,0.007617,18.0,0.0809,135.0,0.020200000000000003
0.0809,0.0599,135.0,0.9032,0.0165,0.0771,1.582,0.09194,12.29,0.1287,0.00748,18.0,0.0809,135.0,0.020999999999999998
0.0809,0.0594,135.0,0.9043,0.0164,0.077,1.513,0.0909,12.48,0.1213,0.007283,18.0,0.0809,135.0,0.0215
