Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
6,12,0.0551,141,0.0163,9128.1,912.81,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,9128.1,1020.5526052707914,0.00047849156034934087,0.015821508439650658,2.894010933453939,0.0031,0.0582,0.0388,0.0419,1.1156880247430014,0.007598649616159257,0.00866742519737948,0.008933115197379481,0.09451515855871735,0.9022764971316205,0.0573464687908461,0.00040202836021077844,22705114.62229742,2270511.4622297417,0.0006191558535451574,0.0005861767616896594,109.76784386167756,98.38578655261857,1001971.855553779,112023.85902799248,2.5732556582690016,0.2876987287687727,898075.2982309576,100407.87078789088,2.3064293971083454,0.25786664586190583,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0228,0.00501,0.022,0.00459,0.0216,0.00488,0.0198,0.00435,0.0229,0.00511,0.022,0.00459,0.0221,0.00501,0.0198,0.00434,0.0187,0.00389,0.022,0.00459,0.0141,0.00287,0.022,0.00459,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0168,5320.5,532.05,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,5320.5,594.8499837143816,0.00047849156034934087,0.016321508439650658,2.894010933453939,0.0031,0.0582,0.0383,0.0414,1.1156880247430014,0.007500728873682978,0.008563995302422684,0.008846235302422683,0.09405442734088962,0.9033182000265774,0.05722594458183861,0.00042107985371001353,12635370.590928547,1263537.0590928546,0.0006191558535451573,0.0005861767616896593,110.02715709813629,98.61821105723621,585399.4893406341,65449.65260796607,1.5034180251111038,0.16808724513734571,524698.1919300252,58663.041241338404,1.3475254656940645,0.15065792713519946,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0209,0.00437,0.0172,0.00344,0.0224,0.0047,0.0203,0.00409,0.0219,0.00461,0.0172,0.00344,0.0229,0.00485,0.0203,0.00409,0.00708,0.00107,0.0172,0.00344,0.00725,0.00105,0.0172,0.00344,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0173,6598.5,659.85,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,6598.5,737.7347274766182,0.00047849156034934087,0.01682150843965066,2.894010933453939,0.0031,0.0582,0.0378,0.0409,1.1156880247430014,0.0074028081312066995,0.008460565407465887,0.008759855407465888,0.09359409921285576,0.9043599029215341,0.057099924532724805,0.0004401239114012949,14992368.805846678,1499236.8805846677,0.0006191558535451573,0.0005861767616896593,110.29946944562231,98.86228676787113,727811.0491369388,81371.74903228175,1.8691581903837262,0.2089782387199253,652342.7992377976,72934.14218641068,1.6753412682853583,0.1873088480698387,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.00764,0.00126,0.00634,0.000997,0.00807,0.00138,0.00708,0.0012,0.00798,0.00133,0.00634,0.000997,0.0083,0.00143,0.00708,0.0012,0.00845,0.00232,0.00634,0.000997,0.00959,0.0036,0.00634,0.000997,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0177,9072.9,907.29,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,9072.9,1014.3810576528921,0.00047849156034934087,0.01722150843965066,2.894010933453939,0.0031,0.0582,0.0374,0.0405,1.1156880247430014,0.007324471537225676,0.008377821491500452,0.008691111491500453,0.09322613094782199,0.9051932652374995,0.05699505357251209,0.0004553535347322574,19924957.87989163,1992495.787989163,0.0006191558535451573,0.0005861767616896593,110.52700249233045,99.06622643708158,1002800.440912665,112116.49768737401,2.5753836241906924,0.28793664259150803,898817.9658409974,100490.90355092772,2.308336709792983,0.2580798899027658,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.00742,0.00125,0.00653,0.00124,0.00727,0.00115,0.00623,0.00102,0.00761,0.00125,0.00653,0.00124,0.00751,0.00118,0.00622,0.00102,0.011,0.00561,0.00653,0.00124,0.0126,0.00639,0.00653,0.00124,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0182,10622.6,1062.26,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,10622.6,1187.6427848894632,0.00047849156034934087,0.01772150843965066,2.894010933453939,0.0031,0.0582,0.0369,0.04,1.1156880247430014,0.007226550794749397,0.008274391596543655,0.008605631596543655,0.0927665435194373,0.9062349681324564,0.056858770580251565,0.00047438318844271156,22392446.146482337,2239244.6146482336,0.0006191558535451572,0.0005861767616896591,110.8239467669269,99.33237993878726,1177238.4569263577,131619.26077071467,3.02337386387299,0.33802347405080996,1055168.1391377614,117971.38434019954,2.7098739045526847,0.30297311305162894,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.00981,0.00426,0.00858,0.00402,0.00954,0.00388,0.00803,0.00328,0.0101,0.00429,0.00858,0.00402,0.00988,0.00401,0.00803,0.00328,0.0141,0.00491,0.00858,0.00402,0.0153,0.0046,0.00858,0.00402,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0186,9146.7,914.67,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,9146.7,1022.6321484898663,0.00047849156034934087,0.018121508439650658,2.894010933453939,0.0031,0.0582,0.036500000000000005,0.0396,1.1156880247430014,0.007148214200768374,0.008191647680578219,0.008537607680578218,0.09239917575702836,0.9070683304484218,0.05674549307074535,0.0004896007456332067,18681956.84255027,1868195.6842550267,0.0006191558535451574,0.0005861767616896594,111.0718538654241,99.5545810317445,1015940.9257508747,113585.64855515111,2.6091309063871897,0.2917097034438698,910595.8863230576,101807.71509250137,2.3385846657162093,0.26146171418400327,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0125,0.00615,0.0107,0.00505,0.0122,0.00615,0.0101,0.00514,0.0128,0.0064,0.0107,0.00505,0.0126,0.00639,0.0101,0.00514,0.0159,0.00514,0.0107,0.00505,0.0175,0.00678,0.0107,0.00505,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0191,8045.4,804.54,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,8045.4,899.5030653088404,0.00047849156034934087,0.018621508439650658,2.894010933453939,0.0031,0.0582,0.036000000000000004,0.0391,1.1156880247430014,0.007050293458292095,0.008088217785621424,0.008453027785621424,0.0919403490618859,0.9081100333433786,0.0565984502346483,0.0005086146169379826,15818263.439686019,1581826.343968602,0.0006191558535451573,0.0005861767616896593,111.39514105988205,99.84434590085513,896218.467883175,100200.27084387458,2.301660701089198,0.25733348943876355,803287.7005107398,89810.29519157535,2.0629966890783695,0.23065004170681164,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0147,0.00443,0.0123,0.00365,0.0146,0.0045,0.0119,0.00374,0.0153,0.00462,0.0123,0.00365,0.0151,0.00468,0.0119,0.00374,0.0191,0.00844,0.0123,0.00365,0.0213,0.00875,0.0123,0.00365,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0196,15547.1,1554.71,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,15547.1,1738.218622649349,0.00047849156034934087,0.01912150843965066,2.894010933453939,0.0031,0.0582,0.035500000000000004,0.0386,1.1156880247430014,0.006952372715815816,0.007984787890664627,0.008368947890664627,0.09148195390712109,0.9091517362383355,0.056445205694129315,0.0005276190940845135,29466522.67575002,2946652.267575002,0.0006191558535451572,0.0005861767616896591,111.7338614664741,100.14794368005516,1737137.5176054195,194217.87878154777,4.4613019034341415,0.4987887162113971,1557010.0951881856,174079.02072471008,3.998700178270535,0.44706827101267227,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0171,0.00685,0.0142,0.00557,0.0168,0.00648,0.0136,0.00495,0.0177,0.00708,0.0142,0.00557,0.0175,0.00682,0.0136,0.00495,0.0227,0.00659,0.0142,0.00557,0.025,0.00614,0.0142,0.00557,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.02,11715.9,1171.59,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,11715.9,1309.8774408794893,0.00047849156034934087,0.01952150843965066,2.894010933453939,0.0031,0.0582,0.035100000000000006,0.038200000000000005,1.1156880247430014,0.006874036121834794,0.007902043974699192,0.008302043974699191,0.09111555286941517,0.9099850985543009,0.05631803361486597,0.0005428155993098979,21583572.791376792,2158357.279137679,0.0006191558535451572,0.0005861767616896591,112.01635731875446,100.40114694657353,1312372.4407107953,146727.69946133255,3.3704238198875194,0.3768248387126501,1176289.7975113608,131513.1974237433,3.0209375247743613,0.3377510830587714,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0197,0.00847,0.0162,0.00619,0.0194,0.00848,0.0155,0.00626,0.0204,0.00899,0.0162,0.00619,0.0202,0.00899,0.0155,0.00625,0.0251,0.00568,0.0162,0.00619,0.0275,0.00605,0.0162,0.00619,1.0,1.0,1.0,1.0,1.0,1.0
6,12,0.0551,141,0.0205,8880.5,888.05,27,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,0.0,8880.5,992.870083709344,0.00047849156034934087,0.02002150843965066,2.894010933453939,0.0031,0.0582,0.034600000000000006,0.037700000000000004,1.1156880247430014,0.006776115379358514,0.007798614079742396,0.008218864079742396,0.09065795100123539,0.9110268014492576,0.056153205197789866,0.0005618019820585033,15807171.002602885,1580717.1002602885,0.0006191558535451573,0.0005861767616896593,112.38441176249513,100.73103705525823,998029.768656838,111583.12031425393,2.563131623989281,0.2865668273259731,894541.9745692207,100012.83319318327,2.2973551451174696,0.2568521136470778,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.023,0.00637,0.0184,0.00486,0.0227,0.00659,0.0178,0.00512,0.0239,0.00678,0.0184,0.00486,0.0237,0.00693,0.0178,0.00511,0.028,0.00624,0.0184,0.00486,0.0306,0.00679,0.0184,0.00486,1.0,1.0,1.0,1.0,1.0,1.0
