Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),bin,Q2center,qvbin,qvcenter,RL_fortran_qvcenter,RT_fortran_qvcenter,RL_fortran_qvdata,RT_fortran_qvdata,bin_centering_correction,Hbc_Sig(GeV),Hbc_error(GeV)
6,12,0.054,180.0,0.011544746,111.65,766.5,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.011028,2.894010933,0.0031,0.0571,0.042455254,0.045555254,1.118110425,0.009170335,0.01040482,0.010538101,0.102655254,0.893826279,1.85e-33,0.0001801,619933.6862,4255971.075,1.71e-35,1.62e-35,123.9570233,110.8629528,13839.80166,95013.05839,0.035543262,0.244011734,12377.84868,84976.45335,0.031788686,0.21823581,0.004~0.015,0.01,0.063~0.124,0.1,0.000237,1.6e-06,0.000281,1.51e-06,1.0,0.031788686,0.21823581
6,12,0.065,180.0,0.014231259,93.5,315.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.013484,2.894010933,0.0031,0.0681,0.050768741,0.053868741,1.097659172,0.013199873,0.014673845,0.014876374,0.121968741,0.894604866,1.85e-33,0.000134108,697199.3843,2348853.541,1.18e-35,1.13e-35,176.4893512,160.7870236,16501.75433,55594.14562,0.042379666,0.142776415,15033.58671,50647.91244,0.03860913,0.130073541,0.004~0.015,0.01,0.063~0.124,0.1,0.00618,5.27e-05,0.00799,3.46e-05,1.0,0.03860913,0.130073541
6,12,0.065,180.0,0.014473759,192.5,345.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0137265,2.894010933,0.0031,0.0681,0.050526241,0.053626241,1.097659172,0.013136823,0.014607788,0.014817278,0.121726241,0.89512655,1.85e-33,0.000139907,1375916.051,2465927.468,1.18e-35,1.13e-35,176.583173,160.8724981,33992.2608,60921.19468,0.087298637,0.156457298,30967.95588,55501.01184,0.079531643,0.14253723,0.004~0.015,0.01,0.063~0.124,0.1,0.00616,0.000127,0.00817,5.28e-05,1.0,0.079531643,0.14253723
6,12,0.065,180.0,0.014715259,1798.5,485.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.013968,2.894010933,0.0031,0.0681,0.050284741,0.053384741,1.097659172,0.013074033,0.014542004,0.014758542,0.121484741,0.895646082,1.85e-33,0.000145682,12345408.52,3329176.054,1.18e-35,1.13e-35,176.6788543,160.9596666,317756.9195,85689.24433,0.816060637,0.220066394,289485.9604,78065.4383,0.743455399,0.200486999,0.004~0.015,0.01,0.063~0.124,0.1,0.00667,0.000583,0.0081,0.00018,1.0,0.743455399,0.200486999
6,12,0.054,180.0,0.012546046,644.05,905.5,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.0120293,2.894010933,0.0031,0.0571,0.041453954,0.044553954,1.118110425,0.008954054,0.010176123,0.010333526,0.101653954,0.89593629,1.85e-33,0.00021377,3012814.071,4235856.132,1.71e-35,1.62e-35,124.2823759,111.1539371,80044.06421,112537.6914,0.20556849,0.289018349,71588.69321,100649.8901,0.183853477,0.258488198,0.004~0.015,0.01,0.063~0.124,0.1,0.00151,1.67e-05,0.00151,1.62e-05,1.0,0.183853477,0.258488198
6,12,0.065,180.0,0.015010259,3025.0,460.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.014263,2.894010933,0.0031,0.0681,0.049989741,0.053089741,1.097659172,0.012997333,0.014461646,0.014686953,0.121189741,0.896280707,1.85e-33,0.000152736,19805426.51,3011734.28,1.18e-35,1.13e-35,176.7988184,161.0689574,534816.4256,81327.45646,1.373511028,0.208864487,487233.5963,74091.72042,1.251309207,0.190281731,0.004~0.015,0.01,0.063~0.124,0.1,0.0109,0.00299,0.00928,0.00133,1.0,1.251309207,0.190281731
6,12,0.16,36.0,0.0125,407253.61,183200.0,1,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,0.000436199,0.012063801,2.894010933,0.0031,0.1631,0.1475,0.1506,1.039125391,0.009014398,0.009382178,0.009538428,0.097664874,0.89664372,0.82327428,0.001575752,258450345.9,116261961.1,0.05161098,0.050630023,17.13233969,16.48726886,6977207.187,3138644.631,17.91880458,8.060640638,6714499.761,3020467.654,17.24412159,7.757139524,0.004~0.015,0.01,0.063~0.124,0.1,0.0014,1.63e-05,0.0014,1.7e-05,1.0,17.24412159,7.757139524
6,12,0.065,180.0,0.015221259,6424.0,570.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.014474,2.894010933,0.0031,0.0681,0.049778741,0.052878741,1.097659172,0.012942473,0.014404169,0.014635856,0.120978741,0.896734625,1.85e-33,0.000157781,40714536.79,3612591.216,1.18e-35,1.13e-35,176.8867347,161.1490518,1136320.383,100825.4388,2.918288413,0.25893904,1035221.508,91854.9595,2.658647136,0.235901131,0.004~0.015,0.01,0.063~0.124,0.1,0.0174,0.00639,0.0133,0.00412,1.0,2.658647136,0.235901131
6,12,0.065,180.0,0.015473259,13948.0,660.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.014726,2.894010933,0.0031,0.0681,0.049526741,0.052626741,1.097659172,0.012876953,0.014335524,0.014574946,0.120726741,0.897276746,1.84e-33,0.000163807,85148744.0,4029120.378,1.18e-35,1.13e-35,176.9940748,161.2468418,2468713.356,116816.0894,6.340128793,0.300006094,2249070.95,106422.9156,5.776045021,0.273314433,0.004~0.015,0.01,0.063~0.124,0.1,0.0236,0.00968,0.0222,0.00976,1.0,5.776045021,0.273314433
6,12,0.065,180.0,0.015757759,15873.0,800.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0150105,2.894010933,0.0031,0.0681,0.049242241,0.052342241,1.097659172,0.012802983,0.014258027,0.014506334,0.120442241,0.897888783,1.84e-33,0.000170611,93036418.02,4689040.157,1.18e-35,1.13e-35,177.1183642,161.3600731,2811399.795,141694.6913,7.220213212,0.36389911,2561268.441,129088.0585,6.57782798,0.331522862,0.004~0.015,0.01,0.063~0.124,0.1,0.0213,0.00835,0.0279,0.0133,1.0,6.57782798,0.331522862
