Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),bin,Q2center,qvbin,qvcenter,RL_fortran_qvcenter,RT_fortran_qvcenter,RL_fortran_qvdata,RT_fortran_qvdata
6,12,0.054,180.0,0.0115447464114832,111.65,766.5,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.011027999999999944,2.894010933453939,0.0031,0.0571,0.0424552535885168,0.0455552535885168,1.1181104252400547,0.009170334775119629,0.010404819919617237,0.010538101089322691,0.10265525358851679,0.8938262789560188,1.85098936812864e-33,0.0001800999082390289,619933.6862060914,4255971.074581004,1.7126675406299964e-35,1.6196855900879126e-35,123.95702333961715,110.86295283670572,13839.801655868256,95013.05838981655,0.03554326174221787,0.24401173421773398,12377.848684218194,84976.45334933493,0.031788686465906844,0.21823580990700936,0.004~0.015,0.01,0.063~0.124,0.1,0.000264,1.54e-06,0.000302,1.47e-06
6,12,0.065,180.0,0.0142312585779978,93.50000000000001,315.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.013483999999999928,2.894010933453939,0.0031,0.06810000000000001,0.0507687414220022,0.0538687414220022,1.0976591715976332,0.013199872769720573,0.014673845163353402,0.014876373884067238,0.12196874142200222,0.8946048661996064,1.8491773435943495e-33,0.00013410797844951868,697199.3842647889,2348853.5405712137,1.1820446268584776e-35,1.1282364279853309e-35,176.48935116591235,160.787023634152,16501.754334012807,55594.145617262395,0.0423796661313351,0.142776415308776,15033.586709793215,50647.91244475788,0.03860913043677472,0.1300735410436795,0.004~0.015,0.01,0.063~0.124,0.1,0.00589,3.83e-05,0.00781,3.18e-05
6,12,0.065,180.0,0.0144737585779978,192.49999999999997,345.00000000000006,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.013726499999999928,2.894010933453939,0.0031,0.06810000000000001,0.050526241422002204,0.0536262414220022,1.0976591715976332,0.013136822769720573,0.014607788163353402,0.014817277850727567,0.12172624142200221,0.8951265496596064,1.8481948423446083e-33,0.00013990679146681364,1375916.050834899,2465927.46773008,1.1820446268584776e-35,1.1282364279853309e-35,176.583172988219,160.87249809173804,33992.26080023215,60921.194680935565,0.08729863713907293,0.15645729772976713,30967.955882659568,55501.01184164963,0.07953164278854478,0.14253722993271667,0.004~0.015,0.01,0.063~0.124,0.1,0.00616,4.75e-05,0.00814,4.24e-05
6,12,0.065,180.0,0.0147152585779978,1798.5000000000002,485.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.013967999999999928,2.894010933453939,0.0031,0.06810000000000001,0.050284741422002205,0.0533847414220022,1.0976591715976332,0.013074032769720573,0.014542003563353402,0.014758542398370739,0.1214847414220022,0.8956460818476064,1.8471939432557465e-33,0.00014568169185311082,12345408.521294544,3329176.053838117,1.1820446268584777e-35,1.128236427985331e-35,176.6788542985641,160.95966659797466,317756.91945596755,85689.24433480359,0.816060637244425,0.22006639369671732,289485.9603764575,78065.4383000177,0.7434553988709046,0.20048699941750828,0.004~0.015,0.01,0.063~0.124,0.1,0.00617,9.02e-05,0.00812,9.9e-05
6,12,0.054,180.0,0.0125460464114832,644.0500000000001,905.5,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.012029299999999944,2.894010933453939,0.0031,0.0571,0.0414539535885168,0.0445539535885168,1.1181104252400547,0.00895405397511963,0.010176122999617235,0.010333526280176326,0.1016539535885168,0.895936290409619,1.8461437563095183e-33,0.0002137702442770819,3012814.071378446,4235856.131718318,1.7126675406299962e-35,1.6196855900879123e-35,124.28237591051249,111.15393712908943,80044.06420516557,112537.69138696906,0.20556848975857714,0.2890183486940324,71588.69320799006,100649.89007039048,0.18385347736512006,0.25848819773948634,0.004~0.015,0.01,0.063~0.124,0.1,0.00133,1.6e-05,0.00136,1.56e-05
6,12,0.065,180.0,0.0150102585779978,3025.0000000000005,460.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.014262999999999927,2.894010933453939,0.0031,0.06810000000000001,0.0499897414220022,0.0530897414220022,1.0976591715976332,0.012997332769720572,0.0144616455633534,0.014686953425931758,0.12118974142200221,0.8962807070876064,1.845940558435772e-33,0.00015273591799786263,19805426.51429464,3011734.27985968,1.1820446268584776e-35,1.1282364279853309e-35,176.79881839652833,161.06895744259052,534816.4256494982,81327.45646240303,1.3735110280888603,0.20886448691599196,487233.59626383637,74091.72042359164,1.2513092074744179,0.19028173072338256,0.004~0.015,0.01,0.063~0.124,0.1,0.0066,0.000531,0.0085,0.000699
6,12,0.16,36.0,0.0125,407253.61,183200.0,1,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.99185,0.002432,0.0004361993092842076,0.012063800690715793,2.894010933453939,0.0031,0.1631,0.1475,0.15059999999999998,1.0391253906249998,0.00901439786550248,0.009382177659094755,0.009538427659094755,0.09766487423375282,0.8966437204369051,0.8232742804290911,0.0015757518476343026,258450345.85326064,116261961.09180555,0.05161097978267198,0.0506300230853925,17.132339690759164,16.487268856412626,6977207.186807953,3138644.631347079,17.91880457804441,8.060640637900633,6714499.760814614,3020467.654494793,17.24412158504455,7.757139523895593,0.004~0.015,0.01,0.063~0.124,0.1,0.00141,1.63e-05,0.00136,1.68e-05
6,12,0.065,180.0,0.0152212585779978,6424.000000000002,570.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.014473999999999928,2.894010933453939,0.0031,0.06810000000000001,0.0497787414220022,0.0528787414220022,1.0976591715976332,0.012942472769720572,0.0144041691633534,0.014635855876051672,0.1209787414220022,0.8967346254796064,1.845023088913073e-33,0.00015778148313868413,40714536.789805315,3612591.215782849,1.1820446268584777e-35,1.128236427985331e-35,176.88673465541024,161.14905175707062,1136320.3834263557,100825.43875358383,2.918288413043482,0.2589390403852404,1035221.508487422,91854.95950153026,2.6586471361560617,0.23590113132144377,0.004~0.015,0.01,0.063~0.124,0.1,0.00881,0.00185,0.0109,0.0025
6,12,0.065,180.0,0.0154732585779978,13948.000000000002,660.0000000000006,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.014725999999999928,2.894010933453939,0.0031,0.06810000000000001,0.0495267414220022,0.0526267414220022,1.0976591715976332,0.012876952769720573,0.014335524363353402,0.014574946094374984,0.12072674142200221,0.8972767460236064,1.8439041527419656e-33,0.0001638074661504725,85148743.99673247,4029120.378394284,1.1820446268584778e-35,1.128236427985331e-35,176.99407481476757,161.24684181990142,2468713.3555163783,116816.0893777467,6.3401287925554985,0.3000060942849607,2249070.9497039854,106422.91560113503,5.77604502072123,0.2733144331571562,0.004~0.015,0.01,0.063~0.124,0.1,0.0154,0.00538,0.0183,0.00728
6,12,0.065,180.0,0.0157577585779978,15873.000000000002,799.9999999999995,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.015010499999999927,2.894010933453939,0.0031,0.06810000000000001,0.0492422414220022,0.0523422414220022,1.0976591715976332,0.012802982769720573,0.014258026563353402,0.014506333518755866,0.12044224142200222,0.8978887829076064,1.8426102288522882e-33,0.00017061060966973312,93036418.02070135,4689040.157283502,1.1820446268584777e-35,1.128236427985331e-35,177.1183641832668,161.36007311401826,2811399.7946809945,141694.69134661337,7.2202132117980256,0.36389910977373,2561268.440538812,129088.05849121454,6.577827980327507,0.3315228617313679,0.004~0.015,0.01,0.063~0.124,0.1,0.0233,0.00951,0.0271,0.0128
