Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.0551,141,0.0163,9128.1,912.81,27
6,12,0.0551,141,0.0168,5320.5,532.05,27
6,12,0.0551,141,0.0173,6598.5,659.85,27
6,12,0.0551,141,0.0177,9072.9,907.29,27
6,12,0.0551,141,0.0182,10622.6,1062.26,27
6,12,0.0551,141,0.0186,9146.7,914.67,27
6,12,0.0551,141,0.0191,8045.4,804.54,27
6,12,0.0551,141,0.0196,15547.1,1554.71,27
6,12,0.0551,141,0.0200,11715.9,1171.59,27
6,12,0.0551,141,0.0205,8880.5,888.05,27
6,12,0.0551,141,0.0210,10637.6,1063.76,27
6,12,0.0551,141,0.0214,13897.9,1389.79,27
6,12,0.0551,141,0.0219,19235.1,1923.51,27
6,12,0.0551,141,0.0223,23259.6,2325.96,27
6,12,0.0551,141,0.0228,24932.4,2493.24,27
6,12,0.0551,141,0.0233,25527.6,2552.76,27
6,12,0.0551,141,0.0237,25369.6,2536.96,27
6,12,0.0551,141,0.0242,24206.2,2420.62,27
6,12,0.0551,141,0.0247,20696,2069.6,27
6,12,0.0551,141,0.0251,19975.1,1997.51,27
6,12,0.0551,141,0.0256,20553.8,2055.38,27
6,12,0.0551,141,0.0260,19683.3,1968.33,27
6,12,0.0551,141,0.0265,19230,1923,27
6,12,0.0551,141,0.0270,18069.9,1806.99,27
6,12,0.0551,141,0.0274,17442,1744.2,27
6,12,0.0551,141,0.0279,16419.6,1641.96,27
6,12,0.0551,141,0.0283,15817,1581.7,27
6,12,0.0551,141,0.0288,15130.8,1513.08,27
6,12,0.0551,141,0.0293,15010.4,1501.04,27
6,12,0.0551,141,0.0297,15136.9,1513.69,27
6,12,0.0551,141,0.0301,14796.7,1479.67,27
